"業務種別","施設名称１","施設郵便番号","施設所在地１","施設所在地２","施設電話番号","営業者申請者名","営業者役職名","営業者代表者名","営業者都道府県名称","営業者住所１","営業者住所２","許可番号","許可日","旅館業の種別"
"旅館業","ＵＭＩＹＡＤＯ 鬼旬","760-0092","高松市女木町４５３",,"087-873-0880","松内　日出男",,,,,,"第40039号","H28.07.28","簡易宿所"
"旅館業","ロイヤルパークホテル高松","760-0052","高松市瓦町１丁目３番１１号",,"087-823-2222","穴吹エンタープライズ株式会社","代表取締役","三村　和馬","香川県","高松市古新町９番地１",,"第40040号","H28.08.17","旅館・ホテル"
"旅館業","瀬戸音十庵","761-0130","高松市庵治町５９８３−１",,"087-880-5403","池田　広実",,,,,,"第40041号","H28.10.31","簡易宿所"
"旅館業","ＵｎＲｅｖｅ　亀岡","760-0006","高松市亀岡町２０−１４",,,"濱田　浩司",,,,,,"第40042号","H28.11.02","簡易宿所"
"旅館業","青い空青い海のゲストハウス","760-0073","高松市栗林町１丁目８−２０",,,"有限会社青い空青い海","取締役","高橋　政一","香川県","高松市栗林町一丁目９番１０号",,"第40043号","H28.11.11","簡易宿所"
"旅館業","鵲灰","760-0002","高松市茜町２３−１５",,,"ＨＩ　ＲＥＳＯＲＴ合同会社","代表社員","岡　百恵","香川県","高松市御厩町１０４１番地７",,"第40051号","H29.06.12","簡易宿所"
"旅館業","山鳩","760-0001","高松市新北町７−２１",,,"ＨＩ　ＲＥＳＯＲＴ合同会社","代表社員","岡　百恵","香川県","高松市御厩町１０４１番地７",,"第40052号","H29.06.12","簡易宿所"
"旅館業","ＧＵＥＳＴ　ＨＯＵＳＥ　ＡＮＣＨＯＲ","760-0008","高松市中野町２４−１３",,"087-802-2604","株式会社ＤＮＡ","代表取締役","畑本　大輔","香川県","高松市中野町２４番地１５",,"第40053号","H29.06.27","旅館・ホテル"
"旅館業","ホテーハウス","761-0121","高松市牟礼町牟礼２４６４−１",,,"西村　周子",,,,,,"第40054号","H29.07.06","簡易宿所"
"旅館業","ＳＵＮＮＹ　ＤＡＹ　ＨＯＳＴＥＬ","760-0033","高松市丸の内９番地１３",,"087-826-3210","株式会社サニーサイド","代表取締役","多田　周平","香川県","丸亀市綾歌町栗熊西４０番地１",,"第40055号","H29.09.12","簡易宿所"
"旅館業","せと国民旅館","769-0102","高松市国分寺町国分３５６",,"087-874-0353","英　シゲ子",,,,,,"第40056号","H29.10.10","旅館・ホテル"
"旅館業","ハミングバード","760-0054","高松市常磐町１−２−２","２F ３F","087-837-4404","白政　聡子",,,,,,"第40058号","H29.12.21","簡易宿所"
"旅館業","紺屋町ゲストハウス　久々","760-0027","高松市紺屋町３-１３",,"087-887-5665","株式会社ＴＥＮ　ＴＯ　ＳＥＮ","代表取締役","山本　梨沙","香川県","高松市塩上町一丁目４番１６号",,"第40059号","H30.02.21","簡易宿所"
"旅館業","雲白","760-0002","高松市茜町２３−１７",,,"ＨＩ　ＲＥＳＯＲＴ合同会社","代表社員","岡　百恵","香川県","高松市御厩町１０４１番地７",,"第40061号","H30.04.13","簡易宿所"
"旅館業","かえる　ゲストハウス","761-8042","高松市御厩町１６１６−１",,"087-885-7311","馬場　達也",,,,,,"第40063号","H30.04.23","簡易宿所"
"旅館業","瀬戸内ステイ　北浜住吉","760-0031","高松市北浜町５−１５",,"087-821-1810","株式会社瀬戸内ステイ","代表取締役","井上　雅子","香川県","高松市北浜町４番１４号",,"第40064号","H30.05.01","簡易宿所"
"旅館業","ひまわり","760-0062","高松市塩上町２丁目２番１９号",,,"林　光明",,,,,,"第40065号","H30.05.14","簡易宿所"
"旅館業","スローライフなお宿","761-8057","高松市田村町２３５−１",,"087-816-7030","板東　伸一",,,,,,"第40066号","H30.05.21","簡易宿所"
"旅館業","商店街ＨＯＴＥＬＳ","760-0054","高松市常磐町１−６−１６","村尾ビル３Ｆ、４Ｆ",,"有限会社ＩＮＡＫＡ　ＴＯＵＲＩＳＭ","代表取締役","穴吹　英太郎","香川県","高松市浜ノ町６９番１−１５０５号",,"第40067号","H30.05.24","簡易宿所"
"旅館業","ハイパーイン　高松駅前","760-0021","高松市西の丸町１０番１７号",,"087-826-0818","ハイパーリゾート株式会社","代表取締役","八木　裕幸","香川県","高松市塩江町上西乙６８８番地１",,"第40069号","H30.06.04","旅館・ホテル"
"旅館業","浜町小院","760-0011","高松市浜ノ町５−１２",,"087-880-1404","徐　楓",,,,,,"第40068号","H30.06.04","簡易宿所"
"旅館業","民泊　ＹＯＵ　悠","760-0012","高松市瀬戸内町５５−４",,,"李　佳坤",,,,,,"第40070号","H30.06.04","簡易宿所"
"旅館業","アルファベッド高松瓦町","760-0054","高松市常磐町二丁目５番１１号","コリドールシュッド","087-806-3089","株式会社あなぶきスペースシェア","代表取締役","平山　俊一","香川県","高松市紺屋町３番地６",,"第40071号","H30.06.12","簡易宿所"
"旅館業","ＦＡＣＥＳビル","760-0071","高松市藤塚町３丁目１３−２",,"087-862-7366","佐々木　享子",,,,,,"第40072号","H30.06.14","簡易宿所"
"旅館業","オレンジ","760-0021","高松市西の丸町１１−１９",,,"小西　達也",,,,,,"第40073号","H30.06.14","簡易宿所"
"旅館業","ゲストハウス里海村","760-0092","高松市女木町４１番地",,,"日高　良和",,,,,,"第40074号","H30.06.18","簡易宿所"
"旅館業","ヒューマンコミュニティ「悠遊」","761-8004","高松市中山町１５０１番地９",,"087-882-4022","公益財団法人喝破道場","代表理事","野田　大燈","香川県","高松市中山町１５０１番地９",,"第40075号","H30.06.22","簡易宿所"
"旅館業","Ｔｒａｄｉｔｉｏｎａｌ　Ａｐａｒｔｍｅｎｔ　ＨＡＮＡＲＥ","760-0062","高松市塩上町１−３−６",,,"内田　大輔",,,,,,"第40079号","H30.06.26","簡易宿所"
"旅館業","アルファベッド高松北浜ＥＡＳＴ","760-0036","高松市城東町２丁目２−１１","津山マンション２０２号室・２０３号室","087-806-3089","株式会社あなぶきスペースシェア","代表取締役","平山　俊一","香川県","高松市紺屋町３番地６",,"第40080号","H30.06.26","簡易宿所"
"旅館業","高松センチュリーホテル","760-0020","高松市錦町１−４−１９",,"087-851-0558","有限会社高松センチュリーホテル","代表取締役","十川　好信","香川県","高松市錦町一丁目４番１９号",,"第40081号","H30.06.28","旅館・ホテル"
"旅館業","いとより０","760-0012","高松市瀬戸内町５−６",,,"長町　敏明",,,,,,"第40082号","H30.06.28","簡易宿所"
"旅館業","ホテルルートイン高松屋島","761-0101","高松市春日町１６５３−２",,"050-5847-7445","ルートインジャパン株式会社","代表取締役","永山　泰樹","東京都","品川区大井一丁目３５番３号",,"第40083号","H30.07.06","旅館・ホテル"
"旅館業","天然温泉　玉藻の湯　ドーミーイン高松中央公園前","760-0018","高松市天神前１番３号",,"087-835-5489","株式会社共立メンテナンス","代表取締役","中村　幸治","東京都","千代田区外神田二丁目１８番８号",,"第40085号","H30.07.11","旅館・ホテル"
"旅館業","HULATON　CABIN　TAKAMATSU","760-0062","高松市塩上町２丁目５−２４　　３階",,"087-802-2070","株式会社プライムコンセプト","代表取締役","的場　弘明","福岡県","福岡市博多区博多駅東二丁目５番２１号","博多プラザビル","第40088号","H30.08.02","簡易宿所"
"旅館業","ゲストハウス　Ｋｏｉ鯉","760-0017","高松市番町１丁目１０−２−２Ｆ",,,"太田　江美",,,,,,"第40089号","H30.08.08","簡易宿所"
"旅館業","一期一会風の宿","760-0020","高松市錦町１丁目２−１１",,"087-822-7314","宇都宮　啓子",,,,,,"第40090号","H30.08.22","簡易宿所"
"旅館業","はまたに旅館","761-8078","高松市仏生山町甲３０１-３０",,,"濱谷　たか子",,,,,,"第40091号","H30.08.29","旅館・ホテル"
"旅館業","ＪＲクレメントイン高松","760-0011","高松市浜ノ町１番３号",,"087-811-1200","株式会社ＪＲ四国ホテルズ","代表取締役","藤本　聡","香川県","高松市浜ノ町１番１号",,"第40094号","H30.09.18","旅館・ホテル"
"旅館業","民宿　あずさ","769-0102","高松市国分寺町国分３４８−３",,"087-874-0273","羽原　昌三",,,,,,"第40095号","H30.09.25","簡易宿所"
"旅館業","ＹＵＺＵＫＩ","760-0052","高松市瓦町２丁目２−１３","新瓦町ビル６Ｆ",,"有限会社結月","代表取締役","天野　宏一","香川県","高松市上天神町８４５番地８",,"第40096号","H30.09.25","簡易宿所"
"旅館業","Ａｌｐｈａｂｅｄ高松瓦町イースト","760-0068","高松市松島町一丁目１２−１１","コリドールバリ６０２号","087-806-3089","株式会社あなぶきスペースシェア","代表取締役","平山　俊一","香川県","高松市紺屋町３番地６",,"第40097号","H30.09.26","簡易宿所"
"旅館業","商店街ＨＯＴＥＬＳ　ＥＩＴＡ","760-0029","高松市丸亀町６−２","丸亀町ビル３階","087-802-1916","有限会社ＩＮＡＫＡ　ＴＯＵＲＩＳＭ","代表取締役","穴吹　英太郎","香川県","高松市浜ノ町６９番１−１５０５号",,"第40098号","H30.10.02","簡易宿所"
"旅館業","ＨＯＴＥＬ　ＤＯＯＲ","760-0054","高松市常磐町２丁目９番地５",,"087-835-0502","有限会社クールナイン","取締役","山本　鑑栄","香川県","高松市常磐町二丁目９番地５",,"第40099号","H30.10.04","旅館・ホテル"
"旅館業","アルファベッド高松香西駅前","761-8032","高松市鶴市町２０２２−１","シティラック高松Ａ　１０２号","087-806-3089","株式会社あなぶきスペースシェア","代表取締役","平山　俊一","香川県","高松市紺屋町３番地６",,"第40103号","H30.10.15","簡易宿所"
"旅館業","ＷｅＢａｓｅ　高松","760-0052","高松市瓦町１丁目２番３号",,"087-802-4411","株式会社レーサム","代表取締役","小町　剛","東京都","千代田区霞が関三丁目２番１号",,"第40106号","H30.10.24","旅館・ホテル"
"旅館業","ＷｅＢａｓｅ　高松","760-0052","高松市瓦町１丁目２番３号","１０階","087-813-4411","株式会社レーサム","代表取締役","小町　剛","東京都","千代田区霞が関三丁目２番１号",,"第40105号","H30.10.24","簡易宿所"
"旅館業","アルファベッド高松井口町","760-0038","高松市井口町４−４","アヴニール若宮１０２号",,"株式会社あなぶきスペースシェア","代表取締役","平山　俊一","香川県","高松市紺屋町3番地６",,"第40107号","H30.11.02","簡易宿所"
"旅館業","ＡＬＯ","760-0034","高松市内町６−１２","前田ビル２Ｆ",,"前田　悠",,,,,,"第40108号","H30.12.04","簡易宿所"
"旅館業","あさひハウス","760-0071","高松市藤塚町三丁目２−１３",,"087-806-3089","有限会社とよ","代表取締役","野﨑　豊","兵庫県","神戸市灘区深田町四丁目１番１−２７０３号",,"第40110号","H31.02.20","簡易宿所"
"旅館業","女木島ゲストハウス＆カフェ　Ｍｅｇｉｎｏ","760-0092","高松市女木町４５３番地１−２",,,"春日商事株式会社","代表取締役","中條　比紗美","香川県","高松市番町二丁目１番１５号",,"第40111号","H31.03.01","簡易宿所"
"旅館業","ホテル　ルーブル","760-0045","高松市古馬場町４−３",,"087-823-2601","株式会社美羽","代表取締役","松本　康弘","香川県","高松市古馬場町４番地３",,"第40112号","H31.03.07","旅館・ホテル"
"旅館業","ザ・セレクトン高松","760-0036","高松市城東町一丁目９番５号",,"087-821-2222","株式会社エフ・イー・ティーシステム","代表取締役","中村　寛","東京都","千代田区九段北一丁目１３番５号","ヒューリック九段ビル１２Ｆ","第40114号","H31.03.15","旅館・ホテル"
"旅館業","ゲストハウス　ひまわり","760-0054","高松市常磐町一丁目９番４号",,,"株式会社ＲＭＡビジネス","代表取締役","劉　玉蕊","香川県","小豆郡小豆島町池田９０４番地１",,"第40117号","H31.04.09","簡易宿所"
"旅館業","ＴＥＮ ｔｏ ＳＥＮ ゲストハウス高松","760-0053","高松市田町１−１１",,,"合同会社ｃｏｃｏｔａｓｕ","代表社員","杉浦　聡美","香川県","高松市田町１番地１１",,"第40118号","H31.04.09","簡易宿所"
"旅館業","瀬戸内　満月荘","760-0054","高松市常磐町２丁目２−１","グレートサクセスビル２F・３F","087-802-6660","株式会社プライムコンセプト","代表取締役","的場　弘明","福岡県","福岡市博多区博多駅東二丁目５番２１号","博多プラザビル","第40119号","H31.04.18","簡易宿所"
"旅館業","７７７　Ｔａｋａｍａｔｓｕ　ｇｕｅｓｔｈｏｕｓｅ","760-0046","高松市通町１番地５",,,"村尾　美由紀",,,,,,"第40120号","H31.04.26","簡易宿所"
"旅館業","ドリマの上　離れ","760-0091","高松市男木町１８９３",,,"小林　美代子",,,,,,"第40121号","H31.04.26","簡易宿所"
"旅館業","Ａｌｐｈａｂｅｄ高松瓦町Ⅱ","760-0054","高松市常磐町二丁目５−１０","コリドールノール１階１０２","087-806-3089","株式会社あなぶきスペースシェア","代表取締役","平山　俊一","香川県","高松市紺屋町３番地６",,"第40126号","R01.05.13","簡易宿所"
"旅館業","フラワー","761-8078","高松市仏生山町甲８３６−１",,,"小西　達也",,,,,,"第40123号","R01.05.13","簡易宿所"
"旅館業","アルファベッド高松屋島","761-0104","高松市高松町３０１３−２","サンクトーム屋島２０４号室","087-806-3089","株式会社あなぶきスペースシェア","代表取締役","平山　俊一","香川県","高松市紺屋町３番地６",,"第40125号","R01.05.13","簡易宿所"
"旅館業","アルファベッド高松駅","760-0021","高松市西の丸町７−１０","リバティ池本３０１号室","087-806-3089","株式会社あなぶきスペースシェア","代表取締役","平山　俊一","香川県","高松市紺屋町３番地６",,"第40124号","R01.05.13","簡易宿所"
"旅館業","ＡｌｐｈａｂｅｄＩｎｎ高松駅前","760-0022","高松市西内町２−６",,"087-806-3089","株式会社あなぶきスペースシェア","代表取締役","平山　俊一","香川県","高松市紺屋町３番地６",,"第40127号","R01.05.27","簡易宿所"
"旅館業","ＴＨＥ　ＣＨＥＬＳＥＡ　ＢＲＥＡＴＨ　（ザ・チェルシーブレス）","761-1705","高松市香川町川東下１８７８番地",,"087-879-3411","高松パレス株式会社","代表取締役","住田　浩","香川県","高松市香川町川東下１８７８番地",,"第40128号","R01.07.08","旅館・ホテル"
"旅館業","ＹＵＺＵＫＩ","760-0052","高松市瓦町２丁目２−１３","新瓦町ビル４Ｆ","087-880-8045","有限会社結月","代表取締役","天野　宏一","香川県","高松市上天神町８４５番地８",,"第40129号","R01.07.22","簡易宿所"
"旅館業","Ａｌｐｈａｂｅｄ高松瓦町ウエスト","760-0054","高松市常磐町二丁目８−２","コリドールウエスト７０１、７０２","087-806-0370","株式会社あなぶきスペースシェア","代表取締役","平山　俊一","香川県","高松市紺屋町３番地６",,"第40133号","R01.08.05","簡易宿所"
"旅館業","Ａｌｐｈａｂｅｄ高松古新町","760-0025","高松市古新町２−１","アルファレガロ古新町901、902、903、1002","087-806-0370","株式会社あなぶきスペースシェア","代表取締役","平山　俊一","香川県","高松市紺屋町３番地６",,"第40132号","R01.08.05","簡易宿所"
"旅館業","Ａｌｐｈａｂｅｄ高松兵庫町","760-0024","高松市兵庫町１１−６","カーニープレイス高松兵庫町ビル５０２、６０２","087-806-0370","株式会社あなぶきスペースシェア","代表取締役","平山　俊一","香川県","高松市紺屋町３番地６",,"第40131号","R01.08.05","簡易宿所"
"旅館業","Ａｌｐｈａｂｅｄ高松レインボー通り","760-0079","高松市松縄町１０２３−２２","スカール松縄１０２号室","087-806-0370","株式会社あなぶきスペースシェア","代表取締役","平山　俊一","香川県","高松市紺屋町３−６",,"第40134号","R01.08.08","簡易宿所"
"旅館業","エクストールイン高松","760-0045","高松市古馬場町１０−１",,"087-813-2666","株式会社川六","代表取締役","寳田　圭一","香川県","高松市百間町１番地の２",,"第40135号","R01.08.16","旅館・ホテル"
"旅館業","燈屋","760-0050","高松市亀井町１０番地３",,"050-5247-6666","渡辺　大",,,,,,"第40136号","R01.08.21","簡易宿所"
"旅館業","ツバキ","761-8061","高松市室町１９０５−９",,,"小西　達也",,,,,,"第40137号","R01.08.26","簡易宿所"
"旅館業","Ａｌｐｈａｂｅｄサンポート高松","760-0011","高松市浜ノ町４−３","ノースポイントハイツ７０１、７０２",,"株式会社あなぶきスペースシェア","代表取締役","平山　俊一","香川県","高松市紺屋町３番地６",,"第40138号","R01.08.29","簡易宿所"
"旅館業","ホテル　パールガーデン","760-0066","高松市福岡町２−２−１",,"087-821-8500","株式会社パールガーデン","代表取締役","中山　明憲","香川県","高松市福岡町二丁目２番１号",,"第40139号","R01.09.02","旅館・ホテル"
"旅館業","Ａｌｐｈａｂｅｄ高松美術館通り","760-0026","高松市磨屋町１−７","森ビル４階、５階","087-806-3089","株式会社あなぶきスペースシェア","代表取締役","平山　俊一","香川県","高松市紺屋町３番地６",,"第40140号","R01.09.06","簡易宿所"
"旅館業","Ｋｕｒｉ　Ａｐａｒｔｍｅｎｔ","760-0052","高松市瓦町２丁目１２−６","久利ビル３Ｆ",,"藤井　智也",,,,,,"第40141号","R01.09.17","簡易宿所"
"旅館業","高松国際ホテル","760-0080","高松市木太町２１９１−１",,"087-831-1511","穴吹エンタープライズ株式会社","代表取締役","三村　和馬","香川県","高松市古新町９番地１",,"第40142号","R01.09.18","旅館・ホテル"
"旅館業","Ａｒｔ　Ｓｅｔｏｕｃｈｉ　Ｔｒｉｅｎｎａｌｅ　Ｈｏｔｅｌ","760-0021","高松市西の丸町１２−１５","Ｎｅｘｔ　Ｉｎｔｅｒｎａｔｉｏｎａｌ　Ｂｌｄｇ",,"株式会社ネクストインターナショナル","代表取締役","小笠原　正一","香川県","善通寺市善通寺町１１２７−１",,"第40143号","R01.09.30","簡易宿所"
"旅館業","ゲストハウス屋島","761-0104","高松市高松町１９３３−１",,,"祝　章子",,,,,,"第40144号","R01.10.04","簡易宿所"
"旅館業","Ａｌｐｈａｂｅｄ高松丸亀町　４０１号室","760-0041","高松市百間町９−１３","パールコート４０１号室","087-806-3089","株式会社あなぶきスペースシェア","代表取締役","平山　俊一","香川県","高松市紺屋町３番地６",,"第40145号","R01.10.31","簡易宿所"
"旅館業","Ａｌｐｈａｂｅｄ高松瓦町イーストⅡ","760-0062","高松市塩上町２−２−１２","ａｍ’ｓ５塩上　１００４号室",,"株式会社あなぶきスペースシェア","代表取締役","平山　俊一","香川県","高松市紺屋町３番地６",,"第40146号","R01.10.31","簡易宿所"
"旅館業","穴吹邸","760-0036","高松市城東町１−７−１５",,,"有限会社ＩＮＡＫＡ　ＴＯＵＲＩＳＭ","代表取締役","穴吹　英太郎","香川県","高松市浜ノ町６９番１−１５０５号",,"第40147号","R01.11.08","簡易宿所"
"旅館業","Ａｌｐｈａｂｅｄ高松瓦町Ⅱ","760-0054","高松市常磐町二丁目５−１０","コリドールノール１０１号","087-806-3089","株式会社あなぶきスペースシェア","代表取締役","平山　俊一","香川県","高松市紺屋町３番地６",,"第40148号","R01.12.27","簡易宿所"
"旅館業","Ａｌｐｈａｂｅｄ高松兵庫町　６０３号室","760-0024","高松市兵庫町１１−６","カーニープレイス高松兵庫町ビル６０３号","087-806-3089","株式会社あなぶきスペースシェア","代表取締役","平山　俊一","香川県","高松市紺屋町３番地６",,"第40149号","R02.01.07","簡易宿所"
"旅館業","Ａｌｐｈａｂｅｄ高松中央公園","760-0050","高松市亀井町１０−１","サントル亀井町１０１号","087-806-3089","株式会社あなぶきスペースシェア","代表取締役","平山　俊一","香川県","高松市紺屋町３番地６",,"第40151号","R02.01.14","簡易宿所"
"旅館業","瀬戸の宿　扇","760-0013","高松市扇町１丁目１１−８",,,"ＷＲＣ合同会社","代表社員","橋本　由美","香川県","高松市錦町二丁目２番１９−１３０５号",,"第40152号","R02.01.23","簡易宿所"
"旅館業","グランドベース高松","760-0034","高松市内町６−９",,"092-292-3160","株式会社リクリエ","代表取締役","中西　孝行","福岡県","福岡市博多区博多駅前四丁目３番２２号",,"第40153号","R02.02.04","旅館・ホテル"
"旅館業","髙松の宿　花園や","760-0072","高松市花園町１丁目９番６号",,"087-806-0370","丸土設備有限会社","代表取締役","土居　啓三","香川県","高松市松並町６８１番地６",,"第40154号","R02.02.17","簡易宿所"
"旅館業","瀬戸内ステイ　鷗宿","760-0031","高松市北浜町４−１",,"087-821-1810","株式会社瀬戸内ステイ","代表取締役","井上　雅子","香川県","高松市北浜町４番１４号",,"第40155号","R02.02.20","簡易宿所"
"旅館業","Ｋ’ｓホテル","760-0024","高松市兵庫町３番地１２","Ｋ’ｓビル","087-861-1911","せとまる株式会社","代表取締役","樋口　卓也","香川県","高松市今里町二丁目１１番地２",,"第40156号","R02.02.28","簡易宿所"
"旅館業","ｏｇｉｊｉｍａ　ゆくる","760-0091","高松市男木町１９４番１",,,"株式会社ＲＵＲＩ","代表取締役","山口　美芳","香川県","高松市西ハゼ町３３３番地１",,"第40157号","R02.03.19","簡易宿所"
"旅館業","ＩＮＡＲＩ","760-0008","高松市中野町２２番地２",,,"伊藤　洋",,,,,,"第40159号","R02.03.30","簡易宿所"
"旅館業","ゲストハウスまどか","760-0037","高松市東浜町１丁目３番地１７",,,"小笠原　哲也",,,,,,"第40158号","R02.03.30","簡易宿所"
"旅館業","Ｓｅｔｏ家　琴ノ葉","760-0022","高松市西内町１２−１５",,"087-802-3386","株式会社ライブイノベーション","代表取締役","松野　誠之","香川県","高松市東山崎町８７番地１",,"第40161号","R02.04.30","簡易宿所"
"旅館業","オキオリーブゲストハウス","761-0445","高松市西植田町４５３２",,,"澳　敬夫",,,,,,"第40163号","R02.06.25","旅館・ホテル"
"旅館業","Ｓｅａ Ｓｉｄｅ Ｖｉｌｌａ　ＫＡＭＡＮＯ","761-0130","高松市庵治町４４１４−５",,,"株式会社万里一空","代表取締役","松岡　敬三","香川県","高松市中央町１７番２８号","八代ビル２１号","第40164号","R02.10.16","簡易宿所"
"旅館業","瀬戸風月　時想の間","761-8062","高松市室新町１０６９−５",,"087-880-5352","ｉ−Ｌｉｎｋホールディングス株式会社","代表取締役","岸本　康彦","香川県","高松市栗林町一丁目１２番２４号",,"第40165号","R02.11.06","簡易宿所"
"旅館業","瀬戸風月　喜集の間","761-8062","高松市室新町１０６９−５",,"087-880-5352","ｉ−Ｌｉｎｋホールディングス株式会社","代表取締役","岸本　康彦","香川県","高松市栗林町一丁目１２番２４号",,"第40166号","R02.11.06","簡易宿所"
"旅館業","ＦＡＶ　ＨＯＴＥＬ　ＴＡＫＡＭＡＴＳＵ","760-0062","高松市塩上町二丁目４番２０号",,"087-806-3089","株式会社あなぶきスペースシェア","代表取締役","平山　俊一","香川県","高松市紺屋町３番地６",,"第40167号","R02.11.10","旅館・ホテル"
"旅館業","Ｃａｒａｖａｎ　Ｇｕｅｓｔ　Ｈｏｕｓｅ　Ｋｕｒａ","761-8042","高松市御厩町１６１６−１",,"087-885-7311","有限会社三条マイカーセンター","代表取締役","馬場　達也","香川県","高松市御厩町１６１６番地１",,"第40170号","R03.01.28","旅館・ホテル"
"旅館業","Ｓｅａｓｉｄｅ　Ｖｉｌｌａ　ＳＡＳＡＯ","761-0130","高松市庵治町笹尾５３１９番地６６",,,"株式会社万里一空","代表取締役","松岡　敬三","香川県","高松市中央町１７番２８号","八代ビル２１号","第40172号","R03.02.02","簡易宿所"
"旅館業","ゲストハウス　イーハトーブ","761-8011","高松市香西北町６８−１",,,"山田　海人",,,,,,"第40173号","R03.02.15","簡易宿所"
"旅館業","ゲストハウスｓｉｍａｓｉｍａ西宝町","760-0004","高松市西宝町３−１−２","アールひだまり西宝町３０１号",,"森　亮介",,,,,,"第40174号","R03.03.12","簡易宿所"
"旅館業","古民家宿カフカ","760-0062","高松市塩上町1丁目２−２３",,,"小笠原　哲也",,,,,,"第40175号","R03.03.17","簡易宿所"
"旅館業","ゲストハウス　扇","760-0013","高松市扇町１丁目１６番８号",,,"株式会社Ｃ−ｏｎｅ","代表取締役","北井　盛清","香川県","高松市檀紙町３００番地１",,"第40176号","R03.03.26","簡易宿所"
"旅館業","ホテルリブマックス高松駅前","760-0020","高松市錦町１丁目８−９",,"087-811-8860","株式会社リブ・マックス","代表取締役","有山　憲","東京都","港区赤坂二丁目５番１号９階",,"第40177号","R03.05.10","旅館・ホテル"
"旅館業","ゲストハウスｓｉｍａｓｉｍａ古馬場","760-0045","高松市古馬場町５−９","春日河ビル３Ｆ",,"森　亮介",,,,,,"第40178号","R03.07.01","簡易宿所"
"旅館業","高松ゲストハウスあかね","760-0002","高松市茜町１７−２１",,,"古家　芳樹",,,,,,"第40179号","R03.07.13","簡易宿所"
"旅館業","鳳凰亭","761-1401","高松市香南町岡３５２−１",,"087-815-8878","鳳凰国際観光株式会社","代表取締役","辛　淑婉","香川県","高松市香南町岡３５２番地１",,"第40180号","R03.08.11","簡易宿所"
"旅館業","遊び家　ふるたか","761-0104","高松市高松町２０３５−１",,"087-887-3666","小西　勇",,,,,,"第40181号","R03.08.13","簡易宿所"
"旅館業","ホテルウィングインターナショナル高松","760-0052","高松市瓦町二丁目２番３",,"087-861-0017","株式会社ミナシア","代表取締役","下嶋　一義","東京都","千代田区神田小川町一丁目２番地",,"第40183号","R03.09.17","旅館・ホテル"
"旅館業","宿海（しゅくみ）","761-0130","高松市庵治町浜６３７８−１５",,,"岡田　将平",,,,,,"第40184号","R03.09.24","簡易宿所"
"旅館業","瓦町駅・ｈｏｍｅ","760-0052","高松市瓦町２丁目４−３",,,"合同会社紹興酒家","代表社員","林　海","香川県","高松市井口町４番地１",,"第40185号","R03.10.04","簡易宿所"
"旅館業","ホテルエリアワン高松シティ","760-0034","高松市内町２ー２０",,"087-823-7177","エリアワンエンタープライズ株式会社","代表取締役","岡　新之助","大阪府","大阪市中央区博労町一丁目２番１号",,"第40186号","R03.10.12","旅館・ホテル"
"旅館業","Ｅｍａ'ｓ","761-8053","高松市西ハゼ町５９−２",,,"石井　舞莉",,,,,,"第40187号","R03.10.19","簡易宿所"
"旅館業","コンフォートホテル高松","760-0056","高松市中新町２番１０号",,"087-861-8411","株式会社グリーンズ","代表取締役","村木　雄哉","三重県","四日市市浜田町５番３号",,"第40188号","R04.03.14","旅館・ホテル"
"旅館業","北浜プラトー","760-0031","高松市北浜町４−１０",,,"安岐　理加",,,,,,"第40189号","R04.03.23","簡易宿所"
"旅館業","Ｈｏｔｅｌ　Ａｒｔ　Ｒｏｃｋ","760-0043","高松市今新町４−８",,,"Ａｒｔ　Ｒｏｃｋ合同会社","代表社員","上西　覚","香川県","高松市今新町４番８",,"第40190号","R04.04.14","簡易宿所"
"旅館業","高松ＳＴＡＴＩＯＮ　ＨＯＳＴＥＬ","760-0021","高松市西の丸町１−２２","武田ビル２Ｆ",,"宮田　昌子",,,,,,"第40191号","R04.05.30","簡易宿所"
"旅館業","貸別荘　ＴＳＵＮＡＧＵ","760-0077","高松市上福岡町１２４１−４",,,"森本　泰行",,,,,,"第40193号","R04.06.30","簡易宿所"
"旅館業","ホテル川六　エルステージ高松","760-0041","高松市百間町１番地２",,"087-821-5666","株式会社川六","代表取締役","寳田　圭一","香川県","高松市百間町１番地の２",,"第40192号","R04.06.30","旅館・ホテル"
"旅館業","結−ＳＵＭＩＹＡ","760-0036","高松市城東町１−７−３",,,"株式会社ウィアトール","代表取締役","夛田　景子","香川県","高松市木太町１９０１番地５",,"第40194号","R04.08.04","簡易宿所"
"旅館業","福宿（ＦＵＫＵＩＮＮ）","760-0048","高松市福田町８−６",,,"合同会社紹興酒家","代表社員","林　海","香川県","高松市井口町４番地１",,"第40195号","R04.08.04","簡易宿所"
"旅館業","ＦＬＡＴ　Ｌ・ＭⅡ　２０１","761-0321","高松市前田西町８５１−６",,,"大東建託株式会社","代表取締役","小林　克満","東京都","港区港南二丁目１６番１号",,"第40196号","R04.09.02","簡易宿所"
"旅館業","ＦＬＡＴ　Ｌ・ＭⅡ　２０３","761-0321","高松市前田西町８５１−６",,,"大東建託株式会社","代表取締役","小林　克満","東京都","港区港南二丁目１６番１号",,"第40197号","R04.09.02","簡易宿所"
