"#property","latitude","longitude","name","address","telephoneNumber","flood_L1","flood_L2","inundation","sedimentDisaster","stormSurge","tunami","fire","earthquake","evacuationSpace","jurisdiction","elevation","capacity","residentsAssociation"
"155","34.28410306","133.9610111","国分寺南部コミュニティセンター","高松市国分寺町福家甲3106-3","087-874-1116","○","△","△","○","○","○","×","○","○","地域振興課","28.6","137","国分寺南部校区コミュニティ協議会"
"156","34.28308639","133.9614222","国分寺勤労青少年ホーム","高松市国分寺町福家甲3005","087-874-3982","○","×","△","○","○","○","×","○","○","スポーツ振興課","28.4","180","国分寺南部校区コミュニティ協議会"
"157","34.27412944","133.9727575","福家児童館","高松市国分寺町福家甲1951-1","087-874-4954","○","○","○","○","○","○","×","○",,"子育て支援課","42.9","70","国分寺南部校区コミュニティ協議会"
"158","34.29664333","133.9601136","国分寺会館","高松市国分寺町新名430-2","087-874-1111","○","△","△","○","○","○","×","○",,"国分寺総合センター","24.4","135","国分寺南部校区コミュニティ協議会"
"159","34.29932583","133.9421289","香川県青年センター","高松市国分寺町国分1009","087-874-0713","○","○","△","○","○","○","×","○","○","香川県青年センター","31.5","384","国分寺北部校区コミュニティ協議会"
"160","34.36483306","133.9695161","香川県消防学校","高松市生島町689-11","087-881-3281","○","○","○","○","△","○","×","○",,"香川県消防学校","3.1","250","下笠居地区コミュニティ協議会"
"161","34.34431472","134.0423575","高松工芸高等学校（体育館）","高松市番町2-9-30","087-851-4144","○","○","○","○","△","○","×","○","○","県高校教育課","2.6","715","二番丁地区コミュニティ協議会"
"162","34.34147611","134.0440964","高松高等学校（体育館）","高松市番町3-1-1","087-831-7251","○","○","○","○","△","○","×","○","○","県高校教育課","3.5","700","四番丁コミュニティ協議会"
"163","34.33839083","134.059245","高松商業高等学校（体育館）","高松市松島町1-18-54","087-833-1971","○","○","△","○","△","△","×","○","○","県高校教育課","1.5","610","松島地区コミュニティ協議会"
"164","34.34262028","134.0375386","香川大学（経済学部構内体育館）","高松市幸町1-1","087-832-1000","○","△","○","○","△","○","×","○","○","香川大学","2.7","400","亀阜校区コミュニティ協議会"
"165","34.29744222","134.0415036","香川県立聾学校（体育館）※地震時のみ使用","高松市太田上町513-1","087-865-4492","−","−","−","−","−","−","−","○",,"香川県聾学校","26.3","200","太田南地区コミュニティ協議会"
"166","34.34546194","134.0534536","高松市生涯学習センター（まなびCAN）","高松市片原町11-1むうぶ片原町ビル内","087-811-6222","○","○","○","○","△","△","×","○","○","生涯学習課","2.1","50","新塩屋町地区コミュニティ協議会"
"167","34.34199056","134.0741269","高松市総合体育館","高松市福岡町4-36-1","087-822-0211","○","○","△","○","△","△","×","○","○","スポーツ振興課","2.5","1445","松島地区コミュニティ協議会"
"168","34.29206944","134.1114364","高松東高校（体育館）","高松市前田東町690-1","087-847-6221","×","×","○","○","○","○","×","○","○","県高校教育課","13.1","500","前田校区コミュニティ協議会"
"169","34.31115389","134.0110808","香川高等専門学校（体育館）","高松市勅使町355","087-869-3811","○","○","○","○","○","○","×","○","○","独立行政法人　国立高等専門学校機構","26.5","800","鶴尾校区コミュニティ協議会"
"170","34.290355","133.9520283","香川県営住宅国分寺団地集会場","高松市国分寺町柏原41","-","○","○","○","○","○","○","×","×",,"県住宅課","28.7","45","国分寺南部校区コミュニティ協議会"
"171","34.25265806","134.0310919","香川第一中学校","高松市香川町浅野1188","087-879-2131","○","○","○","○","○","○","○","○","○","教育総務課","98","540","浅野校区コミュニティ協議会"
"172","34.28533528","134.0381625","香川県農業共済組合","高松市三名町5-6","087-888-2121","○","○","○","○","○","○","×","○",,"香川県農業共済組合","36.1","119","一宮地区コミュニティ協議会"
"173","34.29277111","134.0630072","香川大学創造工学部","高松市林町2217-20","087-864-2000","○","○","○","○","○","○","×","○","○","香川大学","22","240","林地区コミュニティ協議会"
"174","34.3292175","134.0992836","介護老人保健施設サンライズ屋島","高松市新田町甲2723-2","087-841-8090","○","△","△","○","△","○","×","○",,"介護老人保健施設サンライズ屋島","2.7","136","古高松地区コミュニティ協議会"
"175","34.35068639","134.0509428","玉藻公園","高松市玉藻町2-1","087-851-1521","○","○","○","○","×","×","×","○",,"文化財課","2.6",,"四番丁コミュニティ協議会"
"176","34.34194556","134.0474322","中央公園","高松市番町１丁目11-1","-","○","○","○","○","△","×","×","○",,"公園緑地課","4.8",,"四番丁コミュニティ協議会"
"177","34.32530333","134.0586261","今里中央公園","高松市今里町１丁目20","-","○","×","○","○","○","×","○","○",,"公園緑地課","4.8",,"太田地区コミュニティ協議会"
"178","34.31414","134.0551","伏石中央公園","高松市伏石町2077","-","○","○","○","○","○","×","○","○",,"公園緑地課","12.3",,"太田地区コミュニティ協議会"
"179","34.31564151","134.065604","木太中央公園","高松市木太町5052","-","○","○","○","○","○","×","○","○",,"公園緑地課","6.5",,"木太地区コミュニティ協議会"
"180","34.33156222","134.1167208","菱の池公園","高松市高松町1211-28","-","○","○","○","○","○","○","×","○",,"公園緑地課","21.3",,"古高松地区コミュニティ協議会"
"181","34.29543016","134.0251408","一宮新池農村公園","高松市一宮町1227","-","○","○","○","○","○","○","×","○",,"土地改良課","29.9",,"一宮地区コミュニティ協議会"
"182","34.33351","134.1567117","房前公園・源平の里むれ（道の駅）","高松市牟礼町原631-7","087-845-6080","○","○","○","○","○","○","×","○",,"観光交流課","7.5",,"むれコミュニティ協議会"
"183","34.3300825","134.0258372","峰山公園","高松市峰山町1838-37","087-834-7297","○","○","○","○","○","○","×","○",,"公園緑地課","171.3",,"亀阜校区コミュニティ協議会"
"184","34.32904333","134.1246036","東部運動公園","高松市高松町1347-1","087-843-9446","○","○","○","○","○","○","○","○",,"公園緑地課","51.3",,"古高松地区コミュニティ協議会"
"185","34.27103972","134.0483483","仏生山公園","高松市仏生山町甲2654-1","087-881-5011","○","○","○","○","○","○","○","○",,"公園緑地課","46.4",,"仏生山地区コミュニティ協議会"
"186","34.30253","134.06385","長池中央公園","高松市林町2581","-","○","○","○","○","○","○","○","○",,"公園緑地課","15.5",,"林地区コミュニティ協議会"
"187","34.28000577","134.0558116","彦作池公園","高松市多肥上町2049-1","-","○","○","○","○","○","○","×","○",,"公園緑地課","32.4",,"多肥地区コミュニティ協議会"
"188","34.24461694","134.0055111","月見ヶ原公園","高松市香南町横井796-1","-","○","○","○","○","○","○","○","○",,"公園緑地課","90.1",,"香南地区コミュニティ協議会"
"189","34.32021139","134.1508181","牟礼中央公園","高松市牟礼町原1019-8","-","○","○","○","○","○","○","○","○",,"公園緑地課","45.8",,"むれコミュニティ協議会"
"190","34.34749417","134.1341633","御山公園","高松市牟礼町牟礼1355-1","087-845-5585","○","○","○","○","○","○","○","○",,"公園緑地課","45.5",,"むれコミュニティ協議会"
"191","34.3081","133.9519056","如意輪寺公園","高松市国分寺町国分2530-2","-","○","○","○","○","○","○","×","○",,"公園緑地課","49.1",,"国分寺北部校区コミュニティ協議会"
"192","34.27257361","133.9499792","橘ノ丘公園","高松市国分寺町新名2069-1","-","○","○","○","×","○","○","○","○",,"公園緑地課","55.7",,"国分寺南部校区コミュニティ協議会"
"193","34.32746","134.09237","トヨタカローラ香川株式会社春日店","高松市春日町902-1","087-805-2600","△","×","○","○","△","△","×","○",,"トヨタカローラ香川株式会社","1.9","121","古高松地区コミュニティ協議会"
