"#property","latitude","longitude","address","alternativeName","city","name","corporateRepresentative","establisher","openingDate","telephone　number","medicalSubjects","note","numberOfBeds","pref","prefCode"
"jp.takamatsu.smartcity.medical.Hospital.115","34.334151","134.063818","香川県高松市観光町６４９番地８","無床診療所","高松市","えないメンタルクリニック","","繒内　利啓","2010/4/5","087-813-1613","心療内科、精神科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.116","34.34235","134.04941","香川県高松市丸亀町７番地１６　丸亀町グリーン２階","無床診療所","高松市","エミナルクリニック高松院","理事長　小池　仁","医療法人エミフル","2022/2/1","087-899-2541","美容皮膚科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.117","34.337788","134.107955","香川県高松市高松町２５０７番地４","無床診療所","高松市","大内クリニック　内科・脳神経内科・眼科","","大内　晣","1973/5/1","087-843-1662","内科、眼科、脳神経内科、消化器内科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.118","34.323601","134.047559","香川県高松市花ノ宮町二丁目１２番１号","無床診療所","高松市","医療法人社団おだ整形外科医院","理事長　織田　静信","医療法人社団おだ整形外科医院","1991/5/1","087-866-7166","リウマチ科、整形外科、リハビリ科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.119","34.340321","134.061531","香川県高松市松島町一丁目８番１８号","無床診療所","高松市","医療法人社団大西整形外科クリニック","理事長　大西　啓一","医療法人社団大西整形外科クリニック","1994/4/1","087-862-8288","外科、整形外科、リハビリ科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.120","34.340327","134.045005","香川県高松市天神前５番６号４Ｆ","無床診療所","高松市","大野ペインクリニック","","大野　健次","2004/12/1","087-836-9870","麻酔科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.121","34.321688","134.037504","香川県高松市西ハゼ町８番地１","無床診療所","高松市","おか整形・リハビリクリニック","理事長　岡　史朗","医療法人社団おか整形・リハビリクリニック","2007/4/1","087-814-8555","整形外科、リハビリ科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.122","34.240969","134.036572","香川県高松市香川町川東上１８６４番地３","無床診療所","高松市","おか内科クリニック","","岡　隆彦","2007/5/15","087-879-1600","内科、呼吸器内科、消化器内科、糖尿病内科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.123","34.301985","134.059658","香川県高松市多肥下町１５４３番地１","無床診療所","高松市","医療法人社団おはら整形外科クリニック","理事長　小原　健夫","医療法人社団おはら整形外科クリニック","2007/10/2","087-865-2398","リウマチ科、外科、整形外科、胃腸外科、肛門外科、リハビリ科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.124","34.304616","134.015275","香川県高松市成合町７２８番地７","無床診療所","高松市","大饗内科消化器科医院","","大饗　由之","2008/5/1","087-885-1233","内科、心療内科、精神科、消化器内科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.125","34.347349","134.088162","香川県高松市屋島西町２４９０番地１８","無床診療所","高松市","医療法人社団空会大西内科クリニック","理事長　大西　隆行","医療法人社団空会","2010/10/1","087-818-0765","内科、消化器内科、アレルギー科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.126","34.300231","134.098316","香川県高松市東山崎町４６６番地３","無床診療所","高松市","おおくぼ小児科","理事長　大久保　賢介","医療法人社団おおくぼ小児科","2013/9/1","087-847-2500","アレルギー科、小児科、新生児内科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.127","34.334055","134.06328","香川県高松市観光町６４９番地８","無床診療所","高松市","オリーブ高松メディカルクリニック","理事長　福井　敏樹","医療法人社団如水会","2015/7/1","087-839-9620","内科、婦人科、放射線科、マンモ","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.128","34.31095","134.043991","香川県高松市三条町１０９番地１","無床診療所","高松市","医療法人社団大橋内科胃腸科","理事長　大橋　英司","医療法人社団大橋内科胃腸科","2007/3/1","087-866-0084","内科、胃腸科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.129","34.33972","134.051104","香川県高松市瓦町二丁目７番地２０","無床診療所","高松市","川原耳鼻咽喉科医院","","川原　孝文","1987/10/13","087-834-4731","耳鼻咽喉科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.130","34.352004","134.01877","香川県高松市郷東町５８７番地１","無床診療所","高松市","公益財団法人香川県総合健診協会","会長　久米川　啓","公益財団法人香川県総合健診協会","1993/4/1","087-881-4867","内科、婦人科、放射線科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.131","34.322052","134.04643","香川県高松市上之町一丁目３番１１号","無床診療所","高松市","かわにし眼科医院","","河西　庸二郎","2000/7/3","087-815-0588","眼科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.132","34.301088","134.059488","香川県高松市多肥下町１５４８番地２０","無床診療所","高松市","加藤眼科クリニック","","加藤　俊彦","2002/5/19","087-868-0707","眼科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.133","34.337024","134.100301","香川県高松市屋島西町１９６８番地７","無床診療所","高松市","医療法人社団かねたけ耳鼻咽喉科医院","理事長　兼竹　博之","医療法人社団かねたけ耳鼻咽喉科医院","2002/7/1","087-841-8733","アレルギー科、耳鼻咽喉科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.134","34.341859","134.038664","香川県高松市番町四丁目８番２５号","無床診療所","高松市","形見医院","","形見　智彦","2004/5/1","087-831-5965","内科、循環器科、小児科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.135","34.287059","134.001371","香川県高松市中間町４０番地１","無床診療所","高松市","医療法人社団菅循環器科内科クリニック","理事長　菅　敬彦","医療法人社団菅循環器科内科クリニック","2004/8/1","087-885-5100","内科、消化器内科、循環器内科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.136","34.305202","134.052186","香川県高松市太田下町３００７番地４","無床診療所","高松市","医療法人社団弘雅会亀井内科呼吸器科医院","理事長　亀井　雅","医療法人社団弘雅会","2005/4/1","087-866-5001","内科、呼吸器科、アレルギー科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.137","34.271796","134.025875","香川県高松市香川町大野２４５３番地１","無床診療所","高松市","医療法人社団かとう皮フ科クリニック","理事長　和泉　麻衣子","医療法人社団かとう皮フ科クリニック","2004/10/1","087-864-7227","皮膚科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.138","34.316839","134.059596","香川県高松市松縄町１１１７番地１６","無床診療所","高松市","医療法人社団川地クリニック","理事長　川地　康司","医療法人社団川地クリニック","2006/6/1","087-815-2110","内科、呼吸器科、アレルギー科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.139","34.286533","134.047861","香川県高松市出作町４３１番地５","無床診療所","高松市","医療法人社団川ばた整形・リハビリクリニック","理事長　川溿　靖人","医療法人社団川ばた整形・リハビリクリニック","2007/5/1","087-889-7770","整形外科、リハビリ科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.140","34.349023","134.001413","香川県高松市香西本町１１４番地１０","無床診療所","高松市","医療法人社団勝賀かつが整形外科クリニック","理事長　西山　徹","医療法人社団勝賀","2007/8/1","087-832-8877","形成外科、美容外科、皮膚科、美容皮膚科、小児皮膚科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.141","34.301775","134.056617","香川県高松市多肥下町１５５６番地１５","無床診療所","高松市","医療法人かど小児科クリニック","理事長　角　勇二","医療法人かど小児科クリニック","2010/9/1","087-868-1200","小児科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.142","34.309109","134.056716","香川県高松市伏石町２８３０番地３","無床診療所","高松市","医療法人社団仁優会武岡皮膚科クリニック高松院","理事長　武岡　伸太郎","医療法人社団仁優会","2024/11/8","087-802-8660","形成外科、美容外科、皮膚科、美容皮膚科、小児皮膚科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.143","34.284409","134.097651","香川県高松市小村町２５６番地２","無床診療所","高松市","医療法人社団つばさ楓の森整形外科","理事長　森　健","医療法人社団つばさ","2012/9/1","087-887-9888","整形外科、リハビリ科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.144","34.346373","134.094066","香川県高松市屋島西町１３４７番地１０","無床診療所","高松市","医療法人社団一耀会かがわ整形外科クリニック","理事長　香川　好男","医療法人社団一耀会かがわ整形外科クリニック","2014/4/1","087-887-9876","整形外科、リハビリ科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.145","34.337938","134.04662","香川県高松市天神前１０番２８号","無床診療所","高松市","加藤眼科医院","理事長　岸本　直子","医療法人社団正眼会","2014/10/1","087-831-3893","眼科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.146","34.342665","134.038787","香川県高松市番町三丁目１９番１５号","無床診療所","高松市","医療法人社団啓里会かわさきレディースクリニック","理事長　川崎　香里","医療法人社団啓里会","2017/3/27","087-802-5525","産婦人科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.147","34.330966","134.058553","香川県高松市楠上町一丁目５番３１号","無床診療所","高松市","医療法人社団かとう整形外科","理事長　加藤　善之","医療法人社団かとう整形外科","2018/4/1","087-833-5545","リウマチ科、整形外科、リハビリ科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.148","34.34016","134.04625","香川県高松市天神前１番２２号","無床診療所","高松市","加藤医院","","加藤　秀樹","2019/7/11","087-862-6614","耳鼻咽喉科、気管食道外科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.149","34.342404","134.047568","香川県高松市番町一丁目７番１１号","無床診療所","高松市","河西医院","","河西　敏晴","2020/2/1","087-851-2666","リウマチ科、整形外科、リハビリ科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.150","34.338564","134.139462","香川県高松市牟礼町牟礼２２番地１","無床診療所","高松市","加地医院","理事長　加地　英輔","医療法人社団加地医院","2021/10/1","087-845-9713","内科、消化器内科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.151","34.29525","134.113659","香川県高松市前田東町８００番地１","無床診療所","高松市","木村医院","理事長　木村　公一","医療法人社団慈風会","2025/4/1","087-847-6002","内科、循環器科、小児科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.152","34.306848","134.090881","香川県高松市東山崎町１６５番地８","無床診療所","高松市","協和医院","","三好　賢一","1997/8/1","087-847-6073","内科、外科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.153","34.297317","134.040245","香川県高松市太田上町４２０番地１","無床診療所","高松市","キッズメディカルまなべ","","真鍋　正博","2007/6/1","087-869-4155","小児科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.154","34.346379","134.047092","香川県高松市兵庫町８番地２　アルファステイツ兵庫町１０２","無床診療所","高松市","北島眼科","","北島　仁","2007/10/4","087-816-6614","眼科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.155","34.312186","134.073211","香川県高松市木太町５５１番地１","無床診療所","高松市","医療法人社団重陽会高松中央インタークリニック","理事長　小林　伸也","医療法人社団重陽会高松中央インタークリニック","2012/5/1","087-869-2200","内科、消化器内科、内視鏡内科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.156","34.352462","134.046611","香川県高松市サンポート２番１号　サンポートビジネススクエア９Ｆ","無床診療所","高松市","医療法人社団美人会共立美容外科高松院","理事長　久次米　秋人","医療法人社団美人会","2015/1/1","087-823-7710","形成外科、美容外科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.157","34.32924","134.149796","香川県高松市牟礼町原１１９２番地２","無床診療所","高松市","きむら内科呼吸器内科クリニック","理事長　木村　公一","医療法人社団きむら内科呼吸器内科クリニック","2023/10/1","087-802-1580","内科、呼吸器内科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.158","34.269917","134.035192","香川県高松市香川町浅野１３７番地１","無床診療所","高松市","医療法人社団三心会くにしげ内科小児科医院","理事長　国重 英治","医療法人社団三心会","2000/3/1","087-889-6600","内科、呼吸器科、消化器科、小児科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.159","34.319807","134.073329","香川県高松市木太町１３３５番地４","無床診療所","高松市","医療法人社団くろべクリニック","理事長　黒部　亜古","医療法人社団くろべクリニック","2009/6/1","087-867-2267","産婦人科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.160","34.339117","134.052478","香川県高松市常磐町一丁目３番地１　コトデン瓦町ビル９階","無床診療所","高松市","医療法人ＪＵＮＯ ＣＬＩＮＩＱＵＥ Ｊ 形成外科","理事長　逢坂　順子","医療法人ＪＵＮＯ","2009/5/1","087-831-1403","形成外科、美容外科、美容皮膚科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.161","34.323061","134.073043","香川県高松市木太町１６０８番地５","無床診療所","高松市","楠の森眼科医院","理事長　山内　一司","医療法人社団一心会","2015/10/1","087-802-1211","眼科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.162","34.298068","134.059837","香川県高松市多肥下町５２７番地１","無床診療所","高松市","Clinicaみやむら","","宮村　卓","2016/4/1","087-868-3860","形成外科、美容皮膚科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.163","34.297886","133.955672","香川県高松市国分寺町国分字野間１３７番地１","無床診療所","高松市","医療法人社団くろだ耳鼻咽喉科医院","理事長　黒田　若奈","医療法人社団くろだ耳鼻咽喉科医院","2022/4/1","087-874-4133","アレルギー科、耳鼻咽喉科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.164","34.323378","134.058502","香川県高松市今里町４番地６","無床診療所","高松市","こんスキンケアクリニック","","権　成基","1998/6/24","087-869-7800","形成外科、皮膚科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.165","34.351363","134.089682","香川県高松市屋島西町２４８５番地６","無床診療所","高松市","医療法人社団小林内科小児科医院","理事長　小林　美子","医療法人社団小林内科小児科医院","2002/11/1","087-843-3315","内科、呼吸器科、胃腸科、アレルギー科、小児科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.166","34.213775","134.032017","香川県高松市香川町安原下第３号１６２番地","無床診療所","高松市","小谷医院","","堀川　知","1995/10/22","087-879-7005","内科、消化器科、外科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.167","34.293344","133.961953","香川県高松市国分寺町福家字下福家甲３８１２番地１　イオンタウン国分寺メディカルモール","無床診療所","高松市","こくぶ脳外科・内科クリニック","理事長　政田　哲也","医療法人社団こくぶりた","2011/3/3","087-875-2255","内科、脳神経外科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.168","34.329596","134.056597","香川県高松市楠上町二丁目３番１５号　アルファメディカルモール２Ｆ","無床診療所","高松市","医療法人社団裕和会こじまクリニック","理事長　小島　章裕","医療法人社団裕和会","2012/9/1","087-813-1122","内科、循環器内科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.169","34.282428","134.042408","香川県高松市仏生山町甲８１６番地５","無床診療所","高松市","仏生山駅前こだまクリニック","","児玉　浩昭","2015/10/26","087-814-4262","内科、リウマチ科、整形外科、形成外科、リハビリ科、放射線科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.170","34.348836","134.049127","香川県高松市寿町一丁目４番３号","無床診療所","高松市","五色台クリニック","理事長　佐藤　仁","医療法人社団五色会","2018/12/1","087-822-2311","心療内科、精神科、児童精神科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.171","34.305806","133.999901","香川県高松市檀紙町１５３１番地１","無床診療所","高松市","医療法人社団博永会香西内科医院","理事長　香西　勝人","医療法人社団博永会","2019/1/1","087-886-5510","内科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.172","34.34168","134.03179","香川県高松市昭和町二丁目１６番７号","無床診療所","高松市","心のケアクリニック","","榎本　百合子","2021/5/10","087-861-7100","心療内科、精神科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.173","34.284385","134.050839","香川県高松市出作町２０５番地１","無床診療所","高松市","こうの呼吸器クリニック","","河野　洋二","2022/10/26","087-889-0111","内科、呼吸器内科、アレルギー科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.174","34.302582","134.096665","香川県高松市東山崎町５４３番地５","無床診療所","高松市","河野内科医院","","河野　裕子","2023/10/1","087-847-8150","内科、美容皮膚科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.175","34.343024","134.068795","香川県高松市福岡町四丁目２番１号","無床診療所","高松市","佐々木内科クリニック","","佐々木　一乗","1998/7/9","087-821-1236","内科、呼吸器科、循環器科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.176","34.293775","134.081538","香川県高松市六条町４８１番地１","無床診療所","高松市","さわ医院","","佐和　尚信","1999/12/1","087-868-5001","消化器内科、外科、整形外科、こう門科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.177","34.32837","134.04655","香川県高松市栗林町一丁目１３番８号","無床診療所","高松市","佐藤皮膚科泌尿器科性病科医院","","佐藤　稔","2002/3/25","087-862-1971","皮膚科、泌尿器科、性病科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.178","34.297317","134.040245","香川県高松市太田上町４２０番地１","無床診療所","高松市","坂口眼科医院","","坂口　恭久","2008/5/1","087-816-5151","眼科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.179","34.326284","134.09866","香川県高松市新田町甲２６０７番地４","無床診療所","高松市","医療法人社団誠心会さとう内科クリニック","理事長　佐藤　誠","医療法人社団誠心会","2010/6/1","087-816-3101","内科、糖尿病・代謝内科、内分泌内科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.180","34.320792","134.060326","香川県高松市松縄町１００５番地３","無床診療所","高松市","さんあいクリニック","","医療法人社団さんあいクリニック","2011/12/1","087-816-3192","心療内科、精神科、耳鼻咽喉科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.181","34.25578","134.034373","香川県高松市香川町浅野１０３０番地１","無床診療所","高松市","内科・消化器内科佐々木クリニック","理事長　佐々木　陽介","医療法人社団陽洸会","2012/5/20","087-840-5339","内科、消化器内科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.182","34.301625","134.06174","香川県高松市多肥下町１５４７番地８","無床診療所","高松市","ササキメディカルクリニック","","佐々木　寛","2013/12/3","087-814-3339","内科、外科、乳腺外科、リハビリ科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.183","34.338981","134.048333","香川県高松市亀井町１０番地１０−１Ｆ","無床診療所","高松市","榊原クリニック","","榊原　正知","2014/11/1","087-835-0977","内科、麻酔科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.184","34.33681","134.051805","香川県高松市観光通一丁目３番地４　レアーレ瓦町１階１０２号","無床診療所","高松市","さんごの海整形外科","理事長　清水　誠英","医療法人社団さんごの海","2016/9/1","087-831-3535","リウマチ科、整形外科、リハビリ科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.185","34.282122","134.046203","香川県高松市仏生山町甲４７１番地５","無床診療所","高松市","さくらの馬場クリニック","理事長　山本　修平","医療法人社団讃志会","2016/11/1","087-889-3555","内科、循環器内科、人工透析内科、腎臓内科、リウマチ科、透析実施","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.186","34.352408","134.046631","香川県高松市サンポート２番１号　マリタイムプラザ２階","無床診療所","高松市","サンポート高松クリニック","","井垣　俊郎","2019/6/1","087-802-3100","内科、糖尿病内科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.187","34.29636","134.05782","香川県高松市多肥上町１２９７番地１","無床診療所","高松市","在宅診療敬二郎クリニック","理事長　西信　俊宏","医療法人社団慈風会","2020/5/18","087-864-3109","内科、外科、形成外科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.188","34.32377","134.04662","高松市花ノ宮町三丁目１４０３番地１０","無床診療所","高松市","医療法人社団さくら在宅クリニック","理事長　中野　淳","医療法人社団さくら在宅クリニック","2025/6/1","087-814-5008","内科、緩和ケア内科、外科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.189","34.340616","134.045012","香川県高松市天神前５番６号　高松メディカルモール２階","無床診療所","高松市","さんぜんクリニック","","小林　三善","2023/5/16","087-812-3006","内科、消化器内科、内視鏡内科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.190","34.336928","134.048041","香川県高松市中新町１１番地８","無床診療所","高松市","医療法人晴明会鷺岡クリニック（休止中）","市川　正浩","医療法人晴明会","2024/1/29","087-833-2631","内科、精神科、神経内科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.191","34.318099","134.046037","香川県高松市三条町５０４番地１","無床診療所","高松市","医療法人社団耕彩会三条山下内科医院","理事長　山下　和彦","医療法人社団耕彩会","1995/6/1","087-867-1201","内科、神経内科、循環器科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.192","34.330761","134.054991","香川県高松市楠上町一丁目９番３６号","無床診療所","高松市","塩見内科医院","","塩見　哲夫","1963/4/1","087-862-0403","内科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.193","34.283926","134.03455","香川県高松市一宮町９７番地７","無床診療所","高松市","医療法人社団しらかわ小児科医院","理事長　白川　佳代子","医療法人社団しらかわ小児科医院","1993/2/1","087-889-2107","小児科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.194","34.29587","133.960631","香川県高松市国分寺町新名４４０番地２３","無床診療所","高松市","白井内科医院","","白井　忠雄","1987/6/10","087-874-3711","内科、消化器科、循環器内科、小児科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.195","34.244025","134.000518","香川県高松市香南町池内５１７番地１５","無床診療所","高松市","医療法人社団しげなり内科医院","理事長　重成　憲裕","医療法人社団しげなり内科医院","1999/1/1","087-879-0366","内科、心療内科、精神科、神経科、神経内科、胃腸科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.196","34.327249","134.067015","香川県高松市上福岡町９２２番地１","無床診療所","高松市","しんまるクリニック","","新丸　昭子","2013/2/1","087-887-7612","内科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.197","34.344713","134.049992","香川県高松市丸亀町３番地１３　高松丸亀町参番街西館２階","無床診療所","高松市","湘南美容クリニック高松院","理事長　竹田　啓介","医療法人社団菜寿会","2017/7/18","050-5865-5801","美容外科、美容皮膚科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.198","34.321526","134.065331","香川県高松市松縄町３７番地７","無床診療所","高松市","医療法人社団白神眼科医院","理事長　村田　晶子","医療法人社団白神眼科医院","2017/9/1","087-866-3730","眼科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.199","34.343693","134.126662","香川県高松市牟礼町牟礼２０９４番地１","無床診療所","高松市","医療法人社団しぶやこどもクリニック","理事長　澁谷　幸彦","医療法人社団しぶやこどもクリニック","2018/4/13","087-845-6111","小児科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.200","34.310612","134.065068","香川県高松市木太町５０８０番地１２","無床診療所","高松市","しみずこどもクリニック","理事長　清水　真樹","医療法人しみずこどもクリニック","2022/11/1","087-802-3607","小児科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.201","34.345443","134.068956","香川県高松市福岡町三丁目１１番２７号","無床診療所","高松市","医療法人社団鈴木レディースクリニック","理事長　鈴木　恵子","医療法人社団鈴木レディースクリニック","2000/10/1","087-826-2288","産婦人科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.202","34.346259","134.090036","香川県高松市春日町１６５０−１","無床診療所","高松市","スカイメディカルクリニック","","關　杏奈","2024/4/1","087-813-7577","内科、消化器内科、内視鏡内科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.203","34.344663","134.038632","香川県高松市扇町二丁目２番１２号","無床診療所","高松市","医療法人社団瀬上皮フ科医院","理事長　瀬上　三實","医療法人社団瀬上皮フ科医院","2003/9/1","087-822-4790","皮膚科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.204","34.306634","134.009739","香川県高松市勅使町６２番地４","無床診療所","高松市","全人クリニック","","西山　尚志","2008/1/1","087-867-1717","内科、心療内科、精神科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.205","34.341804","134.066865","香川県高松市松福町二丁目１０番５号","無床診療所","高松市","医療法人社団せとうちクリニック","理事長　金藤　悟","医療法人社団せとうちクリニック","2011/4/1","087-811-5577","呼吸器内科、、胃腸内科、外科、リハビリ科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.206","34.298609","133.962914","香川県高松市国分寺町新居１３６２番地","無床診療所","高松市","誠心メンタルクリニック","","髙松　和夫","2023/7/20","087-813-7020","心療内科、精神科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.207","34.289885","134.027967","香川県高松市一宮町１１２５番地","無床診療所","高松市","医療法人社団高杉会そがべ整形外科","理事長　曽我部　輝久","医療法人社団高杉会","1993/2/1","087-886-2323","内科、外科、整形外科、リハビリ科、麻酔科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.208","34.279438","134.086507","香川県高松市川島本町２９８番地","無床診療所","高松市","医療法人社団そごうクリニック","理事長　十川　省三","医療法人社団そごうクリニック","2000/10/1","087-848-1155","消化器科、外科、整形外科、皮膚泌尿器科、リハビリ科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.209","34.317308","134.041556","香川県高松市三条町６０８番地１　ゆめタウン高松１階","無床診療所","高松市","高松つつじ眼科","理事長　髙橋　敦","医療法人社団瞳友会","2024/4/1","087-802-3527","眼科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.210","34.391199","134.052048","香川県高松市女木町１１２番地","無床診療所","高松市","高松市国民健康保険女木診療所","高松市長","高松市","1956/9/30","087-873-0103","内科、外科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.211","34.345779","134.035708","香川県高松市扇町一丁目２５番２５号","無床診療所","高松市","田渕医院","","田渕　保己","1991/11/1","087-821-3091","内科、外科、婦人科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.212","34.300654","134.076159","香川県高松市林町１２８１番地","無床診療所","高松市","医療法人社団育林会谷本医院","理事長　谷本　雅人","医療法人社団育林会","1992/5/1","087-867-1861","内科、小児科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.213","34.310511","134.046893","香川県高松市太田下町２３５５番地５","無床診療所","高松市","医療法人社団武田耳鼻咽喉科医院","理事長　武田　伸郎","医療法人社団武田耳鼻咽喉科医院","1993/6/1","087-865-2311","耳鼻咽喉科、気管食道内科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.214","34.30651","133.990193","香川県高松市御厩町４７６番地","無床診療所","高松市","医療法人社団博翔会高田整形外科医院","理事長　高田　博","医療法人社団博翔会","1993/11/1","087-886-8866","リウマチ科、整形外科、リハビリ科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.215","34.305268","133.997962","香川県高松市檀紙町１５９３番地１","無床診療所","高松市","医療法人社団高松脳神経外科・外科医院","理事長　竹内　伸二","医療法人社団高松脳神経外科・外科医院","1994/8/1","087-886-5588","外科、整形外科、脳神経外科、リハビリ科、放射線科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.216","34.303473","134.071877","香川県高松市林町１５８３番地１","無床診療所","高松市","医療法人社団瀧川整形外科医院","理事長　三木　信孝","医療法人社団瀧川整形外科医院","1995/4/1","087-867-2288","リウマチ科、整形外科、リハビリ科","","","香川県","372013"
