#LINK,,,,,,,,,,,,,,,,,,,,,,,,,
#lang,ja,,,,,,,,,,,,,,,,,,,,,,,,
#attribution_name,高松市,,,,,,,,,,,,,,,,,,,,,,,,
#license,http://creativecommons.org/licenses/by/3.0/deed.ja,,,,,,,,,,,,,,,,,,,,,,,,
#file_name,0062,,,,,,,,,,,,,,,,,,,,,,,,
#download_from,https://opendata.smartcity-takamatsu.jp/ckan/dataset/hospital,,,,,,,,,,,,,,,,,,,,,,,,
#property,prefCode,identification,pref,city,name,fullNameInKana,alternativeName,address,katagaki,location,telephoneNumber,extensionNumber,faxNumber,corporateNumber,corporateName,medicalCode,availableDate,medicalStartTime,medicalEndTime,availableDateNote,overtimeResponse,medicalSubjects,numberOfBeds,referenceObject,note
#object_type_xsd,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
#property_context,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion
144,372013,,香川県,高松市,こくぶ脳外科・内科クリニック,コクブノウゲカ・ナイカクリニック,無床診療所,香川県高松市国分寺町福家字下福家甲3812-1,イオンタウン国分寺メディカルモール,",",087-875-2255,,,,医療法人社団こくぶりた,,月火水木金土,09：00,18：00,月曜日18：00、木曜日、土曜日13：00まで。,,内科、脳神経外科,0,"http://www.kokubu-clinic.jp/
https://itp.ne.jp/info/371181845136260600/about/",
145,372013,,香川県,高松市,五色台クリニック,ゴシキダイクリニック,無床診療所,香川県高松市寿町一丁目4番3号,,",",087-822-2311,,,,医療法人社団五色会,,月火水木金土,10：00,19：00,木曜日13：30から。,,心療内科、精神科、児童・思春期精神科,0,http://www.goshikidai.or.jp/04clinic/,
146,372013,,香川県,高松市,こじまクリニック,コジマクリニック,無床診療所,香川県高松市楠上町二丁目3－15,アルファメディカルモール2F,",",087-813-1122,,087-813-1121,,医療法人社団裕和会,,月火水木金土,09：00,18：30,木曜日12：30まで。土曜日13：00まで。,,内科、循環器内科,0,http://www.kojima-clinic-hp.jp/index.html,
147,372013,,香川県,高松市,小谷医院,コタニイイン,無床診療所,香川県高松市香川町安原下第3号162,,",",087-879-7005,,087-840-5331,,堀川　知,,月火水木土,09：00,18：00,木曜日13：00まで。,,内科、消化器科、外科,0,,
148,372013,,香川県,高松市,小林内科小児科医院,コバヤシナイカショウニカイイン,無床診療所,香川県高松市屋島西町2485-6,,",",087-843-3315,,087-841-9899,,医療法人社団小林内科小児科医院,,月火水木金土,09：00,12：30,木曜日12：30、土曜日13：00まで。,,内科、呼吸器科、胃腸科、アレルギー科、小児科,0,"http://wwwd.pikara.ne.jp/kobayasi/index.html
https://itp.ne.jp/info/375544605116130300/",
149,372013,,香川県,高松市,五番丁医院,ゴバンチョウイイン,有床診療所,香川県高松市番町二丁目4-16,,",",087-822-3331,,,,河野　良太,,月火水木金土,09：00,18：00,木曜日、土曜日13：00まで。,,内科、外科、整形外科、こう門科、リハビリ科,19,http://gandkbyouin5.byoinnavi.jp/pc/,
150,372013,,香川県,高松市,こんスキンケアクリニック,コンスキンケアクリニック,無床診療所,香川県高松市今里町4-6,,",",087-869-7800,,087-869-7888,,権　成基,,月火水金土,10：00,19：00,土曜日18：00まで。,,形成外科、皮膚科,0,,
151,372013,,香川県,高松市,在宅診療敬二郎クリニック,ザイタクシンリョウケイジロウクリニック,無床診療所,香川県高松市多肥上町1297-1,,",",087-864-3109,,087-864-3108,,医療法人社団慈風会,,月火水木金土日,09：00,18：00,　,,内科、外科,0,http://www.healthcarenet.jp/clinic-kjr/,
152,372013,,香川県,高松市,ザイタックスクリニック,ザイタックスクリニック,有床診療所,香川県高松市上天神町512-1,,",",087-867-1177,,,,医療法人社団緑会,,月火水木金土,09：00,18：00,,,内科、人工透析内科、糖尿病内科、リウマチ科、泌尿器科,19,http://www.midori-kai.jp/,
153,372013,,香川県,高松市,榊原クリニック,サカキバラクリニック,無床診療所,香川県高松市亀井町10-10,1Ｆ,",",087-835-0977,,087-835-0977,,榊原　正知,,月火水金土,09：00,18：00,土曜日17：00まで。,,内科、麻酔科,0,,
154,372013,,香川県,高松市,坂口眼科医院,サカグチガンカイイン,無床診療所,香川県高松市太田上町420-1,,",",087-816-5151,,087-816-5151,,坂口　恭久,,月火水木金土,09：00,18：00,木曜日、土曜日12：00まで。,,眼科,0,,
155,372013,,香川県,高松市,鷺岡クリニック,サギオカクリニック,無床診療所,香川県高松市中新町11-12,三幸ビル2F,",",087-833-2631,,087-837-1706,,市原　正浩,,月火水金土,09：00,18：00,月曜日14：00から。第1土曜日12：30まで。,,内科、精神科、神経科,0,"http://www.myclinic.ne.jp/sagiokac/pc/
https://itp.ne.jp/info/370998905400000899/",
,,,,,,,,,,,,,,,,,,,,,,,,,
157,372013,,香川県,高松市,さくらクリニック博多　高松分院,サクラクリニックハカタ　タカマツブンイン,無床診療所,香川県高松市林町2217-6,,",",087-887-8881,,,,平野　英保,,水土,10：00,19：00,,,内科,0,,
158,372013,,香川県,高松市,さくらの馬場クリニック,サクラノババクリニック,無床診療所,香川県高松市仏生山町甲471-5,,",",087-889-3555,,,,医療法人社団讃志会,,月火水木金土,09：00,18：00,木曜日13：00、土曜日16：00まで。,,内科、循環器内科、人工透析内科、腎臓内科、リウマチ科、,0,http://sanshikai-med.jp/,
,,,,,,,,,,,,,,,,,,,,,,,,,
160,372013,,香川県,高松市,佐々木内科医院,ササキナイカイイン,有床診療所,香川県高松市扇町一丁目24-5,,",",087-851-6688,,087-822-4940,,医療法人社団慈和会,,月火水木金土,09：00,18：00,土曜日12：30まで。,,内科、胃腸科、循環器科、小児科,19,https://itp.ne.jp/info/510000000000062021/,
161,372013,,香川県,高松市,佐々木内科クリニック,ササキナイカクリニック,無床診療所,香川県高松市福岡町四丁目2-1,,",",087-821-1236,,087-821-1236,,佐々木　一乗,,月火水木金土,09：00,18：00,木曜日午後休診。,,内科、呼吸器科、循環器科,0,,
162,372013,,香川県,高松市,ササキメディカルクリニック,ササキメディカルクリニック,無床診療所,香川県高松市多肥下町1547-8,,",",087-814-3339,,,,佐々木　寛,,月火水木金土,09：00,18：30,水曜日、土曜日13：00まで。,,内科、外科、乳腺外科、リハビリ科,0,https://www.sasaki-medical.com/,
163,372013,,香川県,高松市,佐藤クリニック,サトウクリニック,有床診療所,香川県高松市成合町726-1,,",",087-885-0105,,087-886-5193,,医療法人社団泰平会,,月火水木金土,09：00,18：00,水曜日12：30、土曜日12：00まで。,,内科、外科、整形外科、こう門科、リハビリ科、放射線科,19,https://hospital.dr-navip.jp/kagawa/facility/1515/,
164,372013,,香川県,高松市,さとう内科クリニック,サトウナイカクリニック,無床診療所,香川県高松市新田町甲2607-4,,",",087-816-3101,,087-818-0587,,医療法人社団誠心会,,月火水木金土,09：00,18：00,水曜日13：00まで。,,内科、糖尿病内科、内分泌内科,0,http://sato-naika.byoinnavi.jp/pc/,
165,372013,,香川県,高松市,佐藤皮膚科泌尿器科性病科医院,サトウヒフカヒニョウキカセイビョウカイイン,無床診療所,香川県高松市栗林町一丁目13-8,,",",087-862-1971,,087-837-2925,,佐藤　稔,,月火水木金土,09：00,18：00,木曜日午後休診。,,皮膚科、泌尿器科、性病科,0,http://sato-ud-chinic.com./,
166,372013,,香川県,高松市,さわ医院,サワイイン,無床診療所,香川県高松市六条町481-1,,",",087-868-5001,,087-864-5373,,佐和　尚信,,月火水木金土,09：00,18：00,水曜日12：00、土曜日12：30まで。,,消化器内科、外科、整形外科、こう門科,0,http://www.myclinic.ne.jp/sawa_iin/pc/,
167,372013,,香川県,高松市,さんあいクリニック,サンアイクリニック,無床診療所,香川県高松市松縄町1005-3,,",",087-816-3192,,087-816-3115,,医療法人社団さんあいｸﾘﾆｯｸ,,月火水木金土,09：00,18：30,水曜日12：30、土曜日14：00まで。,,心療内科、精神科、耳鼻咽喉科,0,http://www.3ai.jp/,
168,372013,,香川県,高松市,さんごの海整形外科,サンゴノウミセイケイゲカ,無床診療所,香川県高松市観光通一丁目3-4,レアーレ瓦町１階102号,",",087-831-3535,,087-831-3565,,医療法人社団さんごの海,,月火木金土,09：00,19：30,土曜日13：30まで。,,リウマチ科、整形外科、リハビリ科,0,http://www.sangonoumi.com/,
169,372013,,香川県,高松市,三条整形外科スポーツクリニック,サンジョウセイケイゲカスポーツクリニック,有床診療所,香川県高松市三条町482-1,,",",087-867-2270,,087-867-4100,,医療法人弘仁会,,月火水木金土,09：00,18：00,水曜日、土曜日13：00まで。,,リウマチ科、整形外科、リハビリ科,19,http://www.sanjo-hp.net/,
170,372013,,香川県,高松市,三条山下内科医院,サンジョウヤマシタナイカイイン,無床診療所,香川県高松市三条町504-1,,",",087-867-1201,,087-868-0501,,医療法人社団耕彩会,,月火水木金土,09：00,17：45,水曜日、土曜日13：00まで。,,内科、神経内科、循環器科,0,"http://www.sy-naika.com/
https://byoinnavi.jp/clinic/95709",
171,372013,,香川県,高松市,サンフラワーマタニティークリニック,サンフラワーマタニティークリニック,有床診療所,香川県高松市太田下町3017-3,,",",087-868-4103,,,,柳原　敏宏,,月火水木金土,09：00,18：00,木曜日12：00、土曜日14：00まで。水曜日は午後手術。,,産科、婦人科,19,http://www.sfmc.jp/,
172,372013,,香川県,高松市,塩見内科医院,シオミナイカイイン,無床診療所,香川県高松市楠上町一丁目9-36,,",",087-862-0403,,087-831-8694,,塩見　哲夫,,月火水木金土,09：00,18：00,木曜日、土曜日12：30まで。,,内科,0,http://www.geocities.jp/shiomi_medical_clinic/,
173,372013,,香川県,高松市,しげなり内科医院,シゲナリナイカイイン,無床診療所,香川県高松市香南町池内517-15,,",",087-879-0366,,087-879-0366,,医療法人しげなり内科医院,,月火水木金土,08：30,18：00,水曜日、木曜日、土曜日12：30まで。,,内科、心療内科、精神科、神経科、神経内科、胃腸科,0,,
174,372013,,香川県,高松市,四宮医院,シノミヤイイン,有床診療所,香川県高松市西植田町1540,,",",087-849-0201,,087-849-1122,,四宮　陽一,,月火水木金土,09：00,18：00,木曜日12：00まで。,,内科、小児科、脳神経外科、放射線科,19,,
175,372013,,香川県,高松市,しぶやこどもクリニック,シブヤコドモクリニック,無床診療所,香川県高松市牟礼町牟礼2094-1,,",",087-845-6111,,,,医療法人社団しぶや小児科クリニック,,月火水木金土,08：30,18：30,,,小児科,0,http://www.shibuyaclinic.jp/,
176,372013,,香川県,高松市,渋谷整形外科医院,シブヤセイケイゲカイイン,有床診療所,香川県高松市牟礼町牟礼986-1,,",",087-845-9339,,087-845-9309,,医療法人社団渋谷整形外科医院,,月火水金土,09：00,18：00,土曜日17：30まで。,,リウマチ科、外科、整形外科、リハビリ科,19,http://shibuya-seikei.com/,
177,372013,,香川県,高松市,湘南美容クリニック高松院,ショウナンビヨウクリニックタカマツイン,無床診療所,香川県高松市丸亀町3-13,高松丸亀町商店街参番街西館2F,",",050-5865-5801,,,,医療法人社団菜寿会,,火水金土日,10：00,19：00,,,美容外科、美容皮膚科,0,https://www.sbc-takamatsu.com/,
178,372013,,香川県,高松市,白石心臓血管外科クリニック,シライシシンゾウケッカンゲカクリニック,無床診療所,香川県高松市六条町166,,",",087-847-0011,,087-847-0010,,医療法人社団静正会,,月火水木金土,09：00,17：30,水曜日、土曜日11：30まで。,,血管外科、循環器内科,0,https://localplace.jp/t100352010/,
179,372013,,香川県,高松市,白井内科医院,シライナイカイイン,無床診療所,香川県高松市国分寺町新名440-23,,",",087-874-3711,,087-874-5217,,白井　忠雄,,月火水木金土,09：00,18：00,木曜日12：00まで。,,内科、消化器科、循環器科、小児科,0,https://itp.ne.jp/info/376269025400000899/,
180,372013,,香川県,高松市,白神眼科医院,シラガミガンカイイン,無床診療所,香川県高松市松縄町37-7,,",",087-866-3730,,,,医療法人社団白神眼科医院,,月火水木金土,09：00,18：00,木曜日、土曜日12：00まで。,,眼科,0,http://shiragami-eyeclinic.jp/,
181,372013,,香川県,高松市,しらかわ小児科医院,シラカワショウニカイイン,無床診療所,香川県高松市一宮町97-7,,",",087-889-2107,,087-888-5622,,医療法人社団しらかわ小児科医院,,月火水木金土,08：10,16：30,金曜日18：00まで。土曜日14：00まで。,,小児科,0,http://shirakawacc.starfree.jp/,
182,372013,,香川県,高松市,しんまるクリニック,シンマルクリニック,無床診療所,香川県高松市上福岡町922-1,,",",087-887-7612,,,,新丸　昭子,,月火水木金土,09：00,18：00,火曜日、土曜日12：00まで。,,内科,0,,
183,372013,,香川県,高松市,菅原眼科医院,スガハラガンカイイン,有床診療所,香川県高松市観光通一丁目5-5,,",",087-831-7561,,087-831-8994,,医療法人社団菅原眼科医院,,月火水木金土,09：00,17：00,木曜日、土曜日12：30まで。,,耳鼻咽喉科,3,https://itp.ne.jp/info/372953905400000899/,
184,372013,,香川県,高松市,杉上産婦人科医院,スギウエサンフジンカイイン,有床診療所,香川県高松市香川町浅野1026-5,,",",087-879-6969,,087-879-6973,,杉上  彰,,月火水金土,09：00,18：00,,,内科、産科、婦人科、麻酔科,19,https://sugiue-obgyn.jp/,
185,372013,,香川県,高松市,鈴木レディースクリニック,スズキレディースクリニック,無床診療所,香川県高松市福岡町三丁目11-27,,",",087-826-2288,,087-826-2277,,医療法人社団鈴木レディースクリニック,,月火水金土,09：00,17：30,水曜日17：30、土曜日12：30まで。,,産婦人科,0,https://itp.ne.jp/info/376136805400000899/,
186,372013,,香川県,高松市,住谷小児科医院,スミタニショウニカイイン,無床診療所,香川県高松市郷東町25-4,,",",087-832-8808,,087-881-8077,,医療法人社団住谷小児科医院,,月火水木金土,08：30,18：00,木曜日12：00まで。,,小児科,0,http://iryoshadansumitanishonikain.hp.gogo.jp/pc/,
,,,,,,,,,,,,,,,,,,,,,,,,,
188,372013,,香川県,高松市,整形外科高松厚生クリニック,セイケイゲカタカマツコウセイクリニック,有床診療所,香川県高松市塩上町8-13,,",",087-831-7562,,087-862-2703,,医療法人整愛会,,月火水木金土,09：00,19：00,水曜日、土曜日13：00まで。,,リウマチ科、整形外科、形成外科、リハビリ科,19（休床中）,http://www.kousei-cl.jp/,
189,372013,,香川県,高松市,せとうちクリニック,セトウチクリニック,無床診療所,香川県高松市松福町二丁目10-5,,",",087-811-5577,,087-811-5587,,医療法人社団せとうちクリニック,,月火水木金土,09：00,18：00,水曜日、土曜日13：00まで。,,呼吸器内科、、胃腸内科、外科、リハビリ科,0,http://wwwi.netwave.or.jp/~seto-cli/,
190,372013,,香川県,高松市,瀬上皮フ科医院,セノウエヒフカイイン,無床診療所,香川県高松市扇町二丁目2-12,,",",087-822-4790,,087-822-4790,,医療法人社団瀬上皮フ科医院,,月火水金土,09：00,18：00,土曜日12：30まで。,,皮膚科,0,https://itp.ne.jp/info/371019705400000899/,
,,,,,,,,,,,,,,,,,,,,,,,,,
192,372013,,香川県,高松市,全人クリニック,ゼンジンクリニック,無床診療所,香川県高松市勅使町62-4,,",",087-867-1717,,087-816-6628,,西山　尚志,,月火水金土,09：00,18：00,土曜日16：00まで。,,内科、心療内科、精神科,0,http://www016.upp.so-net.ne.jp/zenjin/,
193,372013,,香川県,高松市,聖アイクリニック,セントアイクリニック,無床診療所,香川県高松市三条町608-1,,",",087-868-5522,,087-868-0522,,西岡　聖子,,火水金土日,12：00,19：00,土曜日、日曜日10：30から。,,眼科,0,,
194,372013,,香川県,高松市,セントラルパーククリニック,セントラルパーククリニック,有床診療所,香川県高松市番町一丁目10-16,,",",087-863-4560,,087-863-0353,,一般財団法人三宅医学研究所,,月火水木金土,08：00,17：00,,,内科、外科、整形外科、婦人科、リハビリ科、放射線科,5,http://www.miyake.or.jp/index_cpc.htm,
195,372013,,香川県,高松市,そがべ整形外科,ソガベセイケイゲカ,無床診療所,香川県高松市一宮町1125,,",",087-886-2323,,087-886-6647,,医療法人社団高杉会,,月火水木金土,09：00,12：30,,,内科、外科、整形外科、リハビリ科、麻酔科,0,,
196,372013,,香川県,高松市,十河診療所,ソガワシンリョウショ,有床診療所,香川県高松市十川西町368-1,,",",087-848-1166,,087-848-1166,,医療法人社団恵生会,,月火水木金土,09：00,18：00,木曜日、土曜日12：00まで。,,内科、小児科、脳神経外科、眼科、リハビリ科,15,http://www.hcv-sakura.com/,
197,372013,,香川県,高松市,そごうクリニック,ソゴウクリニック,無床診療所,香川県高松市川島本町298,,",",087-848-1155,,087-848-1261,,医療法人社団そごうクリニック,,月火水木金土,09：00,18：00,木曜日、土曜日12：30まで。,,消化器科、外科、整形外科、皮膚泌尿器科、リハビリ科,0,,
198,372013,,香川県,高松市,田井メディカルクリニック,タイメディカルクリニック,無床診療所,香川県高松市田村町332-4,,",",087-866-7311,,087-867-5021,,田井　祐爾,,月火水木金土,09：00,18：00,水曜日19：00、木曜日13：30まで。土曜日8：30から13：00まで。,,内科、胃腸科、外科、整形外科、皮膚科、放射線科,0,http://www.tai-med-clinic.jp/,
199,372013,,香川県,高松市,タウンクリニック高松東,タウンクリニックタカマツヒガシ,無床診療所,香川県高松市春日町438-1,,",",087-818-0007,,,,医療法人社団佳友会,,月火水木金土,08：30,18：30,土曜日12：30まで。,,内科、消化器内科、循環器内科,0,,
200,372013,,香川県,高松市,タカオ整形外科医院,タカオセイケイゲカイイン,無床診療所,香川県高松市国分寺町新居1310-1,,",",087-870-6700,,087-870-6262,,鷹尾　正和,,月火水木金土,09：00,18：30,水曜日、土曜日12：30まで。,,整形外科、リハビリ科、麻酔科,0,https://itp.ne.jp/info/379371025400000899/,
201,372013,,香川県,高松市,高田耳鼻咽喉科医院,タカタジビインコウカイイン,無床診療所,香川県高松市松縄町1143-26,,",",087-865-8733,,087-840-0878,,医療法人社団高田耳鼻咽喉科医院,,月火木金土,09：00,18：00,土曜日16：00まで。,,耳鼻咽喉科,0,https://itp.ne.jp/info/374080815400000899/,
202,372013,,香川県,高松市,高田整形外科医院,タカダセイケイゲカイイン,無床診療所,香川県高松市御厩町476,,",",087-886-8866,,087-886-8889,,医療法人社団博翔会,,月火水木金土,09：00,18：30,木曜日12：00、土曜日14：00まで。,,リウマチ科、整形外科、リハビリ科,0,https://itp.ne.jp/info/378859525400000899/,
203,372013,,香川県,高松市,高塚クリニック整形外科耳鼻咽喉科,タカツカクリニックセイケイゲカジビインコウカ,無床診療所,香川県高松市中間町23-1,,",",087-885-4880,,087-885-4884,,医療法人社団萌光会,,月火水木金土,09：00,18：00,木曜日12：30、土曜日16：00まで。,,リウマチ科、整形外科、耳鼻咽喉科、リハビリ科,0,https://itp.ne.jp/info/370449425400000899/,
204,372013,,香川県,高松市,高畠医院,タカバタケイイン,有床診療所,香川県高松市木太町1986,,",",087-862-3410,,087-862-3550,,医療法人社団高畠医院,,月火水木金土,09：00,18：00,木曜日13：00まで。,,内科、リウマチ科、外科、整形外科、皮膚科、泌尿器科、リハビリ科,19,http://www.takabatakec.com/,
205,372013,,香川県,高松市,高畠小児科・アレルギー科医院,タカバタケショウニカ・アレルギーカイイン,無床診療所,香川県高松市木太町1813-1,,",",087-862-2032,,087-835-9380,,医療法人社団高畠小児科医院,,月火水木金土,09：00,17：00,木曜日午後休診。,,アレルギー科、小児科,0,http://www.takabatake-ped.com/,
206,372013,,香川県,高松市,高松e眼科,タカマツイーガンカ,無床診療所,香川県高松市太田下町2457-1,,",",087-868-8855,,,,田中　茂登,,月火水木金土,09：00,18：00,木曜日、土曜日12：00まで。,,眼科,0,https://eganka.com/,
207,372013,,香川県,高松市,高松画像診断クリニック,タカマツガゾウシンダンクリニック,無床診療所,香川県高松市朝日町二丁目483-322,,",",087-811-5588,,,,医療法人社団西高松脳外科・内科クリニック,,月火水木金土,09：00,18：00,土曜日12：30まで。,,内科、脳神経外科、リハビリ科、放射線科、小児科,0,https://image.nishitakamatsu.jp/,
208,372013,,香川県,高松市,たかまつクリニック,タカマツクリニック,無床診療所,香川県高松市木太町1174-1,,",",087-813-5876,,087-813-7317,,医療法人財団愛和会,,月火水金土,09：30,17：30,,,内科、心療内科、精神科,0,,
209,372013,,香川県,高松市,高松紺屋町クリニック,タカマツコンヤマチクリニック,無床診療所,香川県高松市紺屋町5-3,,",",087-813-1018,,,,医療法人ウェルネスサポート,,月火水木金土,09：00,18：00,　,,内科、糖尿病内科、皮膚科、呼吸器内科,0,http://www.well-sprt.com/,
210,372013,,香川県,高松市,高松市国民健康保険男木診療所,タカマツシコクミンケンコウホケンオギシンリョウショ,無床診療所,香川県高松市男木町134,,",",087-873-0003,,087-873-0708,,高松市,,月火木金,15：00,16：45,,,内科、外科,0,,
211,372013,,香川県,高松市,高松市国民健康保険女木診療所,タカマツシコクミンケンコウホケンメギシンリョウショ,無床診療所,香川県高松市女木町112,,",",087-873-0103,,087-873-0838,,高松市,,月火木金,10：30,14：00,,,内科、外科,0,,
212,372013,,香川県,高松市,高松市夜間急病診療所,タカマツシヤカンキュウビョウシンリョウショ,無床診療所,香川県高松市松島町一丁目16-20,,",",087-839-2299,,087-839-2298,,高松市,,月火水木金土日,19：30,23：30,耳鼻咽喉科は木曜日のみ、眼科は土曜日のみ。,,内科、小児科、眼科、耳鼻咽喉科,0,https://www.city.takamatsu.kagawa.jp/kurashi/kurashi/kyukyu/yakan/shinryojo.html,
213,372013,,香川県,高松市,高松神経内科クリニック,タカマツシンケイナイカクリニック,無床診療所,香川県高松市紺屋町4-10,鹿島紺屋町ビル1F,",",087-873-2228,,,,医療法人高松神経内科クリニック,,月火水木金土,09：00,17：00,水曜日12：30まで、第２土曜日のみ12：00まで診療、他土曜日は休診,,精神科、神経内科,0,http://www.tn-clinic.jp/,
214,372013,,香川県,高松市,高松内視鏡診断クリニック,タカマツナイシキョウシンダンクリニック,無床診療所,香川県高松市福岡町四丁目28-30,,",",087-821-8877,,,,医療法人社団西高松脳外科・内科クリニック,,月火水木金土,09：00,18：00,月曜日、土曜日13：00まで。,,内科、消化器内科、循環器内科、脳神経外科,0,https://endoscope.nishitakamatsu.jp/,
215,372013,,香川県,高松市,高松にれクリニック,タカマツニレクリニック,無床診療所,香川県高松市番町二丁目10-6,,",",087-851-1117,,,,医療法人讃楡会,,月火水木金土,08：30,15：00,月曜日、水曜日、金曜日22：30まで。,,内科、人工透析内科、糖尿病内科、腎臓内科、泌尿器科,0,https://niere.jp/takamatsu/,
216,372013,,香川県,高松市,高松脳神経外科・外科医院,タカマツノウシンケイゲカ・ゲカイイン,無床診療所,香川県高松市檀紙町1593-1,,",",087-886-5588,,087-886-5589,,医療法人社団高松脳神経外科・外科医院,,月火水木金土,08：30,17：30,木曜日、土曜日12：30まで。,,外科、整形外科、脳神経外科、リハビリ科、放射線科,0,http://www.takamatsunouge.jp/,
217,372013,,香川県,高松市,高松ハートクリニック,タカマツハートクリニック,有床診療所,香川県高松市春日町148-1,,",",087-814-5111,,087-814-5112,,医療法人社団立心会高松ハートクリニック,,月火水木金土,09：00,17：00,土曜日12：00まで。,,内科、循環器内科,6,http://ta-heart.com/,
,,,,,,,,,,,,,,,,,,,,,,,,,
219,372013,,香川県,高松市,高本内科医院,タカモトナイカイイン,無床診療所,香川県高松市牟礼町原430,,",",087-845-8000,,087-845-8000,,医療法人社団高本内科医院,,月火水金土,09：00,17：30,土曜日12：30まで。,,内科、胃腸科、循環器科,0,,
220,372013,,香川県,高松市,瀧川整形外科医院,タキガワセイケイゲカイイン,無床診療所,香川県高松市林町1583-1,,",",087-867-2288,,087-867-6532,,医療法人社団瀧川整形外科医院,,月火水木金土,09：00,18：00,水曜日、土曜日13：00まで。,,リウマチ科、整形外科、リハビリ科,0,http://www.myclinic.ne.jp/t_seikei/pc/,
221,372013,,香川県,高松市,武田耳鼻咽喉科医院,タケダジビインコウカイイン,無床診療所,香川県高松市太田下町2355-5,,",",087-865-2311,,087-866-4501,,医療法人社団武田耳鼻咽喉科医院,,月火水木金土,09：00,18：00,木曜日12：00、土曜日16：30まで。,,耳鼻咽喉科、気管食道内科,0,"https://itp.ne.jp/info/510000000000062037/
https://www.489map.com/helios/A8135594/reserve/syoshin",
222,372013,,香川県,高松市,竹田耳鼻咽喉科クリニック,タケダジビインコウカクリニック,無床診療所,香川県高松市郷東町134-1,西高松メディカルビルイーア1階,",",087-873-2033,,,,医療法人社団すずらん,,月火水木金土,09：00,18：00,水曜日12：30、土曜日13：00まで。,,アレルギー科、耳鼻咽喉科,0,http://park.paa.jp/park2/clinics/2171,
223,372013,,香川県,高松市,竹広小児科医院,タケヒロショウニカイイン,無床診療所,香川県高松市太田下町2462-3,,",",087-866-2461,,087-840-0750,,医療法人社団竹広小児科医院,,月火水木金土,08：30,18：00,水曜日、土曜日12：30まで。,,小児科,0,https://www.takehiro-clinic.jp/medical/,
224,372013,,香川県,高松市,たけべ乳腺外科クリニック,タケベニュウセンゲカクリニック,有床診療所,香川県高松市多肥下町字山道365-9,,",",087-867-0205,,087-867-0306,,医療法人社団一歩一景会,,月火水木金土,09：00,17：30,火曜日、木曜日、土曜日12：30まで。,,乳腺外科,15,https://takebe.gr.jp/,
225,372013,,香川県,高松市,田坂耳鼻咽喉科医院,タサカジビインコウカイイン,無床診療所,香川県高松市松島町一丁目14-23,,",",087-861-8204,,087-834-8180,,田坂　周治,,月火水木金土,09：00,18：15,木曜日12：30、土曜日17：00まで。,,アレルギー科、耳鼻咽喉科、気管食道科,0,https://itp.ne.jp/info/374845615400000899/,
226,372013,,香川県,高松市,多田医院,タダイイン,無床診療所,香川県高松市扇町一丁目25-48,,",",087-851-2921,,087-851-2967,,多田　昌弘,,月火水金土,09：00,17：30,火曜日、木曜日、土曜日12：30まで。,,内科,0,,
227,372013,,香川県,高松市,多田羅内科クリニック,タタラナイカクリニック,有床診療所,香川県高松市番町三丁目3-1,,",",087-861-3730,,087-861-3430,,医療法人福生会,,月火水木金土,09：00,17：30,水曜日、土曜日12：30まで。,,内科、呼吸器内科、消化器内科、循環器内科、,18,http://tatara-clinic.main.jp/,
228,372013,,香川県,高松市,たつや耳鼻咽喉科,タツヤジビインコウカ,無床診療所,香川県高松市高松町3006-21,,",",087-843-8733,,,,医療法人社団千和会,,月火水木金土,09：00,18：00,木曜日13：00、土曜日16：00まで。,,耳鼻咽喉科,0,https://itp.ne.jp/info/379733225126530510/,
229,372013,,香川県,高松市,TANAKAクリニック　形成外科・美容外科,タナカクリニック　ケイセイゲカ・ビヨウゲカ,無床診療所,香川県高松市丸亀町1-1,丸亀町壱番街西館2階,",",087-823-1500,,,,医療法人社団RENATUS PRAS,,月火水金土,10：00,18：30,土曜日17：00まで。,,形成外科、美容外科,0,http://www.tanaka-pras-cl.com/,
230,372013,,香川県,高松市,谷崎眼科医院,タニザキガンカイイン,無床診療所,香川県高松市円座町129-4,,",",087-885-5558,,087-885-5568,,医療法人社団谷崎眼科医院,,月火水木金土,09：00,18：00,土曜日13：00まで。水曜日は手術のみ。,,眼科,0,https://itp.ne.jp/info/377779425400000899/,
231,372013,,香川県,高松市,谷本医院,タニモトイイン,無床診療所,香川県高松市林町1281,,",",087-867-1861,,087-865-8819,,医療法人社団育林会,,月火水木金土,09：00,18：00,土曜日12：30まで。,,内科、小児科,0,,
232,372013,,香川県,高松市,谷本内科医院,タニモトナイカイイン,有床診療所,香川県高松市香川町大野997-3,,",",087-885-8500,,087-870-4130,,医療法人社団谷本内科医院,,月火水木金土,09：00,18：00,木曜日13：00まで。,,内科、循環器内科、人工透析内科、糖尿病内科、泌尿器科、リハビリ科,19,http://www.tanimoto-c.or.jp/,
