#LINK,,,
#lang,ja,,
#attribution_name,高松市,,
#license,http://creativecommons.org/licenses/by/3.0/deed.ja,,
#file_name,0074,,
#download_from,https://opendata.smartcity-takamatsu.jp/ckan/dataset/garbage_separation_list,,
#property,name,classification,note
#object_type_xsd,string,string,string
#property_context,Assertion,Assertion,Assertion
444,パソコン（ノート型）,収集不可,"パソコンリサイクル対象品
「小型家電」として回収できます。"
445,パソコン（本体）,収集不可,"パソコンリサイクル対象品
「小型家電」として回収できます。"
446,パソコン用プリンター,破砕ごみ,
447,パソコンラック,臨時・粗大ごみ,
448,バッグ,破砕ごみ,
449,バッテリー（乗用車・オートバイ用）,臨時・粗大ごみ,1回につき2個まで
450,バット（木製）,燃やせるごみ,50cmを超えるものは「臨時・粗大ごみ」
451,バット（金属製）,破砕ごみ,
452,発泡スチロール緩衝材（家電製品等用）,プラスチック容器包装,段ボールケースは「紙・布」
453,発泡スチロールケース,プラスチック容器包装,中身を使い切り、汚れを取り除いたものに限る
454,花,燃やせるごみ,
455,花火（使用済み）,燃やせるごみ,未使用のものは収集不可
456,歯ブラシ,破砕ごみ,
457,針,破砕ごみ,危険のないように包む
458,針金,破砕ごみ,2袋まで。50cm以下に切る。多量は収集不可
459,ハンガー,破砕ごみ,金属製のものは丸める
460,ハンガースタンド,臨時・粗大ごみ,
461,ハンカチ,燃やせるごみ,
462,バンパー,収集不可,販売店などにお問い合わせください
463,ピアノ,収集不可,販売店などにお問い合わせください
464,皮革衣類,紙・布,
465,ビー玉,破砕ごみ,
466,ビール缶,缶・びん・ペットボトル,中身を空にして、洗浄したものに限る
467,ビールびん,缶・びん・ペットボトル,原則として販売店に返す
468,ビデオカメラ,破砕ごみ,バッテリーは販売店に返却する。小型家電として回収ボックスに投入できます
469,ビデオテープ,燃やせるごみ,ケースのみ出す場合は「破砕ごみ」
470,ビデオデッキ,破砕ごみ,
471,ビニールシート・ブルーシート,破砕ごみ,1m×1m以下に切る（2袋まで）。3袋以上は収集不可
472,ビニールシート（農業用）,収集不可,販売店などにお問い合わせください
473,漂白剤,収集不可,販売店などにお問い合わせください
474,肥料,収集不可,販売店などにお問い合わせください
475,肥料袋（紙・布製）,燃やせるごみ,家庭で使用したものに限る
476,肥料袋（プラスチック製）,プラスチック容器包装,中身を使い切り、汚れを取り除いたもので、家庭で使用したものに限る
477,ＦＡＸ機器,破砕ごみ,小型家電として回収ボックスに投入できます
478,ＦＡＸ用感熱紙,燃やせるごみ,
479,ファスナー,破砕ごみ,
481,フイルム状の包み（たばこ・菓子等）,プラスチック容器包装,中身を使い切ったものに限る
482,フイルムネガ,破砕ごみ,
483,フォーク,破砕ごみ,危険のないように包む
485,ふすま※,臨時・粗大ごみ,請負工事で発生したものは収集不可
486,ふた・キャップ（金属製）,破砕ごみ,
487,ふた・キャップ（プラスチック製）,プラスチック容器包装,
488,ふた・キャップ（王冠）,破砕ごみ,
489,仏壇,収集不可,販売店などにお問い合わせください
490,筆・筆ペン,破砕ごみ,
491,ふとん（2枚まで）,燃やせるごみ,指定収集袋に入れて口をしばる
492,ふとん（3枚以上）,臨時・粗大ごみ,毛布・肌ふとんは6枚以上
493,ふとんカバー,燃やせるごみ,
494,ふとん乾燥機,破砕ごみ,
495,フライパン,破砕ごみ,
496,ブラインド・ロールカーテン,破砕ごみ,大きさ1m×50cm×50cm又は重量10kgを超えるものは「臨時・粗大ごみ」
497,ブラシ,破砕ごみ,
498,プラスチックカップ（プリン等の空容器）,プラスチック容器包装,中身を空にして、汚れを取り除いたものに限る
499,プラスチックスティック（砂糖等の空容器）,プラスチック容器包装,中身を空にして、汚れを取り除いたものに限る
500,プラスチックパック（マーガリン等の空容器）,プラスチック容器包装,中身を空にして、汚れを取り除いたものに限る
501,プラスチックボトル（食油・ソース・洗剤・シャンプー用等の空容器）,プラスチック容器包装,中身を使い切り、汚れを取り除いたものに限る
502,プラモデル,破砕ごみ,
503,フラワーポット,破砕ごみ,
504,プランター,破砕ごみ,
505,プリスターパック（台紙部分）,紙・布,
506,プリスターパック（パック部分）,プラスチック容器包装,
507,風呂釜,臨時・粗大ごみ,ユニットバス及び請負工事で発生したものは収集不可
508,ブロック,臨時・粗大ごみ,1回につき5個まで。請負工事で発生したものは収集不可
509,ブロック積み木（プラスチック製）,破砕ごみ,
510,フロッピーディスク,破砕ごみ,
511,風呂のふた,破砕ごみ,1m以下に切る
512,噴霧器（家庭用）,破砕ごみ,
513,ぺットの砂,燃やせるごみ,汚物を取り除く
514,ヘッドホーン,破砕ごみ,コードは50cm以下に切る
515,ペットボトル（飲料・酒・醤油用など）,缶・びん・ペットボトル,キャップ・ラベルを取り除き、使い切り、洗浄したもの。プラマークの表示があるもの
516,ベッド枠・パイプベッド,臨時・粗大ごみ,
517,ベニヤ板（2袋まで）,燃やせるごみ,1袋重量10kg以下、長さ50cm以下。請負工事で発生したものは収集不可
518,ベニヤ板（3袋以上）,臨時・粗大ごみ,1袋重量10kg以下、長さ1m以下。請負工事で発生したものは収集不可
519,ベビーカー,破砕ごみ,大きさ1m×50cm×50cm又は重量10kgを超えるものは「臨時・粗大ごみ」
520,ベビーチェアー,破砕ごみ,
521,ベビーバス,破砕ごみ,
522,ベビーベッド,破砕ごみ,大きさ1m×50cm×50cm又は重量10kgを超えるものは「臨時・粗大ごみ」
523,ヘルスメーター,破砕ごみ,電子ヘルスメーターは「小型家電」として回収ボックスに投入できます。
524,ベルト,破砕ごみ,
,,,
526,便器（ポータブル）,破砕ごみ,
527,便座,破砕ごみ,
528,便座カバー,燃やせるごみ,
529,ペンチ（小型家庭用）,破砕ごみ,危険のないように包む
530,弁当箱（木製）,燃やせるごみ,
531,弁当箱（金属製・プラスチック製）,破砕ごみ,中身を空にしたものに限る
532,弁当箱（プラスチック製・使い捨て）,プラスチック容器包装,中身を空にして、汚れを取り除いたものに限る。プラマークの表示があるもの
533,ボイラー,臨時・粗大ごみ,請負工事で発生したものは収集不可
534,ほうき（木・竹製）,燃やせるごみ,50cm以下に切る
535,ほうき（プラスチック製）,破砕ごみ,50cm以下に切る
536,帽子（布製）,紙・布,汚れているものは「燃やせるごみ」
537,帽子（布製以外）,破砕ごみ,
538,防臭剤,破砕ごみ,
539,防虫剤,破砕ごみ,
540,包丁,破砕ごみ,危険のないように包む
541,ホース,破砕ごみ,50cm以下に切る。
542,ボウリングのボール,臨時・粗大ごみ,
543,ボール（球）,破砕ごみ,
544,ボールペン,破砕ごみ,
545,ポスター,燃やせるごみ,
546,ボタン電池,収集不可,「ボタン電池回収協力店」に設置の専用箱にて回収
547,ホッチキス,破砕ごみ,
548,ポット（湯沸かしポット）,破砕ごみ,
549,ホットカーペット,破砕ごみ,大きさ1m×50cm×50cm又は重量10kgを超えるものは「臨時・粗大ごみ」
550,ホットプレート,破砕ごみ,
551,ポリタンク,破砕ごみ,
552,ポリ袋（パン・菓子等）,プラスチック容器包装,中身を空にして、汚れを取り除いたものに限る
553,保冷剤,破砕ごみ,
554,盆（木製）,燃やせるごみ,
555,盆（金属製・プラスチック製）,破砕ごみ,
556,本,紙・布,
557,本箱,臨時・粗大ごみ,1m×1m以下、1m×1mを超えるものでそれぞれ手数料が異なります
558,枕（中身が天然性）,燃やせるごみ,
559,枕（中身が天然性以外）,破砕ごみ,
560,マジックインキ,破砕ごみ,
561,麻雀パイ,破砕ごみ,
562,マッサージ器（携帯用）,破砕ごみ,
563,マッサージ器（いす式）,臨時・粗大ごみ,
564,マッチ（使用済み）,燃やせるごみ,未使用は収集不可
565,マットレス（スプリング無し）,破砕ごみ,大きさ1m×50cm×50cm又は重量10kgを超えるものは「臨時・粗大ごみ」
566,まな板（木製）,燃やせるごみ,
567,まな板（プラスチック製）,破砕ごみ,
568,マフラー（襟巻き）,燃やせるごみ,
569,マフラー（自動車部品）,収集不可,販売店などにお問い合わせください
,,,
571,漫画雑誌,紙・布,
,,,
573,ミシン（ポータブル式）,破砕ごみ,大きさ1m×50cm×50cm又は重量10kgを超えるものは「臨時・粗大ごみ」
574,ミシン（足踏み式）,臨時・粗大ごみ,
575,水着,紙・布,汚れているものは「燃やせるごみ」
576,ミニコンポ,破砕ごみ,大きさ1m×50cm×50cm又は重量10kgを超えるものは「臨時・粗大ごみ」
577,名刺,燃やせるごみ,
578,めがね,破砕ごみ,
579,毛布,紙・布,汚れているものは「燃やせるごみ」
580,モップ,破砕ごみ,柄を1m以下に切る
581,物置（解体済）,臨時・粗大ごみ,1坪以下。請負工事で発生したものは収集不可
582,物干しざお,破砕ごみ,1m以下に切る。1mを超えるものは「臨時・粗大ごみ」
583,物干しスタンド・台,臨時・粗大ごみ,
584,モバイルバッテリー,収集不可,
585,やかん,破砕ごみ,
586,野菜ネット（みかん・玉ねぎ等用）,プラスチック容器包装,中身を空にしたものに限る
587,ゆかた,紙・布,汚れているものは「燃やせるごみ」
588,湯沸かしポット,破砕ごみ,
589,溶剤（シンナー等）,収集不可,販売店などにお問い合わせください
590,洋服,紙・布,汚れているものは「燃やせるごみ」
591,浴槽,臨時・粗大ごみ,ユニットバス及び請負工事で発生したものは収集不可
592,よしず（植物性）,燃やせるごみ,50cm以下に切って指定収取袋に入れる。入らないものは「臨時・粗大ごみ」
593,よしず（プラスチック製）,破砕ごみ,大きさ1m×50cm×50cm又は重量10kgを超えるものは「臨時・粗大ごみ」
594,ライター,有害ごみ,中身を使い切ったものに限る
595,ラジオ・ラジカセ,破砕ごみ,小型家電として回収ボックスに投入できます
596,ラップフイルム（購入時、商品包装に使用されていたもの）,プラスチック容器包装,汚れを取り除いたものに限る
597,ラップフイルム（家庭用で保存のために使用したもの）,破砕ごみ,
598,ランドセル,破砕ごみ,
599,りュックサック,破砕ごみ,
600,料理くず,燃やせるごみ,
601,冷蔵庫,家電リサイクル法対象品,
602,冷凍庫,家電リサイクル法対象品,
603,冷凍食品トレイ,プラスチック容器包装,中身を空にして、汚れを取り除いたものに限る
604,冷風機・温風機（家電リサイクル法対象外のもの）,破砕ごみ,大きさ1m×50cm×50cm又は重量10kgを超えるものは「臨時・粗大ごみ」
605,レインコート,破砕ごみ,
606,レコード盤,破砕ごみ,
607,レシート,燃やせるごみ,
608,レジ袋,プラスチック容器包装,
609,レトルトパック,プラスチック容器包装,中身を空にして、汚れを取り除いたものに限る
610,レンガ,臨時・粗大ごみ,1回につき20個まで。請負工事で発生したものは収集不可
611,レンジ台,臨時・粗大ごみ,米びつ無し、米びつ付きでそれぞれ手数料が異なります。
612,レンジパネル,破砕ごみ,
613,老眼鏡,破砕ごみ,
614,ローソク,燃やせるごみ,
615,ロープ（天然性）,燃やせるごみ,50cm以下に切る
616,ロープ（天然性以外）,破砕ごみ,50cm以下に切る
617,ワープロ,破砕ごみ,
618,ワイシャツ,紙・布,
619,ワイシャツ台紙,紙・布,
620,ワイヤーロープ,収集不可,販売店などにお問い合わせください
621,輪ゴム,破砕ごみ,
622,ワゴン,臨時・粗大ごみ,
623,和服,紙・布,汚れているものは「燃やせるごみ」
624,わら（納豆包装用）,燃やせるごみ,
625,割り箸,燃やせるごみ,
626,オイル処理ボックス,燃やせるごみ,
627,カップ麺の容器（紙製）,燃やせるごみ,
628,コピー機（軽量なもの）,破砕ごみ,家庭用に限る。大きさ1m×50cm×50cm又は重量10kgを超えるものは「臨時・粗大ごみ」
629,ジョイントマット,破砕ごみ,
630,電気カミソリ,破砕ごみ,小型家電として回収ボックスに投入できます
631,電動歯ブラシ,破砕ごみ,小型家電として回収ボックスに投入できます
632,ニッケル水素電池,収集不可,市もしくは「充電式電池リサイクル協力店」に設置の専用箱にて回収
633,ビニールひも、PPロープ,破砕ごみ,５０cm以下に切る。
634,リチウムイオン電池,収集不可,市もしくは「充電式電池リサイクル協力店」に設置の専用箱にて回収
635,,,
636,,,
637,,,
638,,,
639,,,
640,,,
641,,,
