#property,latitude,longitude,prefCode,identification,pref,city,name,fullNameInKana,alternativeName,fullNameInRomaji,classification,category,placeName,address,katagaki,telephoneNumber,extensionNumber,member,memberUnit,corporateNumber,owner,culturalPropertyDate,availableDate,startTime,endTime,availableDateNote,image,iamgeLicense,summary,summaryInRomaji,description,descriptionEng,referenceObject
104,0,0,37201,,香川県,高松市,藤尾八幡神社奉納鏡 ,,,,市指定有形文化財,工芸品,藤尾八幡神社,高松市西植田町,,,,,,,,1999-08-05,,,,,,,,,,,
105,34.344189,134.034412,37201,,香川県,高松市,本小札肩白紺糸おどし具足   二方白四十八間筋兜,,,,市指定有形文化財,工芸品,高松市歴史資料館,高松市昭和町一丁目2-20,,087-861-4520,,,,,,1999-08-05,火水木金土日,09:00,17:00,入館は16：30まで。月曜日（祝日の場合は翌平日）、年末年始（12/29～1/3）利用不可,,,,,,,http://www.city.takamatsu.kagawa.jp/kurashi/kosodate/bunka/rekishi/index.html
106,34.344189,134.034412,37201,,香川県,高松市,剣  銘  則國,,,,市指定有形文化財,工芸品,高松市歴史資料館,高松市昭和町一丁目2-20,,087-861-4520,,,,,,2007-04-10,火水木金土日,09:00,17:00,入館は16：30まで。月曜日（祝日の場合は翌平日）、年末年始（12/29～1/3）利用不可,,,,,,,http://www.city.takamatsu.kagawa.jp/kurashi/kosodate/bunka/rekishi/index.html
107,34.344347,134.049095,37201,,香川県,高松市,狭貫彫堆黒松ヶ浦香合（忘貝香合）,,,,市指定有形文化財,工芸品,高松市美術館,高松市紺屋町10-4,,087-823-1711,,,,,,2015-03-31,火水木金土日,09:30,17:00,入館は16：30まで。月曜日（祝日の場合は翌平日）、年末年始（12/29～1/4）利用不可,,,,,,,https://www.city.takamatsu.kagawa.jp/museum/takamatsu/
108,34.344347,134.049095,37201,,香川県,高松市,堆朱篳篥筥,,,,市指定有形文化財,工芸品,高松市美術館,高松市紺屋町10-4,,087-823-1711,,,,,,2015-03-31,火水木金土日,09:30,17:00,入館は16：30まで。月曜日（祝日の場合は翌平日）、年末年始（12/29～1/5）利用不可,,,,,,,https://www.city.takamatsu.kagawa.jp/museum/takamatsu/
109,34.344347,134.049095,37201,,香川県,高松市,讃岐彫堆朱手向山香盒,,,,市指定有形文化財,工芸品,高松市美術館,高松市紺屋町10-4,,087-823-1711,,,,,,2015-03-31,火水木金土日,09:30,17:00,入館は16：30まで。月曜日（祝日の場合は翌平日）、年末年始（12/29～1/6）利用不可,,,,,,,https://www.city.takamatsu.kagawa.jp/museum/takamatsu/
110,34.344347,134.049095,37201,,香川県,高松市,彩色蒟醤水指棚,,,,市指定有形文化財,工芸品,高松市美術館,高松市紺屋町10-4,,087-823-1711,,,,,,2015-03-31,火水木金土日,09:30,17:00,入館は16：30まで。月曜日（祝日の場合は翌平日）、年末年始（12/29～1/7）利用不可,,,,,,,https://www.city.takamatsu.kagawa.jp/museum/takamatsu/
111,34.344189,134.034412,37201,,香川県,高松市,刀　銘　讃州住盈永　附　盈永文書,,,,市指定有形文化財,工芸品,高松市歴史資料館,高松市昭和町一丁目2-20,,087-861-4520,,,,,,2015-03-31、20160-3-31（文書を附指定）,火水木金土日,09:00,17:00,入館は16：30まで。月曜日（祝日の場合は翌平日）、年末年始（12/29～1/3）利用不可,,,,,,,http://www.city.takamatsu.kagawa.jp/kurashi/kosodate/bunka/rekishi/index.html
112,34.34997,134.053336,37201,,香川県,高松市,徳川家綱安堵判物案,,,,市指定有形文化財,書跡,香川県立ミュージアム,高松市玉藻町5-5,,087-822-0002,,,,,,1975-03-13,火水木金土日,09:00,17:00,入館は16：30まで。【休館日】月曜日（祝休日の場合は、翌火曜日）。12月26日～1月1日。,,,,,,,https://www.pref.kagawa.lg.jp/kmuseum/
113,34.34997,134.053336,37201,,香川県,高松市,永井尚庸・小笠原長賴連署奉書,,,,市指定有形文化財,書跡,香川県立ミュージアム,高松市玉藻町5-5,,087-822-0002,,,,,,1975-03-13,火水木金土日,09:00,17:00,入館は16：30まで。【休館日】月曜日（祝休日の場合は、翌火曜日）。12月26日～1月1日。,,,,,,,https://www.pref.kagawa.lg.jp/kmuseum/
114,34.34997,134.053336,37201,,香川県,高松市,松平賴重筆   和歌幅,,,,市指定有形文化財,書跡,香川県立ミュージアム,高松市玉藻町5-5,,087-822-0002,,,,,,1975-03-13,火水木金土日,09:00,17:00,入館は16：30まで。【休館日】月曜日（祝休日の場合は、翌火曜日）。12月26日～1月1日。,,,,,,,https://www.pref.kagawa.lg.jp/kmuseum/
115,34.34997,134.053336,37201,,香川県,高松市,松平賴重  短冊屏風,,,,市指定有形文化財,書跡,香川県立ミュージアム,高松市玉藻町5-5,,087-822-0002,,,,,,1977-08-01,火水木金土日,09:00,17:00,入館は16：30まで。【休館日】月曜日（祝休日の場合は、翌火曜日）。12月26日～1月1日。,,,,,,,https://www.pref.kagawa.lg.jp/kmuseum/
116,34.344189,134.034412,37201,,香川県,高松市,生駒家時代讃岐高松城屋敷割図  付同引伸図,,,,市指定有形文化財,書跡,高松市歴史資料館,高松市昭和町一丁目2-20,,087-861-4520,,,,,,1975-03-13,火水木金土日,09:00,17:00,入館は16：30まで。月曜日（祝日の場合は翌平日）、年末年始（12/29～1/3）利用不可,,,,,,,http://www.city.takamatsu.kagawa.jp/kurashi/kosodate/bunka/rekishi/index.html
117,34.344189,134.034412,37201,,香川県,高松市,讃岐国一宮田村大社壁書,,,,市指定有形文化財,書跡,高松市歴史資料館,高松市昭和町一丁目2-20,,087-861-4520,,,,,,1977-08-01,火水木金土日,09:00,17:00,入館は16：30まで。月曜日（祝日の場合は翌平日）、年末年始（12/29～1/3）利用不可,,,,,,,http://www.city.takamatsu.kagawa.jp/kurashi/kosodate/bunka/rekishi/index.html
118,0,0,37201,,香川県,高松市,大般若波羅蜜多経,,,,市指定有形文化財,書跡,願成寺,高松市庵治町井谷1625,,,,,,,,1982-01-13,,,,,,,,,,,
119,34.239572,134.021774,37201,,香川県,高松市,由佐家文書,,,,市指定有形文化財,古文書,香南歴史民俗郷土館,高松市香南町由佐253-1,,087-879-0717,,,,,,2009-01-09,火水木金土日,09:00,17:00,入館は16：30まで。月曜日（祝日の場合は翌平日）、年末年始（12/29～1/3）利用不可,,,,,,,http://www.city.takamatsu.kagawa.jp/kurashi/kosodate/bunka/konan.html
120,0,0,37201,,香川県,高松市,楠尾神社経塚出土遺物,,,,市指定有形文化財,考古資料,楠尾神社,高松市国分寺町新居3369,,,,,,,,1970-03-28,,,,,,,,,,,
121,0,0,37201,,香川県,高松市,石船石棺,,,,市指定有形文化財,考古資料,石船天満宮,高松市国分寺町新名1879,,,,,,,,1970-03-28,,,,,,,,,,,
122,0,0,37201,,香川県,高松市,御城俊禅蒐集古瓦,,,,市指定有形文化財,考古資料,洲崎寺,高松市牟礼町牟礼269１,,,,,,,,1976-04-01,,,,,,,,,,,
123,34.344189,134.034412,37201,,香川県,高松市,大空遺跡出土弥生土器  ５３点,,,,市指定有形文化財,考古資料,高松市歴史資料館,高松市昭和町一丁目2-20,,087-861-4520,,,,,,1998-06-01,火水木金土日,09:00,17:00,入館は16：30まで。月曜日（祝日の場合は翌平日）、年末年始（12/29～1/3）利用不可,,,,,,,http://www.city.takamatsu.kagawa.jp/kurashi/kosodate/bunka/rekishi/index.html
124,34.344189,134.034412,37201,,香川県,高松市,山内村史,,,,市指定有形文化財,歴史資料,高松市歴史資料館,高松市昭和町一丁目2-20,,087-861-4520,,,,,,1970-10-15,火水木金土日,09:00,17:00,入館は16：30まで。月曜日（祝日の場合は翌平日）、年末年始（12/29～1/3）利用不可,,,,,,,http://www.city.takamatsu.kagawa.jp/kurashi/kosodate/bunka/rekishi/index.html
125,34.344347,134.049095,37201,,香川県,高松市,玉楮象谷関連資料,,,,市指定有形文化財,歴史資料,高松市美術館,高松市紺屋町10-4,,087-823-1711,,,,,,2012-03-01,火水木金土日,09:30,17:00,入館は16：30まで。月曜日（祝日の場合は翌平日）、年末年始（12/29～1/7）利用不可,,,,,,,https://www.city.takamatsu.kagawa.jp/museum/takamatsu/
126,0,0,37201,,香川県,高松市,水任流泳法,,,,市指定無形文化財,,,高松市玉藻町,,,,,,,水任流保存会,1979-11-27,,,,,,,,,,,
127,0,0,37201,,香川県,高松市,清水神社の甕塚と上御盥跡,,,,市指定民俗文化財,有形民俗,清水神社,高松市由良町1050,,,,,,,,1981-09-10,,,,,,,,,,,
128,0,0,37201,,香川県,高松市,住吉神社お船「住吉丸」（「弁才船」の模型）,,,,市指定民俗文化財,有形民俗,住吉神社,高松市庵治町鎌野5053,,,,,,,,1982-01-13,,,,,,,,,,,
129,0,0,37201,,香川県,高松市,祇園座衣装,,,,市指定民俗文化財,有形民俗,,高松市香川町東谷,,,,,,,,1986-03-31,,,,,,,,,,,
130,0,0,37201,,香川県,高松市,才田獅子頭（額田喜左衛門作）,,,,市指定民俗文化財,有形民俗,,高松市庵治町才田,,,,,,,,2004-09-01,,,,,,,,,,,
131,0,0,37201,,香川県,高松市,庵治おどり,,,,市指定民俗文化財,無形民俗,,高松市庵治町才田,,,,,,,,1982-01-13,,,,,,,,,,,
132,0,0,37201,,香川県,高松市,石切り唄,,,,市指定民俗文化財,無形民俗,,高松市牟礼町牟礼,,,,,,,,1982-04-01,,,,,,,,,,,
133,0,0,37201,,香川県,高松市,田井の子供神相撲,,,,市指定民俗文化財,無形民俗,,高松市牟礼町牟礼,,,,,,,,1982-04-01,,,,,,,,,,,
134,0,0,37201,,香川県,高松市,ひょうげ祭り,,,,市指定民俗文化財,無形民俗,,高松市香川町浅野,,,,,,,,1986-03-31,,,,,,,,,,,
135,0,0,37201,,香川県,高松市,椛川たたら踊り,,,,市指定民俗文化財,無形民俗,,高松市塩江町安原上東,,,,,,,,1997-08-26,,,,,,,,,,,
136,0,0,37201,,香川県,高松市,庵治町才田岩陰獅子舞,,,,市指定民俗文化財,無形民俗,,高松市庵治町才田,,,,,,,,2006-01-04,,,,,,,,,,,
137,0,0,37201,,香川県,高松市,石ヶ鼻古墳,,,,市指定記念物,史跡,,高松市国分寺町福家,,,,,,,,1970-03-28,,,,,,,,,,,
138,0,0,37201,,香川県,高松市,久本古墳,,,,市指定記念物,史跡,,高松市新田町,,,,,,,,1975-03-13,,,,,,,,,,,
139,0,0,37201,,香川県,高松市,大井戸,,,,市指定記念物,史跡,,高松市瓦町,,,,,,,,1975-10-23,,,,,,,,,,,
140,0,0,37201,,香川県,高松市,前田城跡,,,,市指定記念物,史跡,,高松市前田西町,,,,,,,,1976-07-03,,,,,,,,,,,
141,0,0,37201,,香川県,高松市,下司廃寺塔跡,,,,市指定記念物,史跡,,高松市東植田町 ,,,,,,,,1976-07-03,,,,,,,,,,,
142,0,0,37201,,香川県,高松市,藤尾城跡,,,,市指定記念物,史跡,宇佐神社,高松市香西本町465,,,,,,,,1976-07-03,,,,,,,,,,,
143,0,0,37201,,香川県,高松市,十河城跡,,,,市指定記念物,史跡,,高松市十川東町,,,,,,,,1976-07-03,,,,,,,,,,,
144,0,0,37201,,香川県,高松市,勝賀城跡,,,,市指定記念物,史跡,,高松市鬼無町、中山町,,,,,,,,1980-08-06,,,,,,,,,,,
145,0,0,37201,,香川県,高松市,東赤坂古墳,,,,市指定記念物,史跡,,高松市香川町浅野,,,,,,,,1986-03-31,,,,,,,,,,,
146,0,0,37201,,香川県,高松市,古宮古墳,,,,市指定記念物,史跡,,高松市鬼無町,,,,,,,,1988-03-04,,,,,,,,,,,
147,0,0,37201,,香川県,高松市,片山池１号窯跡,,,,市指定記念物,史跡,,高松市西春日町,,,,,,,,1996-10-14,,,,,,,,,,,
148,0,0,37201,,香川県,高松市,神内家墓地石塔群,,,,市指定記念物,史跡,,高松市西植田町,,,,,,,,2005-05-10,,,,,,,,,,,
149,0,0,37201,,香川県,高松市,横岡山古墳,,,,市指定記念物,史跡,,高松市香川町浅野,,,,,,,,2009-01-09,,,,,,,,,,,
150,0,0,37201,,香川県,高松市,三谷石舟古墳,,,,市指定記念物,史跡,,高松市三谷町,,,,,,,,2014-03-10,,,,,,,,,,,
151,0,0,37201,,香川県,高松市,大石さんのムクノキ,,,,市指定記念物,天然記念物,天満神社,高松市西山崎町1328-2,,,,,,,,1975-03-13,,,,,,,,,,,
152,0,0,37201,,香川県,高松市,男木島の柱状節理および岩海,,,,市指定記念物,天然記念物,,高松市男木町,,,,,,,,1976-07-03,,,,,,,,,,,
153,0,0,37201,,香川県,高松市,女木島の柱状節理,,,,市指定記念物,天然記念物,,高松市女木町,,,,,,,,1976-07-03,,,,,,,,,,,
154,0,0,37201,,香川県,高松市,平石井神社のクロガネモチ,,,,市指定記念物,天然記念物,平石井神社,高松市今里町2-1-10,,,,,,,,1979-08-01,,,,,,,,,,,
155,0,0,37201,,香川県,高松市,如意輪寺のヤブツバキ,,,,市指定記念物,天然記念物,如意輪寺,高松市国分寺町国分2555,,,,,,,,1981-03-02,,,,,,,,,,,
156,0,0,37201,,香川県,高松市,西方寺配水池のソメイヨシノ,,,,市指定記念物,天然記念物,西方寺配水池,高松市西宝町三丁目738-1,,,,,,,,2008-04-01,,,,,,,,,,,
157,34.344189,134.034412,37201,,香川県,高松市,讃岐国絵図,,,,市指定有形文化財,歴史資料,高松市歴史資料館,高松市昭和町一丁目2-20,,087-861-4520,,,,,,2017-03-31,火水木金土日,09:00,17:00,入館は16：30まで。月曜日（祝日の場合は翌平日）、年末年始（12/29～1/3）利用不可,,,,,,,http://www.city.takamatsu.kagawa.jp/kurashi/kosodate/bunka/rekishi/index.html
158,34.344189,134.034412,37201,,香川県,高松市,高松城天守鯱,,,,市指定有形文化財,歴史資料,高松市歴史資料館,高松市昭和町一丁目2-20,,087-861-4520,,,,,,2018-03-30,火水木金土日,09:00,17:00,入館は16：30まで。月曜日（祝日の場合は翌平日）、年末年始（12/29～1/3）利用不可,,,,,,,http://www.city.takamatsu.kagawa.jp/kurashi/kosodate/bunka/rekishi/index.html
159,0,0,37201,,香川県,高松市,讃岐六条の水車及び関連用具,,,,,登録有形民俗,,高松市六条町,,,,,,,,2016-03-02,,,,,,,,,,,
160,0,0,37201,,香川県,高松市,城所山２号墳,,,,市登録史跡,史跡,,高松市香南町岡,,,,,,,,2006-10-10,,,,,,,,,,,
161,0,0,37201,,香川県,高松市,佐藤継信の墓,,,,市登録史跡,史跡,,高松市牟礼町牟礼,,,,,,,,2006-10-10,,,,,,,,,,,
162,0,0,37201,,香川県,高松市,総門 ,,,,市登録史跡,史跡,,高松市牟礼町牟礼,,,,,,,,2006-10-10,,,,,,,,,,,
163,0,0,37201,,香川県,高松市,射落畠,,,,市登録史跡,史跡,,高松市牟礼町牟礼,,,,,,,,2006-10-10,,,,,,,,,,,
164,0,0,37201,,香川県,高松市,祈り岩,,,,市登録史跡,史跡,,高松市牟礼町牟礼,,,,,,,,2006-10-10,,,,,,,,,,,
165,0,0,37201,,香川県,高松市,駒立岩 ,,,,市登録史跡,史跡,,高松市牟礼町牟礼,,,,,,,,2006-10-10,,,,,,,,,,,
166,0,0,37201,,香川県,高松市,長刀泉 ,,,,市登録史跡,史跡,,高松市牟礼町牟礼,,,,,,,,2006-10-10,,,,,,,,,,,
167,0,0,37201,,香川県,高松市,菜切地蔵 ,,,,市登録史跡,史跡,,高松市牟礼町牟礼,,,,,,,,2006-10-10,,,,,,,,,,,
168,0,0,37201,,香川県,高松市,弁慶の投げ石,,,,市登録史跡,史跡,,高松市牟礼町原,,,,,,,,2006-10-10,,,,,,,,,,,
169,0,0,37201,,香川県,高松市,柴野栗山宅址,,,,市登録史跡,史跡,栗山記念館,高松市牟礼町牟礼3028,,,,,,,,2006-10-10,,,,,,,,,,,
170,34.284128,133.961514,37201,,香川県,高松市,文明塾扁額 ,,,,市登録有形文化財,歴史資料,国分寺南部小学校,高松市国分寺町福家甲3005,,,,,,,,2006-10-10,,,,,,,,,,,
171,0,0,37201,,香川県,高松市,六萬寺　附　杉の井,,,,市登録史跡,史跡,,高松市牟礼町牟礼,,,,,,,,2016-03-31,,,,,,,,,,,
172,0,0,37201,,香川県,高松市,高松藩主松平家墓所,,,,国指定記念物,史跡,法然寺,高松市仏生山町,,087-889-0406,,,,,,2019-02-26,,,,【公開日】歴代藩主命日（4月12日、10月20日、9月16日、7月18日、3月10日、7月28日、8月25日、10月17日）,,,,,,,
173,0,0,37201,,香川県,高松市,蒟醤料紙箱及び硯箱　玉楮象谷作　附 硯箱付属文具,,,,県指定有形文化財,工芸品,香川県立ミュージアム,高松市玉藻町5-5,,087-822-0002,,,,,,2020-09-13,火水木金土日,09:00,17:00,入館は16：30まで。【休館日】月曜日（祝休日の場合は、翌火曜日）。12月26日～1月1日。,,,,,,,https://www.pref.kagawa.lg.jp/kmuseum/
174,0,0,37201,,香川県,高松市,堆朱鼓箱　玉楮象谷作　狩野永笑図,,,,県指定有形文化財,工芸品,香川県立ミュージアム,高松市玉藻町5-5,,087-822-0002,,,,,,2020-09-13,火水木金土日,09:00,17:00,入館は16：30まで。【休館日】月曜日（祝休日の場合は、翌火曜日）。12月26日～1月1日。,,,,,,,https://www.pref.kagawa.lg.jp/kmuseum/
175,34.344189,134.034412,37201,,香川県,高松市,鶴尾神社４号墳出土獣帯方格規矩四神鏡,,,,市指定有形文化財,考古資料,高松市歴史資料館,高松市昭和町一丁目2-20,,087-861-4520,,,,,,2021-03-31,火水木金土日,09:00,17:00,入館は16：30まで。月曜日（祝日の場合は翌平日）、年末年始（12/29～1/3）利用不可,,,,,,,http://www.city.takamatsu.kagawa.jp/kurashi/kosodate/bunka/rekishi/index.html
176,34.433622,134.060724,37201,,香川県,高松市,男木島灯台（旧退息所、旧倉庫、表門及び塀、石垣）,,,,国登録有形文化財,建造物,,高松市男木町1062-1他,,087-821-7012,,,,,,2021-10-14,,,,,,,,,,,
