"№","名　　　　称",,"開設者","latitude","longitude","所在地","TEL","開設日","あん摩","はり","きゅう","柔整併設","出張業務"
"162","だい鍼灸院","ダイシンキュウイン","荒川　大","34.333758","134.052558","香川県高松市塩屋町15-2　富士マンション103","050-3573-5655","2015/11/11",,"○","○","○",
"163","大成鍼灸マッサージ治療院","タイセイシンキュウマッサージチリョウイン","田中　泰成","34.333650","134.065058","香川県高松市上福岡町696-11","087-833-8058","2014/12/8","○","○","○",,
"164","たいら鍼灸院","タイラシンキュウイン","平　昌幸","34.321487","134.062818","香川県高松市松縄町44-8","087-869-8369","1999/2/3",,"○","○","○",
"165","たか鍼灸接骨院","タカシンキュウセッコツイン","佐々木　隆司","34.311694","134.057154","香川県高松市伏石町2099-10","087-867-2072","2010/5/1",,"○","○","○",
"166","たてもと鍼灸院","タテモトシンキュウイン","立本　勇太","34.344266","134.036752","香川県高松市扇町2丁目8-13 渡辺ビル1F","090-2334-5686","2024/5/30",,"○","○","○",
"167","高橋　協子","タカハシ　キョウコ","高橋　協子","34.345923","134.119079","香川県高松市高松町2196-17","090-8699-6544","2024/7/7",,"○","○",,"○"
"168","TaKaMa鍼灸整体院","TaKaMaシンキュウセイコツイン","上原　卓真","34.322141","134.043011","香川県高松市東ハゼ町1-12","080-5668-7595","2024/5/10",,"○","○",,
"169","高松クア鍼灸院","タカマツクアシンキュウイン","久保　龍次","34.343337","134.001278","香川県高松市香西南町512","087-882-3100","2005/4/1","○","○","○","○",
"170","高松スマイル鍼灸接骨院","タカマツスマイルシンキュウセッコツイン","(株)さぬき総合企画","34.244162","134.084413","香川県高松市西植田町2088-15","087-880-9657","2011/12/21",,"○","○","○",
"171","高松坂口鍼灸整骨院　太田院","タカマツサカグチシンキュウ７セイコツインオオタイン","株式会社ＥＸＰＡＮＤ 代表取締役 大平 雄伸","34.309041","134.043987","香川県高松市太田下町2311-1","070-3762-9787","2022/12/5",,"○","○","○",
"172","瀧　義忠","タキ　ヨシタダ","瀧　義忠","34.363187","133.969753","香川県高松市高松市神在川窪町563-1","087-882-2081","2013/3/3",,"○","○",,"○"
"173","武上接骨院","タケガミセッコツイン","武上　晃基","34.344193","134.138329","香川県高松市牟礼町牟礼1465-6","087-845-6364","2002/4/1"," ","○",,"○",
"174","武上針灸院","タケガミハリキュウイン","武上　郁男","34.345370","134.120707","香川県高松市牟礼町牟礼2413-11","087-845-1395","1984/10/17",,"○","○",,
"175","武田治療院","タケダチリョウイン","武田　芳恵","34.268734","134.086663","香川県高松市川島東町1046","090-1175-3896","2023/5/22","○","○","○",,
"176","タケダ鍼灸マッサージ院","タケダシンキュウマッサージイン","武田　樹市朗","34.302108","134.041729","香川県高松市太田上町1057-2","087-868-0810","2016/4/1","○","○","○","○",
"177","田幸　正旬","タコウ　セイジュン","田幸　正旬","34.313921","134.042457","香川県高松市上天神町397-1","080-3160-0463","2020/1/22","○","○","○",,"○"
"178","田中鍼灸整骨院","タナカシンキュウセイコツイン","田中　英治","34.275912","134.100474","香川県高松市高松市川島東町523-4","087-848-6681","2008/11/20",,"○","○","○",
"179","田中直治","タナカナオハル","田中直治","34.320814","133.995886","香川県高松市飯田町474","087-881-4875","2000/9/7","○","○","○",,"○"
"180","田中調整治療院","タナカチョウセイチリョウイン","田中　良宜","34.259915","134.033538","香川県高松市香川町浅野889-10","087-888-3188","2007/8/6","○","○","○",,
"181","谷野指圧治療院","タニノシアツチリョウイン","谷野　哲","34.281570","134.042245","香川県高松市仏生山町甲772","−−−−−","1990/6/29","○",,,,
"182","民谷　仁","タミヤ　ジン","民谷　仁","34.337982","134.088723","香川県高松市春日町1621-12","090-6289-1104","2022/11/2","○",,,,
"183","田村指圧マッサージ院","タムラシアツマッサージイン","田村　隆司","34.345461","134.057422","香川県高松市東浜町一丁目3-11","087-821-6924","2007/1/21","○",,,,
"184","ちくご鍼灸整骨院","チクゴシンキュウセイコツイン","筑後　一二","34.323786","134.072275","香川県高松市木太町1602-1","087-813-2110","2011/7/25",,"○","○","○",
"185","あんま鍼灸治療室 つきの木","アンマシンキュウチリョウシツ ツキノキ","大浦　淳","34.345852","134.049762","香川県高松市古新町1-4　WINDビル3階 301","087-823-1805","2023/3/1","○","○","○",,
"186","月本　指圧鍼灸院","ツキモト　シアツシンキュウイン","月本　郁代","34.270210","134.036829","香川県高松市香川町浅野348-45","087-889-6058","1979/8/1","○","○","○",,
"187","寺嶋鍼灸院","テラシマシンキュウイン","寺嶋　功雄","34.265804","134.024059","香川県高松市香川町大野1295","087-886-4126","1991/12/25","○","○","○",,
"188","天真堂針灸院","テンシンドウシンキュウイン","末澤　勇","34.265839","134.024048","香川県高松市香西東町313-1","087-882-5433","1988/6/1","○","○","○",,
"189","天針堂鍼灸マッサージ治療院","テンシンドウシンキュウマッサージチリョウイン","宮本　宜知","34.337228","134.059905","香川県高松市多賀町二丁目7-11","087-862-8484","1998/1/17","○","○","○",,
"190","テイクキュア多肥","テイクキュアタヒ","有）アスレティックステーション","34.296522","134.058211","香川県高松市多肥上町1330-1","087-868-3228","2007/9/25","○","○","○",,
"191","東洋ヘルスリサーチ研究所","トウヨウヘルスリサーチケンキュウショ","川　賢治","34.337292","134.058737","香川県高松市多賀町二丁目8-20","087-831-6056","1983/1/4","○","○","○","○",
"192","トキワ治療所","トキワチリョウショ","土岐　文子","34.339110","134.057235","香川県高松市塩上町三丁目14-2","087-831-6589","1982/8/12","○","○","○",,
"193","徳田鍼灸院","トクダシンキュウイン","徳田　武義","34.275317","134.114939","香川県高松市亀田南町736-14","087-847-8341","1990/4/23","○","○","○",,
"194","土橋　康樹","ツチハシ　コウキ","土橋　康樹","34.338632","134.040919","香川県高松市亀岡町9-17稲井ビル405号","090-9779-5970","2013/4/8","○","○","○",,"○"
"195","富岡鍼灸院","トミオカシンキュウイン","冨岡　利仁","34.386517","134.127812","香川県高松市庵治町6389-83","087-870-3877","2000/7/3","○","○","○","○",
"196","冨田なみ江","トミタナミエ","冨田　なみ江","34.304826","134.034206","香川県高松市田村町1179-11-103","087-865-3222","2021/2/24","○",,,,"○"
"197","冨田　嘉男","トミタヨシオ","冨田　嘉男","34.304826","134.034206","香川県高松市田村町1179-11-103","087-865-3222","2021/2/24","○",,,,"○"
"198","虎丸鍼灸指圧院","トラマルシンキュウシアツイン","渡邉　正光","34.338270","134.050956","香川県高松市常磐町二丁目3-26 小野ビル2Ｆ","087-835-3826","1998/6/26","○","○","○",,
"199","ナイル治療院","ナイルチリョウイン","渡邉　裕介","34.249257","133.993617","香川県高松市香南町西床512-2","087-816-6589","2007/7/7","○","○","○",,
"200","直井鍼灸指圧院","ナオイシンキュウシアツイン","直井　好夫","34.330448","134.101856","香川県高松市新田町甲221-8","087-843-3933","2007/1/29","○","○","○",,
"201","なお治療院","ナオチリョウイン","間島　直行","34.338454","134.055717","香川県高松市塩上町2-12-9","087-861-7088","2018/10/2","○","○","○",,
"202","中井指圧鍼灸治療院","ナカイシアツシンキュウチリョウイン","中井　敏之","34.337932","134.041793","香川県高松市亀岡町3-14","087-833-6249","2003/8/16","○","○","○",,
"203","中井鍼灸院","ナカイシンキュウイン","中井　斉晃","34.282448","134.040016","香川県高松市仏生山町甲1808","087-889-3120","1995/12/22","○","○","○","○",
"204","長尾　友也","ナガオ　トモヤ","長尾　友也","34.322049","134.036640","香川県高松市西ハゼ町60-10-105","090-5718-4918","2007/5/1","○","○","○",,"○"
"205","長町　由貴","ナガマチ　ユキ","長町　由貴","34.304105","134.068849","香川県高松林町2548番地4","090-1000-6967","2024/5/24","○","○","○",,"○"
"206","中崎　真理子","ナカサキ　マリコ","中崎　真理子",,,"香川県高松市円座町","090-8698-0185","2015/6/6","○","○","○",,"○"
"207","中曽根鍼灸大学堂","ナカソネシンキュウダイガクドウ","中曽根　徹","34.255730","134.033783","香川県高松市香川町浅野1003-1","087-879-2480","1996/4/26","　","○","○",,
"208","中村　直樹","ナカムラ　ナオキ","中村　直樹","34.270547","134.006876","香川県高松市川部町1576-27","090-2103-3397","2010/10/27",,"○","○",,"○"
"209","中村鍼灸治療院","ナカムラシンキュウチリョウイン","中村　大輔","34.312609","134.090556","香川県高松市元山町291-10","087-887-7454","2013/5/14","○","○","○",,
"210","中村治療院","ナカムラチリョウイン","中村　誠二","34.382784","134.128968","香川県高松市庵治町649-4","090-3785-4848","2005/2/25","○","○","○",,
"211","中村　良子","ナカムラ　リョウコ","中村　良子","34.347547","134.097977","香川県高松市屋島西町1077","087-843-5946","2002/5/21","○",,,,"○"
"212","中村　綾子","ナカムラ　アヤコ","中村　綾子","34.304931","134.061609","香川県高松市多肥下町1528-10 エスポワール1　田井302","080-5245-6909","2024/7/25","○","○","○",,"○"
"213","那須　剛明","ナス　タケアキ","那須　剛明","34.353997","133.993184","香川県高松市香西北町309-1","087-881-7068","2010/4/20",,"○","○",,"○"
"214","なつめ鍼灸整骨院","ナツメシンキュウセイコツイン","株式会社　アヴァンティ","34.326587","134.070404","香川県高松市木太町1861-12","087-813-2887","2021/5/19",,"○","○",,
"215","なつめ鍼灸整骨院","ナツメシンキュウセイコツイン","株式会社　アヴァンティ","34.293205","134.038498","香川県高松市仏生山町甲42-1","087-813-5514","2024/3/15",,"○","○",,
"216","なみおしんきゅういん","ナミオシンキュウイン","浪尾　敬一","34.283413","134.011595","香川県高松市円座町1385-1","087-885-2903","2005/5/10","○","○","○","○",
"217","なな訪問鍼灸マッサージ","ナナホウモンシンキュウマッサージ","（株）Lily","34.343882","134.060746","香川県高松市松福町一丁目4-12","090-1100-7725","2022/9/20","○","○","○",,
"218","にこにこ治療院","ニコニコチリョウイン","（株）S-CREST","34.334277","134.011306","香川県高松市鶴市町896-2","080-5739-8628","2022/3/1","○",,,,
"219","西高松治療院","ニシタカマツチリョウイン","山川　恭生","34.345314","134.016955","香川県高松市郷東町字東新開148-3","087-832-8811","2023/10/1",,"○","○",,
"220","ネックセラピー高松","ネックセラピータカマツ","原　量宏","34.339093","134.052608","香川県高松市常磐町1-3-1　瓦町FLAG  10階","087-802-2240","2022/5/19",,"○","○",,
"221","野田鍼灸院","ノダシンキュウイン","野田　等","34.261950","134.050480","香川県高松市香川町浅野3391","087-889-6173","1998/9/4","○","○","○",,
"222","野村　和弘","ノムラ　カズヒロ","野村　和弘",,,"香川県高松市","090-5143-7565","2023/4/5",,"○","○",,
"223","ハーリー治療院","ハーリーチリョウイン","立川　雅之","34.315920","134.071406","香川県高松市木太町877-3","087-865-7681","2012/8/2",,"○","○",,
"224","橋田　洋一","ハシダ　ヨウイチ","橋田　洋一","34.343907","134.032313","香川県高松市昭和町一丁目4番17号 メゾンエスフロント303","080-5549-5515","2022/4/12","○","○","○",,"○"
"225","橋本鍼接骨院","ハシモトハリセッコツイン","橋本　健吾","34.337449","134.053712","香川県高松市塩上町一丁目6-10","087-833-2422","1972/9/27",,"○","○","○",
"226","畠田　大地","ハタダ　ダイチ","畠田　大地","34.330013","134.055881","香川県高松市楠上町二丁目3-7-910","−−−−−","2011/4/5","○","○","○",,"○"
"227","はた治療院","ハタチリョウイン","秦 和成","34.271162","134.019293","香川県高松市香川町大野2059-10","087-886-5121","2003/2/10","○",,,,
"228","浜野あん摩マッサージ鍼灸院","ハマノアンママッサージシンキュウイン","浜野　幸二","34.351392","134.122126","香川県高松市牟礼町牟礼2625-23","087-845-5822","2000/5/1","○","○","○",,
"229","林マッサージ治療院","ハヤシマッサージチリョウイン","林　繁行","34.391228","134.128782","香川県高松市庵治町5597","087-871-3753","1982/12/1","○","○","○",,
"230","原　元司","ハラ　モトジ","原　元司","34.316319","133.969207","香川県高松市国分寺町新居2950-10","087-874-5732","2019/3/8",,"○","○",,"○"
"231","原野鍼灸整骨院","ハラノシンキュウセイコツイン","原野　真一","34.344977","134.031617","香川県高松市扇町三丁目12-10","087-862-2468","1998/5/19",,"○","○","○",
"232","はり灸院　福みみ堂","ハリキュウイン　フクミミドウ","濱　あらた","34.296608","134.042798","香川県高松市太田上町384-1エルディム今原101","087-880-0373","2014/11/29",,"○","○",,
"233","はり・灸中西治療院","ハリ・キュウナカニシチリョウイン","中西　慶","34.317753","134.044056","香川県高松市三条町546-2","090-3785-8022","2023/7/3","○","○","○",,
"234","ハリキュウアンマはるかぜ治療院","ハリキュウアンマハルカゼチリョウイン","熊野　孝彰","34.286386","134.025908","香川県高松市一宮町623-7","087-885-5445","2001/2/26","○","○","○",,
"235","はりきゅうあんま百間堂治療院","ハリキュウアンマヒャッケンドウチリョウイン","宮嶋　学","34.343429","134.065251","香川県高松市松福町二丁目4-20","087-823-1237","2001/4/10","○","○","○",,
"236","はり・きゆう　ころきゅうあん","ハリ・キユウ　コロキュウアン","神高　京子","34.306669","134.022983","香川県高松市勅使町1050-2","087-868-2465","2008/8/18",,"○","○",,
"237","はり・きゅう　すいとう治療院","ハリ・キュウ　スイトウチリョウイン","水藤　圭祐","34.334874","134.035897","香川県高松市宮脇町二丁目17-23","090-1267-0882","2014/10/1","○","○","○",,
"238","はり・きゅう院　縁　高松院","ハリ・キュウイン　エン　タカマツイン","成行　玉貴","34.308746","134.083489","香川県高松市元山町1013-4","0877-55-2912","2024/7/1",,"○","○",,
"239","はり・灸のサンティエ","ハリ・キュウノサンティエ","小川　雄司","34.336031","134.058759","香川県高松市多賀町一丁目11-8","087-861-6486","2008/4/17",,"○","○",,
"240","はり灸・マッサージ　Calm","ハリキュウマッサージ　Calm","中原　宏光","34.347715","134.016270","香川県高松市郷東町563番地1号","090-1007-6076","2024/3/1","○","○","○",,
"241","はり灸マッサージ　かがわ治療院","ハリキュウマッサージ　カガワチリョウイン","香川　邦彦","34.299400","134.045744","香川県高松市太田上町705-2　太田駅前ビル1階北2","087-880-5989","2016/9/1","○","○","○",,
"242","はり・きゅう・マッサージ高松ひらた治療室","ハリキュウマッサージ　タカマツヒラタチリョウイン","平田　直之","34.278258","134.068438","香川県高松市三谷町1159-7","087-899-5333","2014/5/29","○","○","○",,
"243","はり・きゅう　モデルノカーラ","ハリキュウ　モデルノカーラ","和泉　里津子","34.319269","134.067791","香川県高松市木太町1094-7","087-868-1713","2020/4/14",,"○","○",,
"244","はり・きゅう・リラクゼーション360","ハリキュウリラグゼーション360","中山　恭介","34.319260","134.067769","香川県高松市東植田町491-6","087-849-0767","2021/7/24",,"○","○",,
"245","はり・きゅう・指圧 たきの治療院","ハリ・キュウ・シアツ タキノチリョウイン","瀧野　善之","34.319206","134.067758","香川県高松市鬼無町藤井595-3","087-881-8942","2005/5/15","○","○","○",,
"246","はりきゅうマッサージサロンLimana","ハリキュウマッサージサロンLimana","山本　麻鈴","34.319277","134.067780","香川県高松市高松市常磐町2-5-6 山畑ビル２階西","070-9109-5246","2023/11/4","○","○","○",,
"247","はり・マッサージ やまだ治療院","ハリマッサージ ヤマダチリョウイン","山田　泰輔","34.337801","134.050875","香川県高松市常磐町2-9-13","087-862-8826","2021/3/22","○","○","○",,
"248","はり　マッサージ　もいさ","ハリマッサージ　モイサ","伊藤　春恵","34.339044","134.102645","香川県高松市屋島西町1921-1　ハイマート屋島807","080-1993-2113","2021/1/4","○","○","○",,
"249","椛鍼灸院","モミジシンキュウイン","岡田　幸美","34.308852","133.963983","香川県高松市国分寺町新居1960-1","087-805-7371","2015/4/20",,"○","○",,
"250","番町もくの木鍼灸院","バンチョウモクノキシンキュウイン","大西　一郎","34.340071","134.038514","香川県高松市番町五丁目6-26　田村館1Ｆ","087-862-0550","2016/1/21",,"○","○",,
"251","坂東　聖仙","バンドウ　セイセン","坂東　聖仙","34.267502","134.021889","香川県高松市香川町大野1257-11","090-7624-3616","2007/5/21",,"○","○",,"○"
"252","ピース鍼灸整骨院","ピースシンキュウセイコツイン","山田　正人","34.300149","134.098481","香川県高松市東山崎町462-1","087-840-7774","2014/12/3","○","○","○","○",
"253","東原マッサージ治療院","ヒガシハラマッサージチリョウイン","東原 芳裕","34.267847","134.050998","香川県高松市香川町浅野3583","087-889-3523","1974/10/10","○",,,,
"254","VIGOROUS鍼灸接骨院","VIGOROUSシンキュウセッコツイン","合同会社　VIGOROUS","34.310767","134.060039","香川県高松市伏石町2084-10　中家ビル","087-802-9225","2019/8/21",,"○","○",,
"255","ひな鍼灸院","ヒナシンキュイン","松尾　真璃","34.332479","134.097223","香川県高松市春日町1176","087-843-8255","2014/9/9",,"○","○",,
"256","樋ノ上鍼灸院","ヒノウエシンキュウイン","河野　道廣","34.335573","134.049844","香川県高松市東田町5-1","087-831-2962","1973/4/3",,"○","○","○",
"257","ひのき治療院","ヒノキチリョウイン","藤澤　直人","34.298011","134.023222","香川県高松市成合町1820-1","080-9459-0818","2023/1/1",,"○","○",,
"258","ひばり治療院　高松施術所","ヒバリチリョウイン　タカマツセジュツショ","(株)Ｓａｎｔｅ","34.276144","133.964754","香川県高松市国分寺町福家甲1652-1","0120-753-854","2011/3/3","○","○","○",,
"259","一二三堂治療院","ヒフミドウチリョウイン","松井　秀幸","34.346331","134.037020","香川県高松市扇町一丁目25-51","087-821-5453","2008/4/29","○","○","○",,
"260","ひまわり鍼灸マッサージ院","ヒマワリシンキュウマッサージイン","太田　敏博","34.345787","134.038894","香川県高松市扇町1丁目24-13","090-1714-9156","2018/10/9","○","○","○",,
"261","ひまわり治療院","ヒマワリチリョウイン","寺西　義隆","34.269055","134.048517","香川県高松市仏生山町甲2857-3","087-880-6188","2019/1/30","○","○","○",,"○"
"262","美容鍼サロンnana","ビヨウシンサロン nana","山地　史朗","34.305571","133.985931","香川県高松市御厩町1173-18","080-3159-8007","2022/11/7",,"○","○",,
"263","ひらた鍼灸院","ヒラタシンキュウイン","平田　建介","34.342634","134.117341","香川県高松市高松町2286","087-841-1263","1996/5/1",,"○","○","○",
"264","ひろこ鍼灸治療院","ヒロコシンキュウチリョウイン","井神　裕子","34.332575","134.077152","香川県高松市木太町3160-9デュオ柚木-Ｄ","087-835-2551","2012/2/14",,"○","○",,
"265","廣瀬　敬二","ヒロセ　ケイジ","廣瀬　敬二","34.335067","134.070426","香川県高松市木太町2195-406","087-863-1251","2005/7/1","○","○","○",,"○"
"266","福井鍼灸院","フクイシンキュウイン","福井　勝美","34.238558","134.034912","香川県高松市香川町川東上1969-5","087-879-8730","1990/6/2","○","○","○",,
"267","福富鍼灸院","フクトミシンキュウイン","金川　雅朗","34.336071","134.106937","香川県高松市高松町10-1","087-843-1100","1982/9/8",,"○","○","○",
"268","福西　正寿","フクニシ　マサトシ","福西　正寿","34.331914","134.049829","香川県高松市栗林町2丁目6-22","087-833-3605","2018/10/23","○","○","○",,"○"
"269","藤澤鍼灸治療院","フジサワシンキュウチリョウイン","藤澤　正年","34.265006","134.039307","香川県高松市香川町浅野483-2","087-889-3167","1988/7/14",,"○","○",,
"270","藤澤鍼灸治療院","フジサワシンキュウチリョウイン","藤澤　哲夫","34.237236","134.034442","香川県高松市香川町川東上1989-3","087-879-4730","1964/7/15","○","○","○",,
"271","藤沢レディース鍼灸院","フジサワレディースシンキュウイン","藤澤　勢子","34.345682","134.056058","香川県高松市井口町1-1-301","087-823-0416","1999/7/8",,"○","○",,
"272","藤村　俊二","フジムラ　シュンジ","藤村　俊二","34.344653","134.060327","香川県高松市松福町一丁目3-18","087-823-4555","2005/5/23","○","○","○",,"○"
"273","藤原鍼灸院","フジワラシンキュウイン","(株)すまいるはぁと1","34.328960","134.049290","香川県高松市栗林町三丁目3-16","087-833-9582","2008/10/1",,"○","○","○",
"274","藤原鍼灸院","フジワラシンキュウイン","藤原　勇次郎","34.338385","134.102804","香川県高松市屋島西町1923-12","087-813-5818","2012/9/10","○","○","○",,
"275","仏生山鍼灸マッサージ院","ブッショウザンシンキュウマッサージイン","(株)AMプランニング","34.281031","134.056281","香川県高松市多肥上町1932-3","087-813-9881","2014/9/1","○","○","○",,"○"
"276","FeRNA.はり・きゅう院","FeRNA.ハリ・キュウイン","時岡 千明","34.319427","134.071735","香川県高松市木太町1236 栄ビル201","090-2898-3998","2024/7/29",,"○","○",,
"277","フレアス在宅マッサージ　高松（訪問主体）","フレアスザイタクマッサージタカマツ","（株）フレアス","34.326108","134.042999","香川県高松市室町1925-1","087-814-3301","2014/9/17","○","○","○",,"○"
"278","フレアス在宅マッサージ高松東施術所","フレアスザイタクマッサージタカマツヒガシセジュツショ","浅野　文恵","34.275472","134.106441","香川県高松市十川西町239-1 フロンティアハイツⅡＧ202","090-2327-7680","2024/3/21","○","○","○",,
"279","不破　昭人","フワ　アキヒト","不破　昭人","34.309136","134.042022","香川県高松市太田下町2255-17-202","090-4501-8555","2010/6/4",,"○","○",,"○"
"280","ヘルス　ケア　いこい","ヘルスケア イコイ","藤川　孝子","34.316330","134.024422","香川県高松市松並町794-3","087-868-2628","2019/5/1","○","○","○",,
"281","訪問マッサージ喜楽","ホウモンマッサージキラク","西村　英樹",,,"香川県高松市","0120-446-557","2021/3/31","○","○","○",,
"282","訪問マッサージKEiROW高松栗林ステーション","ホウモンマッサージKEiROWタカマツリツリンステーション","株式会社あい","34.325638","134.050082","香川県高松市花ノ宮町一丁目8-21　1階","087-802-5397","2021/9/1","○","○","○",,"○"
"283","訪問マッサージこころ高松事業所","ホウモンマッサージココロタカマツジギョウショ","山地　正史","34.281979","133.963278","香川県高松市国分寺町福家甲2919-31","0877-85-8518","2020/8/20","○","○","○",,
"284","訪問リハビリマッサージ　みらいケア","ホウモンリハビリマッサージ　ミライケア","溝淵　美幸","34.299753","134.046714","香川県高松市太田上町777-3","087-813-5588","2020/10/27","○","○","○",,"○"
"285","訪問リハビリマッサージ　みらいケア　高松西","ホウモンリハビリマッサージ　ミライケアタカマツニシ","溝淵　美幸","34.299753","134.046714","香川県高松市太田上町777-3","087-813-5588","2021/11/30","○","○","○",,
"286","訪問療養マッサージ　ふわり","ホウモンリョウヨウマッサージ　フワリ","株式会社　アクア","34.285647","134.090319","香川県高松市由良町402-1　クレイドルⅤ7号室","089-916-5100","2017/4/1","○","○","○",,
"287","ほっと鍼灸院","ホットシンキュウイン","久米　隆三","34.281467","133.997765","香川県高松市西山崎町444-12","0877-24ー4124","2007/1/30",,"○","○","○",
"288","堀治療院","ホリチリョウイン","堀　孝司","34.311406","134.084014","香川県高松市元山町971-2","087-865-7969","1980/4/13","○",,,,
"289","前川　美保","マエカワ　ミホ","前川　美保",,,"香川県高松市","090-6286-2127","2019/2/1","○","○","○",,
"290","ますだ鍼灸院","マスダシンキュウイン","増田　誠地","34.293549","134.046860","香川県高松市多肥上町227-4","087-880-2789","2015/10/31","○","○","○",,
"291","松家鍼灸院","マツカヒロキ","松家　弘起","34.288406","134.024179","香川県高松市一宮町718-3","087-885-2777","2012/1/16","○","○","○","○",
"292","マッサージハリ・きゅう結楽ゆいら","マッサージハリキュウケツラクユイラ","松原寿巳代","34.308298","134.051901","香川県高松市太田下町3002-2","070-5515-0500","2012/11/22","○","○","○",,
"293","マッサージ山下手療院","マッサージヤマシタシュリョウイン","山下　敏博","34.342087","134.071208","香川県高松市福岡町四丁目9-20","087-851-0614","2009/3/1","○","○","○",,
"294","マッサージ　レイス治療院高松西","マッサージ　レイスチリョウインタカマツニシ","(株)GLEE　AGENT","34.313393","134.001171","香川県高松市檀紙町2076-8","080-6282-3570","2019/11/12","○","○","○",,"○"
"295","松田鍼灸庵","マツダシンキュウアン","松田　利博","34.318987","134.049253","香川県高松市上之町二丁目17-28","087-867-8449","2000/5/2","○","○","○",,
"296","松原あん摩マッサージ治療院","マツバラアンママッサージチリョウイン","松原　由典","34.335633","134.069894","香川県高松市松島町三丁目15-13","087-861-5735","1991/5/15","○",,,,
"297","松本　武司","マツモト　タケシ","松本　武司","34.335624","134.069904","香川県高松市太田下町2666-1","090-6883-9671","2013/9/1",,"○","○",,
"298","松本はり灸マッサージ","マツモトハリキュウマッサージ","田村　尚子","34.338843","134.037754","香川県高松市宮脇町一丁目3-8","087-861-5026","2020/12/30","○","○","○","○",
"299","MANA 鍼灸治療院","MANA シンキュウチリョウイン","坂井　夕七","34.334531","134.133659","香川県高松市牟礼町大町2276-1","090-7579-2101","2024/7/29","○","○","○",,
"300","眞鍋　里香","マナベ　リカ","眞鍋　里香","34.338798","134.037743","香川県高松市鶴市町2049-1","090-5913-5949","2008/5/7",,"○","○",,"○"
"301","まゆみ接骨院","マユミセッコツイン","菊池　弘一朗","34.316407","134.062019","香川県高松市松縄町1052-1　ラコンテ2-B","087-887-8136","2017/8/2","○","○","○",,
"302","丸山あん摩指圧マッサージ治療院Calme","マルヤマアンマシアツマッサージチリョウインCalme","丸山　真樹","34.316380","134.062008","香川県高松市伏石町2140-11","087-865-0354","2018/7/2","○",,,,
"303","三木鍼灸マッサージ院","ミキシンキュウマッサージイン","三木　康彰","34.299141","134.051937","香川県高松市多肥下町1585-11","087-867-0762","1970/1/15",,"○","○","○",
"304","みき鍼灸接骨院","ミキシンキュウセッコツイン","三木　和行","34.387667","134.133841","香川県高松市庵治町1070-8","087-871-4882","2005/5/1",,"○","○","○",
"305","三木　光俊","ミキ　ミツトシ","三木　光俊",,,"香川県高松市浜ノ町","090-4308-2403","2020/11/23",,,,,"○"
"306","みさいはりきゅう院","ミサイハリキュウイン","岩倉　美彩","34.329669","134.047383","香川県高松市栗林町三丁目1-23","087-887-7183","2018/3/2",,"○","○",,
"307","三嶋鍼灸マッサージ治療院","ミシマシンキュウマッサージチリョウイン","三嶋　喜久代","34.289510","133.958085","香川県高松市国分寺町新名879-4","087-810-1785","2017/6/10","○","○","○",,
"308","水口鍼灸院","ミズグチシンキュウイン","水口　一豊","34.332536","134.047535","香川県高松市栗林町一丁目2-4","087-833-8734","1972/5/5","○","○","○",,
"309","水の音鍼灸院","ミズノオトシンキュウイン","岩部　紀孝","34.341575","134.066831","香川県高松市松福町二丁目10-10","087-821-7273","2003/8/2","○","○","○","○",
"310","みずほ鍼灸接骨院","ミズホ７シンキュウセッコツイン","今井　栄爾","34.276009","133.970156","香川県高松市国分寺町福家甲2332-3","087-805-1818","2014/3/27",,"○","○","○",
"311","三谷　隆子","ミタニ　タカコ","三谷　隆子","34.342339","134.097048","香川県高松市屋島西町1491-5","087-841-2824","2013/5/11","○","○",,,"○"
"312","みつばち鍼灸接骨院","ミツバチシンキュウセッコツイン","株式会社インテーク","34.347506","134.089525","香川県高松市屋島西町2492-19","080-4037-4603","2024/1/4",,"○","○",,
"313","みどり鍼灸整骨院","ミドリシンキュウセイコツイン","みのメディカル株式会社　代表取締役三野友之","34.308175","134.091664","香川県高松市東山崎町668-1","087-802-1111","2013/11/10",,"○","○","○",
"314","宮田指圧院","ミヤタシアツイン","宮田　澄男","34.307760","134.043068","香川県高松市太田下町2227-6","087-869-0479","1996/2/19","○",,,,
"315","宮西鍼灸院","ミヤニシシンキュウイン","宮西　明照","34.301462","133.990450","香川県高松市御厩町927-15","087-886-5870","2009/1/22",,"○","○",,
"316","宮本鍼灸院","ミヤモトシンキュウイン","宮本　修","34.277434","134.086632","香川県高松市川島本町203","087-848-0227","2018/10/1",,"○","○","○",
"317","三好指圧治療院","ミヨシシアツチリョウイン","三好　克己","34.277398","134.086621","香川県高松市伏石町1429-9","087-866-2091","1988/8/10","○",,,,
"318","みよし針灸マッサージ治療院","ミヨシシンキュウマッサージチリョウイン","三好　龍男","34.348156","134.042671","香川県高松市錦町2丁目3-36ドルフィン錦町410","087-822-6496","2020/2/26","○","○","○",,
"319","三好治療院","ミヨシチリョウイン","三好　良幸","34.346777","133.995996","香川県高松市香西西町169-18","087-882-6595","1990/4/7","○","○","○",,
"320","むれ はり・灸 中西治療院","ムレ　ハリキュウ　ナカニシチリョウイン","中西　慶","34.352699","134.124583","香川県高松市牟礼町牟礼2746-1","090-3785-8022","2019/7/1","○","○","○",,
