"施設名称１","施設名称２","施設名称かな","施設郵便番号","施設所在地１","施設所在地２","施設電話番号","営業者名","営業者名かな","業種","業態","許可番号","初回許可年月日","許可開始日","許可終了日"
"コープかがわ香西店",,"コープカガワコウザイミセ","761-8012","高松市香西本町９６−１",,"              ","コカ・コーラボトラーズジャパン株式会社","コカコーラボトラーズジャパン","喫茶店営業","自販","第21108-2021043号","R03.02.26","R03.02.26","R08.02.28"
"瀬戸内ＷＨＩＳＫＥＹ‘Ｓ",,"セトウチウイスキーズ","760-0062","高松市塩上町１−３−７",,,"内田　大輔","ウチダ　ダイスケ","飲食店営業","飲み屋","第10401-2021127号","R03.03.24","R03.03.24","R08.05.31"
"レイグランド　ウインドヒル事業所",,"レイグランド　ウインドヒル","761-0450","高松市三谷町３８５１",,"              ","レイグランド株式会社","レイグランド","飲食店営業","給食","第10106-2021145号","R03.03.29","R03.04.01","R08.05.31"
"ＲＶパーク　ＫＵＭＯＮパーク",,"クモンパークー","761-0450","高松市三谷町１４０４−１",,"087-880-2033  ","公文　健二","クモン　ケンジ","飲食店営業","その他","第10404-2021146号","R03.03.29","R03.03.29","R08.05.31"
"ビストロ・ボン",,"ビストロボン","760-0073","高松市栗林町２−４−１６",,"087-802-1872  ","株式会社ＢＯＮ","ボン","飲食店営業","一般","第10101-2021138号","R03.03.25","R03.03.25","R08.05.31"
"吉田食品",,"ヨシダショクヒン","761-8052","高松市松並町８５７−３",,,"楊　学文","ヨウ　ガクブン","豆腐製造業","豆腐","第22500-2021141号","R03.03.26","R03.03.26","R08.05.31"
"韓丼","高松上天神店","カンドン　タカマツカミテンジンテン","761-8056","高松市上天神町８３２−１",,"087-802-9855  ","にくぶき株式会社","ニクブキ","飲食店営業","一般","第10101-2021143号","R03.03.29","R03.03.29","R08.05.31"
"本マグロと海鮮旨処　魚神",,"ホンマグロトカイセンウマイドコロ　ウオシン","761-0101","高松市春日町１７０−１",,"087-841-0001  ","株式会社神農産業","シンノウサンギョウ","食品の冷凍又は冷蔵業","冷凍冷蔵","第20901-2021148号","R03.03.29","R03.03.29","R08.05.31"
"本マグロと海鮮旨処　魚神",,"ホンマグロトカイセンウマイドコロ　ウオシン","761-0101","高松市春日町１７０−１",,"087-841-0001  ","株式会社神農産業","シンノウサンギョウ","魚介類販売業","魚介類","第20601-2021149号","R03.03.29","R03.03.29","R08.05.31"
"さぬきのおもてなし　麺匠　くすがみ",,"サヌキノオモテナシメンショウクスガミ","760-0075","高松市楠上町２−６−３６",,"087-880-5496  ","特定非営利活動法人ＢＩＧスマイル","ビッグスマイル","飲食店営業","めん","第10104-2021142号","R03.03.29","R03.03.29","R08.05.31"
"アイルコート","ちょと吉","アイルコート　チョトキチ","761-0433","高松市十川西町１３０４−２",,"087-848-6671  ","特定非営利活動法人アイルコート","アイルコート","飲食店営業","調理パン","第10402-2021154号","R03.03.30","R03.03.30","R08.05.31"
"アイルコート","ちょと吉","アイルコート　チョトキチ","761-0433","高松市十川西町１３０４−２",,"087-848-6671  ","特定非営利活動法人アイルコート","アイルコート","菓子製造業","菓子","第20101-1261137号","H26.11.27","R01.12.01","R06.11.30"
"食楽苑　金魚",,"ショクラクエンキンギョ","760-0052","高松市瓦町１−２","グルメ館６，７階","087-822-3036  ","株式会社アーバンプロパティーズ","アーバンプロパティーズ","飲食店営業","居酒屋・焼肉","第10107-1211205号","H22.03.18","R02.06.01","R07.05.31"
"食楽苑　金魚",,"ショクラクエンキンギョ","760-0052","高松市瓦町１−２","グルメ館６，７階","087-822-3036  ","株式会社アーバンプロパティーズ","アーバンプロパティーズ","ソース類製造業","ソース","第22300-1211206号","H22.03.18","R02.06.01","R07.05.31"
"食楽苑　金魚",,"ショクラクエン　キンギョ","        ","高松市一円",,"              ","株式会社アーバンプロパティーズ","アーバンプロパティーズ","飲食店営業","露店：仮設","第10407-2020240号","R02.06.03","R02.06.03","R07.08.31"
"ともに　ラウンジ",,"トモニ　ラウンジ","761-0434","高松市十川東町１６８０",,"087-814-7982  ","一般財団法人さぬき生活文化振興財団","サヌキセイカツブンカシンコウザイダン","アイスクリーム類製造業","ソフトクリーム","第21302-2030011号","R03.04.06","R03.04.06","R08.05.31"
"ＳＮＡＣＫ　おさる",,"オサル","760-0052","高松市瓦町２−２−１０","イングスプラザビル２階","087-837-3277  ","河成　勝","カワナリ　マサル","飲食店営業","飲み屋","第10401-2021156号","R03.03.31","R03.03.31","R08.05.31"
"Ｇｌｏｂａｌ　ｋｉｔｃｈｅｎ　Ａｒｉｅｓ",,"グローバルキッチンアリエス","760-0051","高松市南新町１１−３",,"              ","高橋　文也","タカハシ　フミヤ","飲食店営業","一般","第10101-2030010号","R03.04.06","R03.04.06","R08.05.31"
"ＳＮＡＣＫ　太郎＆花子",,"スナック　タロウアンドハナコ","760-0052","高松市瓦町１−１１","クィーンズスクエア第２ビル４階Ｄ",,"濱田　慶子","ハマダ　ケイコ","飲食店営業","飲み屋","第10401-2030004号","R03.04.02","R03.04.02","R08.05.31"
"やすらぎ",,"ヤスラギ","760-0080","高松市木太町２２０６",,"087-837-5720  ","松田　サチ子","マツダ　サチコ","飲食店営業","居酒屋・焼肉","第10107-2030006号","R03.04.05","R03.04.05","R08.05.31"
"ナナブンノハチ　くち～な",,"ナナブンノハチ　クチーナ","        ","高松市一円",,,"丸山　武伸","マルヤマ　タケノブ","菓子製造業","車","第20104-2020490号","R02.08.18","R02.08.18","R07.08.31"
"ナナブンノハチ　くち～な",,"ナナブンノハチ　クチーナ","        ","高松市一円",,"              ","丸山　武伸","マルヤマ　タケノブ","飲食店営業","車","第10410-1311373号","R02.02.05","R02.02.05","R07.02.28"
"もっちゃん！ザ・ワールド",,"モッチャンワールド","        ","高松市一円",,,"元家　裕之","モトイエ　ヒロユキ","飲食店営業","露店：仮設","第10407-2030007号","R03.04.05","R03.04.05","R08.05.31"
"＃ｐｒｏｍｉｎｅｎ",,"ハッシュタグプロミネン","761-0443","高松市川島東町１１７６−１",,,"倉知　祐規子","クラチ　ユキコ","飲食店営業","喫茶","第10105-2030044号","R03.04.15","R03.04.15","R08.05.31"
"＃ｐｒｏｍｉｎｅｎ",,"ハッシュタグプロミネン","761-0443","高松市川島東町１１７６−１",,,"倉知　祐規子","クラチ　ユキコ","菓子製造業","菓子","第20101-2030045号","R03.04.15","R03.04.15","R08.05.31"
"風狸",,"フウリ","760-0062","高松市塩上町１−１−３",,,"筒井　庸介","ツツイ　ヨウスケ","飲食店営業","その他","第10404-2030014号","R03.04.07","R03.04.07","R08.05.31"
"田舎い～なぁ　かんぱにー",,"イナカイ～ナァ　カンパニー","761-1614","高松市塩江町上西乙３８０",,,"市川　知代","イチカワ　チヨ","飲食店営業","一般","第10101-2030089号","R03.04.30","R03.04.30","R08.05.31"
"『肉山』高松",,"ニクヤマタカマツ","760-0050","高松市亀井町１１−１","川田ビル１階","087-832-2929  ","ことほぎ株式会社","コトホギ","飲食店営業","居酒屋・焼肉","第10107-2030019号","R03.04.08","R03.04.08","R08.05.31"
"スナック１０えん",,"スナックジュウエン","760-0052","高松市瓦町２−８−３","１階","087-834-5181  ","川越　信子","カワゴエ　ノブコ","飲食店営業","飲み屋","第10401-2030030号","R03.04.12","R03.04.12","R08.05.31"
"スナック　とも",,"スナック　トモ","760-0052","高松市瓦町２−１−２５","クイーンズスクエアビル１階","087-835-4294  ","久保　友子","クボ","飲食店営業","飲み屋","第10401-2030023号","R03.04.09","R03.04.09","R08.05.31"
"超おにぎり屋",,"チョウオニギリヤ","760-0062","高松市塩上町１−６−１４",,"087-831-2822  ","有限会社米屋ながはら","コメヤナガハラ","飲食店営業","弁当","第10203-2030024号","R03.04.09","R03.04.09","R08.05.31"
"超おにぎり屋",,"チョウオニギリヤ","760-0062","高松市塩上町１−６−１４",,"087-831-2822  ","有限会社米屋ながはら","コメヤナガハラ","菓子製造業","菓子","第20101-2030025号","R03.04.09","R03.04.09","R08.05.31"
"有限会社丸植鮮魚",,"マルウエセンギョ","760-0012","高松市瀬戸内町３０−５",,"087-861-6143  ","有限会社丸植鮮魚","マルウエセンギョ","魚介類販売業","魚介類","第20601-0031541号","S55.12.01","R03.03.01","R08.02.28"
"お番菜ｃａｆｅ　ＴＲＥＥ　ＨＯＵＳＥ",,"ツリーハウス","761-0101","高松市春日町１５６４",,"              ","後藤田　孝廣","ゴトウダ　タカヒロ","飲食店営業","一般","第10101-1311362号","R02.02.03","R02.02.03","R07.02.28"
"ｍａｓｓｈｉｒｏ",,"マッシロ","761-8084","高松市一宮町７８７−７",,,"釜野　奈緒香","カマノ　ナオカ","飲食店営業","喫茶","第10105-2030071号","R03.04.26","R03.04.26","R08.05.31"
"カラオケ　ユニーク",,"カラオケ　ユニーク","760-0044","高松市御坊町８−６","大藪ビル１階",,"宮武　繁子","ミヤタケ　シゲコ","飲食店営業","喫茶","第10105-2030032号","R03.04.12","R03.04.12","R08.05.31"
"そよ風",,"ソヨカゼ","761-0303","高松市六条町１０２９−２",,,"伊瀬　晴海","イセ　ハルウミ","飲食店営業","喫茶","第10105-2030046号","R03.04.15","R03.04.15","R08.05.31"
"くすりのレデイ","春日橋店","クスリノレデイ　カスガバシテン","760-0080","高松市木太町２８３３−１",,"087-802-1628  ","株式会社レデイ薬局","レデイヤッキョク","喫茶店営業","自販","第21108-1310759号","R01.09.11","R01.09.11","R06.11.30"
"くすりのレデイ","ハローズ六条店","クスリノレデイハローズロクジョウテン","761-0303","高松市六条町４２−１",,"087-813-0818  ","株式会社レデイ薬局","レデイヤッキョク","喫茶店営業","自販","第21108-2020466号","R02.08.03","R02.08.03","R07.08.31"
"アジアン屋台",,"アジアンヤタイ","760-0080","高松市木太町５１０２−１１",,"087-887-6268  ","久保　裕志","クボ　ヒロシ","飲食店営業","居酒屋・焼肉","第10107-2030027号","R03.04.09","R03.04.09","R08.05.31"
"旬",,"シュン","760-0045","高松市古馬場町５−９","春日河ビル１階",,"中西　美紀","ナカニシ　ミキ","飲食店営業","料亭","第10102-2030081号","R03.04.26","R03.04.26","R08.05.31"
"(有)ラビリンス",,"ユウゲンガイシャラビリンス","760-0066","高松市福岡町２−７−２３","２階","              ","有限会社ラビリンス","ユウゲンガイシャラビリンス","飲食店営業","喫茶","第10105-2030036号","R03.04.14","R03.04.14","R08.05.31"
"Ｆｏｏｄ＆Ｂａｒ　ＨＡＬ",,"ハル","760-0045","高松市古馬場町７−１７","四宮ビル３階",,"浅野　信二","アサノ　シンジ","飲食店営業","飲み屋","第10401-2030026号","R03.04.09","R03.04.09","R08.05.31"
"雅代ん家",,"マサヨンチ","760-0050","高松市亀井町１２−２　２階",,"              ","株式会社雅","ミヤビ","飲食店営業","一般","第10101-2030047号","R03.04.16","R03.04.16","R08.05.31"
"とりかご",,"トリカゴ","760-0063","高松市多賀町２−１７−１１",,,"合同会社白雀","ゴウドウカイシャシロスズメ","飲食店営業","飲み屋","第10401-2030091号","R03.04.30","R03.04.30","R08.05.31"
"ティアラ",,"ティアラ","760-0045","高松市古馬場町８−１１","フレンズビル２階","087-822-6613  ","田中　広美","タナカ　ヒロミ","飲食店営業","飲み屋","第10401-2030034号","R03.04.13","R03.04.13","R08.05.31"
"高松コラボレーションショールーム",,"タカマツコラボレーションショールーム","761-0301","高松市林町２５４７−３",,"              ","コカ・コーラボトラーズジャパン株式会社","コカコーラボトラーズジャパン","喫茶店営業","自販","第21108-2030088号","R03.04.30","R03.04.30","R08.05.31"
"ＡＭＯＲＥ",,"アモーレ","760-0045","高松市古馬場町１３−１７","エルパセオビル１階",,"中原　和也","ナカハラ　カズヤ","飲食店営業","飲み屋","第10401-1310409号","R01.07.08","R01.07.16","R06.08.31"
"Ｃｈｏｒｄ　Ｃｏｆｆｅｅ",,"コード　コーヒー","760-0078","高松市今里町１−１７−２０",,,"薮内　潔","ヤブウチ　キヨシ","菓子製造業","菓子","第20101-2030037号","R03.04.14","R03.04.14","R08.05.31"
"Ｉｉｔ",,"イット","760-0045","高松市古馬場町９−２９","国本ビル２階","087-822-9057  ","瑞田　和彦","タマダ　カズヒコ","飲食店営業","飲み屋","第10401-2030042号","R03.04.15","R03.04.15","R08.05.31"
"天下一品　ライオン通店",,"テンカイッピン　ライオンドオリテン","760-0052","高松市瓦町１−２−６",,"087-813-1119  ","株式会社ガオコーポレーション","ガオコーポレーション","飲食店営業","めん","第10104-2030048号","R03.04.16","R03.04.16","R08.05.31"
"ＮＴＴ西日本香川支店Ａ棟５階食堂","Ｄ４ＫＧＢＸ６２ＭＸＢＩＮ９","エヌ・ティ・ティニシニホンカガワシテンチオトウカイショクドウ","760-0055","高松市観光通１−８−２",,"              ","コカ・コーラボトラーズジャパン株式会社","コカコーラボトラーズジャパン","喫茶店営業","自販","第21108-2030040号","R03.04.15","R03.04.15","R08.05.31"
"香川県農業協同組合木太支店",,"カガワケンノウギョウキョウドウクミアイキタシテン","760-0080","高松市木太町１６６９",,"087-861-5130  ","中塚　節子","ナカカツカ　セツコ","みそ製造業","みそ","第22100-2030060号","R03.04.21","R03.04.21","R08.05.31"
"香川県農業協同組合木太支店",,"カガワケンノウギョウキョウドウクミアイキタシテン","760-0080","高松市木太町１６６９",,"087-861-5130  ","中塚　節子","ナカカツカ　セツコ","ソース類製造業","ソース","第22300-2030061号","R03.04.21","R03.04.21","R08.05.31"
"独立行政法人高齢・障害・求職者雇用支援機構香川支部","ポリテクセンター香川","ポリテクセンターカガワ","761-8063","高松市花ノ宮町２−４−３",,"              ","コカ・コーラボトラーズジャパン株式会社","コカコーラボトラーズジャパン","喫茶店営業","自販","第21108-2030003号","R03.04.02","R03.04.02","R08.05.31"
"高松高等裁判所",,"タカマツコウトウサイバンショ","760-0033","高松市丸の内１−１−３６",,"              ","コカ・コーラボトラーズジャパン株式会社","コカコーラボトラーズジャパン","喫茶店営業","自販","第21108-2030015号","R03.04.07","R03.04.07","R08.05.31"
"コーナンＰＲＯ高松元山店",,"コーナンタカマツモトヤマテン","761-0311","高松市元山町５９１−１",,"              ","コカ・コーラボトラーズジャパン株式会社","コカコーラボトラーズジャパン","喫茶店営業","自販","第21108-2021081号","R03.03.12","R03.03.12","R08.05.31"
"ｃｌａｒⅰｓ",,"クラリス","760-0045","高松市古馬場町６−１７","５階","087-802-6733  ","寿賀　裕子","スガ　ユウコ","飲食店営業","飲み屋","第10401-2030041号","R03.04.15","R03.04.15","R08.05.31"
"きのした",,"キノシタ","761-8043","高松市中間町１３１６−３",,,"木下　豊美","キノシタ　トヨミ","飲食店営業","その他","第10404-2030064号","R03.04.23","R03.04.23","R08.05.31"
"１８時だよ　全員集合",,"ジュウハチジダヨ　ゼンインシュウゴウ","760-0080","高松市木太町３６２８−１",,"087-802-6995  ","久保　ユキミ","クボ　ユキミ","飲食店営業","飲み屋","第10401-2030058号","R03.04.21","R03.04.21","R08.05.31"
"里のむすび",,"サトノムスビ","761-0446","高松市東植田町１３６１−１",,,"久武　貴博","ヒサタケ　タカヒロ","飲食店営業","その他","第10404-2030052号","R03.04.19","R03.04.19","R08.05.31"
"きのした",,"キノシタ","761-8043","高松市中間町１３１６−３",,,"木下　豊美","キノシタトヨミ","菓子製造業","菓子","第20101-2030065号","R03.04.23","R03.04.23","R08.05.31"
"ＢＡＲ　ＵＭＢＲＥＬＬＡ",,"アンブレラ","760-0045","高松市古馬場町９−１３","湊ビル１階","087-851-6066  ","中村　友彦","ナカムラ　トモヒコ","飲食店営業","飲み屋","第10401-1280162号","H28.05.11","R03.06.01","R08.05.31"
"Ｇ−ｃａｆｅ　三谷",,"ジーカフェ　ミタニ","761-0450","高松市三谷町２９３−３",,"087-815-5111  ","有限会社ゲスト","ゲスト","喫茶店営業","喫茶","第21101-2020672号","R02.10.26","R02.10.26","R07.11.30"
"西カフェ",,"サイカフェ","760-0054","高松市常磐町１−４−１","福田ビル２階",,"福田　豊","フクダ　ユタカ","飲食店営業","一般","第10101-2030098号","R03.05.07","R03.05.07","R08.05.31"
"ネパール・インドレストラン　ＣＨＡＭＥＬＩ",,"ネパールインドレストランチャメリ","761-1403","高松市香南町吉光１３７−１１",,,"有限会社小桝","コマス","飲食店営業","一般","第10101-2030090号","R03.04.30","R03.04.30","R08.05.31"
"アート・プラザ",,"アート・プラザ","760-0071","高松市藤塚町２−７−１５",,"087-831-8188  ","佐々木　政夫","ササキ　マサオ","飲食店営業","喫茶","第10105-2030049号","R03.04.19","R03.04.19","R08.05.31"
"食工舎Ｇｕｎ",,"ショクコウシャグン","760-0045","高松市古馬場町７−２",,,"齋藤　美智","サイトウ　ミチ","飲食店営業","料亭","第10102-2030057号","R03.04.20","R03.04.20","R08.05.31"
"小料理　かさはら",,"コリョウリ　カサハラ","760-0052","高松市瓦町２−２−４１",,"087-862-0771  ","笠原　政彰","カサハラ　マサアキ","飲食店営業","料亭","第10102-1230066号","H23.04.25","R03.06.01","R08.05.31"
"株式会社　たまり",,"タマリ","        ","高松市一円",,"              ","株式会社たまり","タマリ","飲食店営業","露店：仮設","第10407-2030056号","R03.04.20","R03.04.20","R08.05.31"
"ｓｏｉｅ　−ソワ−",,"ソワ","761-0441","高松市由良町２６２−６",,,"藤堂　万里子","トウドウ　マリコ","菓子製造業","菓子","第20101-2030077号","R03.04.27","R03.04.27","R08.05.31"
"豚満","高松北店","ブタマン　タカマツキタテン","760-0026","高松市磨屋町１０−５","古市ビル２階","087-821-7321  ","株式会社らも","ラモ","飲食店営業","居酒屋・焼肉","第10107-1311381号","R02.02.10","R02.02.10","R07.02.28"
"丸協青果株式会社",,"マルキョウセイカ","760-0012","高松市瀬戸内町３０−７５",,"087-834-8877  ","丸協青果株式会社","マルキョウセイカ","菓子製造業","菓子","第20101-1280108号","H28.04.25","R03.06.01","R08.05.31"
"ＫＡＧＵ　☆　ｃａｆｅ",,"カグ　カフェ","761-0104","高松市高松町２５１３−１０",,"087-899-6811  ","池添　千賀子","イケゾイ　チカコ","アイスクリーム類製造業","ソフトクリーム","第21302-2030067号","R03.04.23","R03.04.23","R08.05.31"
"時代屋",,"ジダイヤ","760-0071","高松市藤塚町２−１３−４",,,"高尾　佳孝","タカオ　ヨシタカ","飲食店営業","飲み屋","第10401-2030059号","R03.04.22","R03.04.22","R08.05.31"
"珠珠",,"ジュジュ","760-0052","高松市瓦町２−９−４","北川ビル２階","              ","曽根　亜矢","ソネ　アヤ","飲食店営業","飲み屋","第10401-2030062号","R03.04.23","R03.04.23","R08.05.31"
"マックスカフェ高松駅前",,"マックスカフェタカマツエキマエ","760-0020","高松市錦町１−８−９",,"087-811-8860  ","株式会社リブマックスフーズ","リブマックスフーズ","飲食店営業","旅館・ホテル","第10301-2030080号","R03.04.28","R03.04.28","R08.05.31"
"雀荘ロダン",,"ジャンソウロダン","761-8044","高松市円座町５９０−１",,"087-886-1484  ","中原　元子","ナカハラ　モトコ","飲食店営業","喫茶","第10105-2030069号","R03.04.26","R03.04.26","R08.05.31"
"有限会社あきやま",,"アキヤマ","760-0011","高松市浜ノ町５０−２１",,"087-851-3007  ","有限会社あきやま","アキヤマ","魚介類販売業","魚介類","第20601-2030072号","R03.04.27","R03.04.27","R08.05.31"
"有限会社あきやま",,"アキヤマ","760-0011","高松市浜ノ町５０−２１",,"087-851-3007  ","有限会社あきやま","アキヤマ","食品の冷凍又は冷蔵業","冷凍冷蔵","第20901-2030073号","R03.04.27","R03.04.27","R08.05.31"
"カラオケ居酒屋　英雄伝",,"カラオケイザカヤ　エイユウデン","760-0078","高松市今里町１−３３−７","西原ビル１階",,"松本　隆江","マツモト　タカエヱ","飲食店営業","居酒屋・焼肉","第10107-2030063号","R03.04.23","R03.04.23","R08.05.31"
"わいんびより",,"ワインビヨリ","760-0040","高松市片原町９−１５","辻第５ビル　１階","087-851-8100  ","合同会社わいんびより","ワインビヨリ","かん詰又はびん詰食品製造業","びん缶","第21000-2030078号","R03.04.27","R03.04.27","R08.05.31"
"川福食品株式会社",,"カワフクショクヒン","760-0042","高松市大工町２−１",,"087-822-1956  ","川福食品株式会社","カワフクショクヒン","麺類製造業","めん","第22701-2030082号","R03.04.26","R03.04.26","R08.05.31"
"Ｊ’ｓ　ｃａｆｅ",,"ジェイズ　カフェ","761-1704","高松市香川町川内原３７７−１","２階",,"小比賀　真紀","オビカ　マキ","飲食店営業","喫茶","第10105-2030109号","R03.05.11","R03.05.11","R08.05.31"
"ルノン",,"ルノン","760-0045","高松市古馬場町１３−１１","ライトハウスビル３階Ａ号","087-813-2339  ","山家　光喜","ヤマイエ　コウキ","飲食店営業","飲み屋","第10401-1270560号","H27.08.06","R02.09.01","R07.08.31"
"さぬきの味　岩久",,"サヌキノアジ　イワキュウ","760-0045","高松市古馬場町１４−３７",,"087-802-1578  ","久保　和照","クボ　カズテル","飲食店営業","居酒屋・焼肉","第10107-1270832号","H27.10.05","R02.12.01","R07.11.30"
"リーチ麻雀ＡＲＫ",,"リーチマージャンアーク","761-1702","高松市香川町寺井５７７","多田ビル１階１０２号室",,"田中　啓造","タナカ　ケイゾウ","飲食店営業","喫茶","第10105-2030079号","R03.04.27","R03.04.27","R08.05.31"
"株式会社ハローズ","高松春日店","ハローズタカマツカスガテン","761-0101","高松市春日町１０７２−１",,"087-841-1186  ","株式会社ハローズ","ハローズ","飲食店営業","おかず","第10403-1221090号","H23.01.27","R03.03.01","R08.02.28"
"株式会社ハローズ","高松春日店","ハローズタカマツカスガテン","761-0101","高松市春日町１０７２−１",,"087-841-1186  ","株式会社ハローズ","ハローズ","菓子製造業","パン","第20102-1221091号","H23.01.27","R03.03.01","R08.02.28"
"株式会社ハローズ","高松春日店","ハローズタカマツカスガテン","761-0101","高松市春日町１０７２−１",,"087-841-1186  ","株式会社ハローズ","ハローズ","魚介類販売業","魚介類","第20601-1221092号","H23.01.27","R03.03.01","R08.02.28"
"株式会社ハローズ","高松春日店","ハローズタカマツカスガテン","761-0101","高松市春日町１０７２−１",,"087-841-1186  ","株式会社ハローズ","ハローズ","食肉販売業","食肉販売","第21601-1221095号","H23.01.27","R03.03.01","R08.02.28"
"ライブハウス高松ビートルズ",,"ライブハウスタカマツビートルズ","760-0045","高松市古馬場町８−７","岩佐ビル３階","087-822-9443  ","新谷　秀記","シンタニ　ヒデキ","飲食店営業","飲み屋","第10401-2030093号","R03.04.30","R03.04.30","R08.05.31"
"川富",,"カワトミ","760-0052","高松市瓦町１−９−６","エマールビル１階","087-833-4606  ","松下　廷夫","マツシタ　タダオ","飲食店営業","料亭","第10102-2030085号","R03.04.30","R03.04.30","R08.05.31"
"香川県高松土木事務所","Ｆ８ＫＳＢＸ７３ＭＸＢ１ＮＷ","カガワケンタカマツドボクジムショ","761-8076","高松市多肥上町１２５１−１",,"              ","コカ・コーラボトラーズジャパン株式会社","コカコーラボトラーズジャパン","喫茶店営業","自販","第21108-2030131号","R03.05.19","R03.05.19","R08.05.31"
"吉峰病院",,"ヨシミネビョウイン","760-0017","高松市番町１−４−１３",,"              ","株式会社大八食品","ダイハチショクヒン","飲食店営業","給食","第10106-1270001号","H27.03.23","R02.06.01","R07.05.31"
"西岡医院",,"ニシオカイイン","761-8085","高松市寺井町１３８５−１０",,"              ","株式会社大八食品","ダイハチショクヒン","飲食店営業","給食","第10106-1300912号","H30.09.28","H30.10.01","R06.11.30"
"世界劇場",,"セカイゲキジョウ","760-0045","高松市古馬場町１３−７","ルベールビル４階","              ","株式会社ＴＨＥＡＴＥＲ３６５","シアターサンロクゴ","飲食店営業","喫茶","第10105-2030094号","R03.04.30","R03.04.30","R08.05.31"
"フィットネスクラブレフコゆめタウン高松店","型式POW-4C4MD-AL　製番20X7202090","フィットネスクラブレフコユメタウンタカマツテン","761-8056","高松市上天神町２６６","２階","087-864-6210  ","株式会社ＡＬＩＧＨＴ","アライト","喫茶店営業","自販","第21108-2030086号","R03.04.30","R03.04.30","R08.05.31"
"寿司割烹こいし",,"コイシ","761-0101","高松市春日町５６２−１",,"087-844-0514  ","株式会社香章",,"飲食店営業","料亭","第10102-2030095号","R03.04.30","R03.04.30","R08.05.31"
"株式会社ハマダフードシステム","本社工場","ハマダフードシステムホンシャコウジョウ","761-8052","高松市松並町６０８−１",,"087-865-0001  ","株式会社ハマダフードシステム","ハマダフードシステム","添加物製造業","添加物","第22901-2020849号","R02.12.14","R02.12.14","R09.02.28"
"炭ジロー",,"タンジロー","760-0012","高松市瀬戸内町３０","うみまち商店街","              ","布　千晶","ヌノ　チアキ","飲食店営業","居酒屋・焼肉","第10107-2030133号","R03.05.20","R03.05.20","R08.05.31"
"もち工房みの",,"モチコウボウミノ","761-0446","高松市東植田町２６２９−１",,"087-849-1024  ","美濃　美智代","ミノ　ミチヨ","菓子製造業","菓子","第20101-2030103号","R03.05.07","R03.05.07","R08.05.31"
"姫乃屋商店",,"ヒメノヤショウテン","        ","高松市一円",,,"鳥井　恵","トリイ　メグミ","飲食店営業","露店：仮設","第10407-2030096号","R03.05.06","R03.05.06","R08.05.31"
"割烹　江戸前",,"エドマエ","760-0056","高松市中新町１−２０",,"087-834-8697  ","中川　悦子","ナカガワ　エツコ","飲食店営業","料亭","第10102-0027883号","H05.05.27","R03.06.01","R08.05.31"
"ＲＯＣＫＥＴ",,"ロケット","760-0045","高松市古馬場町１４−２","サクセスビル５階","087-802-4808  ","大西　佑詞","オオニシ　ユウシ","飲食店営業","飲み屋","第10401-2030114号","R03.05.11","R03.05.11","R08.05.31"
"サウンドステージ　エアポート",,"サウンドステージ　エアポート","761-8076","高松市多肥上町１３６６−３",,"087-866-5053  ","川田　桂義","カワダ　カツヨシ","飲食店営業","喫茶","第10105-0027708号","H05.03.10","R03.06.01","R08.05.31"
"大狸","東店","オオダヌキ　ヒガシテン","760-0080","高松市木太町３２３４−８","中原第２ビル１階","087-863-4100  ","黒田　浩二","クロダ　コウジ","飲食店営業","居酒屋・焼肉","第10107-0043901号","H09.04.03","R03.06.01","R08.05.31"
"有限会社てら屋",,"テラヤ","761-8041","高松市檀紙町８５１−１",,"087-885-1622  ","有限会社てら屋","テラヤ","飲食店営業","めん","第10104-0051655号","H13.03.13","R03.06.01","R08.05.31"
"浜川製菓三寿堂",,"ハマカワセイカサンジュドウ","761-0113","高松市屋島西町１３４２−５",,"087-841-9468  ","濱川　博司","ハマカワ　ヒロシ","菓子製造業","菓子","第20101-0031390号","S50.04.03","R03.06.01","R08.05.31"
"浜川製菓三寿堂",,"ハマカワセイカサンジュドウ","761-0113","高松市屋島西町１３４２−５",,"087-841-9468  ","濱川　博司","ハマカワ　ヒロシ","アイスクリーム類製造業","ソフトクリーム","第21302-0031391号","S50.04.03","R03.06.01","R08.05.31"
"ドミノ・ピザ高松塩上町店",,"ドミノピザタカマツシオガミチョウテン","760-0062","高松市塩上町２−２−８",,"087-832-2888  ","オオノ株式会社","オオノカブシキガイシャ","飲食店営業","その他","第10404-2030135号","R03.05.20","R03.05.20","R09.05.31"
"ドミノ・ピザ高松塩上町店",,"ドミノピザタカマツシオガミチョウテン","760-0062","高松市塩上町２−２−８",,"087-832-2888  ","オオノ株式会社","オオノカブシキガイシャ","菓子製造業","菓子","第20101-2030136号","R03.05.20","R03.05.20","R09.05.31"
"だん",,"ダン","761-8004","高松市中山町４６３−２",,,"段　洋子","ダン　ヨウコ","そうざい製造業","そうざい","第22800-2030106号","R03.05.10","R03.05.10","R08.05.31"
"サンビリヤード",,"サンビリヤード","761-8058","高松市勅使町１５４−１",,"087-802-8608  ","梶原　サカヱ","カジハラ　サカエ","飲食店営業","喫茶","第10105-2030116号","R03.05.13","R03.05.13","R08.05.31"
"にく味　新",,"ニクアジ　アラタ","760-0028","高松市鍛冶屋町４−７",,"087-802-6102  ","株式会社オレガ","オレガ","飲食店営業","居酒屋・焼肉","第10107-2030105号","R03.05.10","R03.05.10","R08.05.31"
