"#property","prefCode","no","pref","cityName","townName","address","buildingName","venue","eventName","overview","organizer","startDate","startTime","endDate","endTime"
"196","372013","0196","香川県","高松市","片原町","11-1",,"高松市生涯学習センター","お箸とお弁当袋を作ってみよう！","【内容】お箸袋とお弁当袋を作る過程を通して、子どもたちにものづくりの技術と楽しさを伝えます。【講師】村川永子さん【定員】申込先着8人【対象】小・中学生（※小学3年生以下は保護者同伴)【材料費】５００円【持参物】裁縫道具（針・針山・糸切りばさみ・約20ｃｍの定規）、筆記用具【受付開始】7月3日（金）午前９時【申込方法】高松市生涯学習センターに電話（８１１−６２２２）又は御来館にて※月曜日休館

○お問合せ先：高松市生涯学習センター　087-811-6222
○高松市主催事業","高松市教育委員会","8/5/2020","10:00","8/5/2020","11:30"
"197","372013","0197","香川県","高松市","片原町","11-1",,"高松市生涯学習センター","ゆびで描く♪かんたんキッズパステルアート","【内容】『パステル』という画材をパウダー状に削り、色の粉を指につけてくるくると楽しく絵を描きましょう。絵心がなくても大丈夫！夏休みの宿題や思い出作りにぜひどうぞ♪【講師】清水なつみさん【定員】申込先着８人【対象】小・中学生（※小学3年生以下は保護者同伴）【受講料】無料【材料費】１，０００円【持参物】指を拭く布【申込方法】高松市生涯学習センターに電話（８１１−６２２２）又は御来館にて※月曜日休館

○お問合せ先：高松市生涯学習センター　087-811-6222
○高松市主催事業","高松市教育委員会","8/9/2020","13:30","8/9/2020","15:00"
"198","372013","0198","香川県","高松市","片原町","11-1",,"高松市生涯学習センター","わくわく！どきどき！夏休み水の実験教室","【内容】水に関する面白い実験をたくさんするよ！実験内容は当日までのお楽しみに！わくわく、どきどきの実験を体験して、夏休みの楽しい思い出を作ろう！【講師】竹谷栄二さん（かがわ環境カウンセラー協議会）【定員】申込先着８人【対象】小学４～６年生【受講料】無料【申込方法】高松市生涯学習センターに電話（８１１−６２２２）又は御来館にて※月曜日休館

○お問合せ先：高松市生涯学習センター　087-811-6222
○高松市主催事業","高松市教育委員会","8/19/2020","13:30","8/19/2020","15:30"
"199","372013","0199","香川県","高松市","片原町","11-1",,"高松市生涯学習センター","キッズ木工教室～作って遊ぼう！コリントゲーム！～","【内容】木工キットと使って、楽しく簡単オリジナルのコリントゲームを作って遊ぼう！【講師】青木節子さん（木工教室癒楽木（ゆらぎ）主宰）【定員】申込先着8人【対象】小学生（※3年生以下は保護者同伴)【受講料】無料【材料費】１，２００円【持参物】木工用ボンド、絵の具（作品に色を塗りたい人は持ってきてね！）【申込方法】高松市生涯学習センターに電話（８１１−６２２２）又は御来館にて※月曜日休館

○お問合せ先：高松市生涯学習センター　087-811-6222
○高松市主催事業","高松市教育委員会","7/23/2020","10:00","7/23/2020","12:00"
"200","372013","0200","香川県","高松市","片原町","11-1",,"高松市生涯学習センター","作って楽しい折り紙教室～モビール～","【内容】折り紙を折ったり、ひもの長さを調整し、バランスをとってMyモビールを作ろう。【日程】７月２５日（土）10時～11時30分・14時～14時30分【講師】四角整子さん（日本折紙協会香川支部長）【定員】申込先着各８人（小学生※3年生以下は保護者同伴）【材料費】８００円【持参物】ハサミ、お手ふき、ステックのり【申込方法】高松市生涯学習センターに電話（８１１−６２２２）又は御来館にて※月曜日休館

○お問合せ先：高松市生涯学習センター　087-811-6222
○高松市主催事業","高松市教育委員会","7/25/2020","10:00","7/25/2020","15:30"
"201","372013","0201","香川県","高松市","片原町","11-1",,"高松市生涯学習センター","国語力をアップさせよう！キッズ朗読教室","【内容】記憶や学習をつかさどる前頭前野を鍛えるためには、読むこと書くことが大事！名詩・名文を音読、朗読、暗誦して国語力をアップさせよう。【講師】宇都宮啓子さん（朗読・朗誦インストラクター）【定員】申込先着７人【対象】小・中学生（※小学3年生以下は保護者同伴）【受講料】無料【持参物】筆記用具【申込方法】高松市生涯学習センターに電話（８１１−６２２２）又は御来館にて※月曜日休館

○お問合せ先：高松市生涯学習センター　087-811-6222
○高松市主催事業","高松市教育委員会","8/7/2020","13:30","8/7/2020","15:00"
"202","372013","0202","香川県","高松市","片原町","11-1",,"高松市生涯学習センター","夏休みキッズチャレンジ！　美味しい海苔の食べ方を学ぼう！","【内容】海苔の佃煮を作ったり、生海苔と焼きのりを比較したり、香川県のノリ養殖についても学びます。【講師】一般社団法人香川県水産振興協会職員、香川県農政水産部水産課職員【定員】申込先着8人【対象】小学生（※小学3年生以下は保護者同伴)【材料費】無料【受付開始】7月７日（火）午前９時【申込方法】高松市生涯学習センターに電話（８１１−６２２２）又は御来館にて※月曜日休館

○お問合せ先：高松市生涯学習センター　087-811-6222
○高松市主催事業","高松市教育委員会","8/6/2020","13:30","8/6/2020","14:40"
"203","372013","0203","香川県","高松市","片原町","11-1",,"高松市生涯学習センター","夏休み！楽しい子どもハワイアンフラ","【内容】ハワイアンの音楽に合わせて体を動かし、みんなで楽しく踊ろう。【講師】山本博子さん（フラスタジオ　メレアロハ　ホクラニ　インストラクター）【定員】申込先着１５人【対象】小・中学生（※小学3年生以下は保護者同伴）【受講料】無料【持参物】飲み物、汗拭き用タオル、動きやすい服装で来てね。【申込方法】高松市生涯学習センターに電話（８１１−６２２２）又は御来館にて※月曜日休館

○お問合せ先：高松市生涯学習センター　087-811-6222
○高松市主催事業","高松市教育委員会","8/8/2020","10:00","8/8/2020","11:30"
"204","372013","0204","香川県","高松市","片原町","11-1",,"高松市生涯学習センター","希少糖の作り方に触れてみよう","【内容】微生物や酵素を用いた希少糖の作り方を紹介。ドライイーストを用いた糖の実験をします。【日時】８月４日（火）１時３０分～３時３０分【講師】望月　進さん・加藤　志郎さん・吉原　明秀さん（香川大学国際希少糖研究教育機構）【定員】申込先着８人【受講料】５００円【申込期間】７月１日（水）午前９時～２８日（火）午後４時【申込方法】高松市生涯学習センターに電話（８１１−６２２２）又は御来館にて※月曜日休館

○お問合せ先：087-811-6222
○高松市主催事業","高松市教育委員会","8/4/2020","13:30","8/4/2020","15:30"
"205","372013","0205","香川県","高松市","片原町","11-1",,"高松市生涯学習センター","平家物語　それぞれの死の様相2020","【内容】平家物語に登場する平重盛・平清盛・斎藤實盛の最期を考察し、その在り方が物語の中でどのような意味を持つかを追求します。【日時】7月22日・29日、8月5日　いずれも水曜日の午後２時～３時30分【講師】澤田　文男さん（高松大学発達科学部教授）【定員】申込先着30人【受講料】1,500円【持参物】筆記用具【申込方法】高松市生涯学習センターに電話（811−6222）又は御来館にて※月曜日休館

○お問合せ先：高松市生涯学習センター　087-811-6222
○高松市主催事業","高松市教育委員会","7/22/2020","14:00","8/5/2020","15:30"
"206","372013","0206","香川県","高松市","片原町","11-1",,"高松市生涯学習センター","親子でんき講座（全２回）","【内容】親子でんき講座【日時】8月18日火曜日の１３時３０分から１５時【講師】四国電力株式会社社員【定員】申込先着４組（親子８人）【持参物】手拭きタオル【申込方法】高松市生涯学習センターに電話（８１１−６２２２）又は御来館にて※月曜日休館（ただし、休日の場合は、その日後の最も近い休日でない日

○お問合せ先：高松市生涯学習センター　087-811-6222
○高松市主催事業","高松市教育委員会","8/18/2020","13:30","8/18/2020","15:00"
"207","372013","0207","香川県","高松市","片原町","11-1",,"高松市生涯学習センター３F　多目的ホール","まなび映画CAN④　劇団四季「はだかの王様」","【内容】デンマークの作家ハンス・クリスチャン＝アンデルセンが書いた童話「はだかの王様」をもとに、詩人の寺山修司が劇団四季のために書き下ろしたミュージカルです。大人から子供まで誰もが楽しめる第一級のファンタジーです。【日時】７月３０日（木）午後１時３０分～３時３０分（開場：１時）【定員】当日先着５０人（観覧希望者は直接会場へ）（午後０時３０分より整理券を配布）【入場料】無料

○お問合せ先：高松市生涯学習センター　087-811-6222
○高松市主催事業","高松市教育委員会","7/30/2020","13:30","7/30/2020","15:30"
"208","372013","0208","香川県","高松市","片原町","11-1",,"高松市生涯学習センター２F　実習室","楽しいへたうま筆文字・己（おのれ）書でマイうちわを作ろう","【内容】楽しいへたうま筆文字の己（おのれ）書や絵をうちわに描き、マイオリジナルうちわを作ろう。【日時】８月７日（金）午後１時３０分～３時３０分【講師】中邑友香さん【定員】申込先着８人（小学生）※３年生以下は保護者同伴【受講料】無料【材料費】５５０円【持参物】絵の具セット、絵筆、筆記用具

○お問合せ先：高松市生涯学習センター　087-811-6222
○高松市主催事業","高松市教育委員会","8/7/2020","13:30","8/7/2020","15:30"
"209","372013","0209","香川県","高松市","片原町","11-1",,"高松市生涯学習センター","気象災害から身を守るために","【内容】気象災害から身を守るために、過去の大雨時の災害を振返り、その課題から内閣府が策定した警戒レベルや気象台が発表する防災気象情報の入手・活用方法を説明します。【講師】吉村　満さん（高松地方気象台　気象防災情報調整官）【定員】申込先着３０人【受講料】無料【持参物】筆記用具【申込方法】高松市生涯学習センターに電話（８１１−６２２２）又は御来館にて※月曜日休館

○お問合せ先：高松市生涯学習センター　087-811-6222
○高松市主催事業","高松市教育委員会","8/19/2020","10:00","8/19/2020","11:30"
"210","372013","0210","香川県","高松市","片原町","11-1",,"高松市生涯学習センター","熱中症を予防して楽しい夏を！","【内容】楽しく夏を過ごすために熱中症についての予防方法、応急処置のポイントについてお話しします。
【講師】田中裕子さん(高松赤十字病院　救急看護認定看護師)
【定員】申込先着１４名【受講料】無料【持参物】筆記用具
【申込方法】高松市生涯学習センターに電話（８１１−６２２２）又は御来館にて※月曜日休館

○お問合せ先：高松市生涯学習センター　087-811-6222
○高松市主催事業","高松市教育委員会","7/21/2020","13:30","7/21/2020","14:30"
"211","372013","0211","香川県","高松市","片原町","11-1",,"高松市生涯学習センター","食品ロスから考えるSDGｓと我が家の家計の見直し","【内容】「食品ロス」の切り口から、一番身近な「我が家の家計の見直し」を測ることで、持続可能な開発目標（SDGｓ）の達成につながります。このことが、社会や未来への貢献にもつながることを学びましょう。【講師】大江崇子さん（NPO法人日本FP協会香川支部会員）【定員】申込先着３０人【受講料】無料【持参物】筆記用具【申込方法】高松市生涯学習センターに電話（８１１−６２２２）又は御来館にて※月曜日休館

○お問合せ先：高松市生涯学習センター　087-811-6222
○高松市主催事業","高松市教育委員会","8/1/2020","13:30","8/1/2020","15:30"
"212","372013","0212","香川県","高松市","松島町一丁目",,,"高松市こども未来館、四番丁スクエア","「伝統的ものづくり夏休み親子体験教室」を開催します！","開催日・内容：8月3日(月)①讃岐かがり手まり「まきまき」体験 ②保多織でコサージュを作ろう体験、8月5日(水)③松を知ろう！黒松の苔玉づくり体験④楽しい！組手障子体験（Aかごめコースター、Bミニ時計、Cミニフォトスタンド）、8月18日(火)⑤菓子木型で和三盆干菓子を作ろう体験⑥讃岐のり染 藍染めハンカチづくり体験
時間：【午前の部】①～⑥10時～12時
　　　【午後の部】①②③④⑥14時～16時、⑤13時～15時
場所：①②⑤⑥四番丁スクエア(番町1丁目5-1)、③④高松市こども未来館(松島町1-15-1)
対象：市内在学の小学生とその保護者
定員：各コース、午前の部・午後の部ともに親子15組（応募者多数の場合は抽選）
参加費：①1組 1100円、②1組 500円、③1組 2000円、④1組 A1000円、B1500円、C2500円、⑤1組 800円、⑥1組 1000円
申込み方法：メールに、参加親子氏名(ふりがな)・郵便番号・住所・電話番号・小学校名・学年・希望コース(①～⑥と午前か午後を第二希望まで。④を希望の方は、A～Cの希望コースも選択）を記入し、産業振興課(Mail:shoukou@city.takamatsu.lg.jp)まで。
締切：7月13日(月)必着
問合せ：産業振興課　TEL 087-839-2411
※詳しい内容については、市ホームページ(http://www.city.takamatsu.kagawa.jp/event/kosodate/dento.html)をご覧ください。
","高松市　産業振興課","8/3/2020","10:00","8/18/2020","16:00"
"213","372013","0213","香川県","高松市","松島町一丁目15-1","15-1",,"高松市男女共同参画センター（たかまつミライエ　６階）","7月さんかく交流サロン「こころやすらぐ　ぬり絵タイム」","　男女共同参画センターを一人でも多くの人に知ってもらい来てもらうために、わかりやすく親しみやすいもので、自分で作品を作ったり習ったりする企画を毎月開催します。今月は、ぬり絵の企画をします。初めての方もどうぞ。

○お問合せ先：高松市男女共同参画センター（087-833-2282）
○高松市主催事業","高松市男女共同参画センター","7/16/2020","13:30","7/16/2020","15:00"
"214","372013","0214","香川県","高松市","松島町一丁目15-1","15-1",,"高松市男女共同参画センター（たかまつミライエ　６階）","シングルマザーの会","託児希望者　1週間前までに申し込み要

○お問合せ先：高松市男女共同参画センター（087-833-2282）
○高松市主催事業","高松市男女共同参画センター","7/26/2020","13:30","7/26/2020","15:30"
"215","372013","0215","香川県","高松市","松島町一丁目15-1","15-1",,"高松市男女共同参画センター（たかまつミライエ　６階）","女性のための法律相談","7月6日(月) 午前9時より受付開始

○お問合せ先：高松市男女共同参画センター（087-833-2282）
○高松市主催事業","高松市男女共同参画センター","7/31/2020","13:30","7/31/2020","15:30"
"216","372013","0216","香川県","高松市","松島町一丁目15-1","15-1",,"高松市男女共同参画センター（たかまつミライエ　６階）","女性のための就労支援講座","働くうえでの人間関係のつくり方          託児　無料・1週間前までに要予約

○お問合せ先：高松市男女共同参画センター（087-833-2282）
○高松市主催事業","高松市男女共同参画センター","7/24/2020","13:30","7/24/2020","15:00"
"217","372013","0217","香川県","高松市","松島町一丁目15-1","15-1",,"高松市男女共同参画センター（たかまつミライエ　６階）","摂食障がい家族の会","

○お問合せ先：高松市男女共同参画センター（087-833-2282）
○高松市主催事業","高松市男女共同参画センター","7/18/2020","13:30","7/18/2020","15:30"
"218","372013","0218","香川県","高松市","亀井町",,,"−","航空学生、一般曹候補生の募集","＜応募資格＞
航空学生（海）：１８歳以上２３歳未満の人【高卒者（見込含）又は高専
　　　　　　　　３年次修了者（見込含）】
航空学生（空）：１８歳以上２１歳未満の人【高卒者（見込含）又は高専
　　　　　　　　３年次修了者（見込含）】
一般曹候補生：１８歳以上３３歳未満の人（３２歳の人は、採用予定月の
　　　　　　　末日現在、３３歳に達していない人）
＜試験日＞　　
航空学生：令和２年９月２２日（火)
一般曹候補生：令和２年９月１８日（金）～２０日（日）

試験会場等その他詳細は、自衛隊高松募集案内所までお問合せ下さい。
","自衛隊高松募集案内所","7/1/2020",,"9/10/2020",
"219","372013","0219","香川県","高松市","香西南町","476-1",,"高松市ふれあい福祉センター勝賀","ふれあい福祉センター勝賀の各種相談について","① 健康相談実施日　　　令和２年７月７日（火）、２１日（火）
② 機能回復相談実施日　令和２年７月９日（木）、３０日（木）

※いずれも午後１時から午後２時まで
※機能回復相談は前日の午後５時までに高松市ふれあい福祉センター勝賀（087-882-6950）へ要予約
※新型コロナウイルス感染症拡大防止のため、機能回復訓練室を休止している場合は、相談の受付も中止する。","高松市ふれあい福祉センター勝賀","7/7/2020","13:00","7/30/2020","14:00"
"220","372013","0220","香川県","高松市","福岡町二丁目","24-10",,"市内８か所の基幹相談支援センター","在宅障害者等に対する安否確認等支援事業が開始します。","新型コロナウイルス感染症の感染拡大防止のため、在宅生活を強いられている障害者、障害児及びその世帯等に対して、基幹相談支援センターの相談支援専門員等が生活支援等の相談に応じます。なお、既に特定相談支援事業所を利用している人は、担当の相談支援専門員等に御相談ください。","障がい福祉課","6/1/2020",,"3/31/2021",
"221","372013","0221","香川県","高松市","番町一丁目","10-35",,"香川県視覚障害者福祉センター","録音図書製作ボランティア初級養成講習会","視覚に障害があり活字の本を読めない人や、その他の身体的な障害、学習障害などにより自分で文字を読むことが困難な人のために、本を読んで録音された図書を作るボランティアを要請します。
８月５日（水）午後１時３０分から香川県視覚障害者福祉センターで講習内容やボランティア活動について説明会を行いますので、受講希望の方はできるだけご参加ください。","香川県視覚障害者福祉センター","9/2/2020","13:30","1/27/2021","15:30"
"222","372013","0222","香川県","高松市","丸亀町","1-1",,"高松市丸亀町壱番街前ドーム広場","マイナポイント予約・申込支援出張キャンペーン","マイナポイント予約・申込支援出張キャンペーンを実施します。
【内容】
　・マイナポイントのPR及び予約・申込手続き支援
　・マイナンバーカードのPR及び申請手続き支援
なお、本市におけるマイナポイント事業の概要については、ホームページでご確認ください。https://www.city.takamatsu.kagawa.jp/smph/kurashi/shinotorikumi/gyosei_kaikaku/number/seido/mykeyid.html","高松市人事課行政改革推進室","7/24/2020","10:00","7/24/2020","17:00"
"223","372013","0223","香川県","高松市","林町","2217-43",,"リストかがわ（サンメッセ香川南）","夏休み『科学と発明』おもしろ体験学習の開催","　　【夏休み『科学と発明』おもしろ体験学習】

目的：将来を担う子どもたちに楽しみながら科学と発明への興味を高めてもらうため

対象：小学生親子

日時：令和2年8月2日（日）
　　　午前の部 10：00～12：00　午後の部 13：30～15：30

内要：①かがく実験教室（電子レンジでガラス細工と電子顕微鏡）
　　　②発明工作教室（ドライアイスでプチロケット飛ばそう）
　　（いずれか一つを選択）

人数：午前・午後とも１１組程度（先着順）
         ①６組程度・②５組程度

申込先：7月31日（金）までに電話で下記問合先へ
問合先：（公財）かがわ産業支援財団地域共同研究部（☎087-869-3440）

参加費：無料

主催：（公財）かがわ産業支援財団、（一社）香川県発明協会、（公財）大西・アオイ記念財団

後援：高松市

詳しくは、（公財）かがわ産業支援財団のＨＰをご覧ください。
http://www.kagawa-isf.jp/
","（公財）かがわ産業支援財団、（一社）香川県発明協会、（公財）大西・アオイ記念財団","8/2/2020","10:00","8/2/2020  3:30:00 PM","15:30"
"224","372013","0224","香川県","高松市","番町一丁目","8-15",,"高松ケーブルテレビの番組","いき・いき高松「ホットラインたかまつ」～イライラ子育てから笑顔の子育てへ～","高松ケーブルテレビの「いき・いき高松」『ホットラインたかまつ』で、家庭教育についての番組を、毎日４～５回程度放送します。
イライラ子育てを笑顔の子育てにするために、怒りの感情と上手に向き合う方法を町田　仁美氏（日本アンガーマネジメント協会シニアファシリテーター、子育て力向上応援講座講師）がお話します。


○お問合せ先：高松市教育委員会生涯学習課　(087)839-2633
○高松市主催事業","高松市教育委員会生涯学習課","8/1/2020",,"8/31/2020",
"225","372013","0225","香川県","高松市","国分寺町新名","2069-1",,"高松市国分寺Ｂ＆Ｇ海洋センター　プール・艇庫","海洋性スポーツ「第2期カヌークラブ員募集」","日　時：8月15日から10月10日までの毎週土曜日（全9回）
対象者：小学4年生から高校生まで
定　員： 20人(先着)
参加費：5,400円
申込日：8月1日（土）午後2時30分から参加費を持って、高松市国分寺Ｂ＆Ｇ海洋センターまでお越しください。


○お問合せ先：087-874-4311","(公財）高松市スポーツ協会","8/15/2020","13:30","10/10/2020","16:30"
"226","372013","0226","香川県","高松市","昭和町一丁目","2-20",,"高松市中央図書館　１階児童コーナー　おはなしのへや","高松市中央図書館「おはなし会」","中央図書館では、わらべうたや絵本・紙芝居の読み聞かせなどの「おはなし会」を定期的に開催しています。「おはなしの世界」でたくさん遊んでみませんか。
●ひよこの学校（幼児～小学校低学年向け）
　8月1日（土）午前11時～午前11時30分
●なかよしかみしばい（幼児～小学生向け）
　8月1日（土）午後2時～午後3時
●ゆりかごおはなし会（9か月～３歳未満児向け）
　８月5日（水）午前10時～午前10時30分
●おはなしのかけはし（幼児～小学校低学年向け）
　8月8日（土）午後2時～午後2時30分
●本さんこんにちは（3歳児～小学生向け）
　8月15日（土）午後2時～2時30分
●にこにこおはなしひろば（幼児～小学校低学年向け）
　8月19日（水）午後3時30分～3時50分
●わらべうたであそぼう（乳幼児向け）
　8月20日（木）午前10時30分～11時
●伝々虫のおはなし会（幼児～小学生向け）
　8月22日（土）午前10時30分～11時


　

○お問合せ先：高松市中央図書館（087）861-4501
○高松市主催事業","高松市教育委員会","8/1/2020",,"8/22/2020",
"227","372013","0227","香川県","高松市","国分寺町新居","1298",,"高松市国分寺図書館　おはなしコーナーまたは研修展示室","高松市国分寺図書館「おはなし会」","　国分寺図書館では、絵本・紙芝居の読み聞かせなどの「おはなし会」を定期的に開催しています。「おはなしの世界」でたくさん遊んでみませんか。
●本だいすきおはなし会（幼児～小学校低学年向け）
　　8月1日（土）午後2時～2時30分、おはなしコーナー
●読み聞かせボランティアによるおはなし会（幼児～小学生向け）
　　8月8日（土）午後2時～2時30分、おはなしコーナー
●おはなしぽけっと（幼児～小学生向け）
　　8月15日（土）午後2時～2時30分、研修展示室
●だんだんだんごのおはなし会（（幼児～小学生向け）
　　8月22日（土）午後2時～2時30分、おはなしコーナー




○お問合せ先：高松市国分寺図書館　(087)874-6309
○高松市主催事業","高松市教育委員会","8/1/2020",,"8/29/2020",
"228","372013","0228","香川県","高松市","昭和町一丁目","2-20",,"サンクリスタル高松　３階　視聴覚ホール","夏のお楽しみ会","中央図書館「夏のおたのしみ会」　
　　日時／８月９日（日）午後２時～３時　場所／サンクリスタル高松３階　視聴覚ホール
　　内容／紙芝居や大型絵本、手あそびなど　対象／幼児～小学生　
　　申込み／不要（直接会場へ）※先着５０名
　　問合せ／中央図書館　業務係（℡８６１−４５０１）


○お問合せ先：高松市中央図書館（087）861-4501
○高松市主催事業","高松市教育委員会","8/9/2020","14:00","8/9/2020","15:00"
"229","372013","0229","香川県","高松市","松島町一丁目","15-1",,"高松市夢みらい図書館　対面朗読室（たかまつミライエ 2階）","高松市夢みらい図書館「おはなし会」","夢みらい図書館では、わらべうたや絵本・紙芝居の読み聞かせなどの「おはなし会」を定期的に開催しています。「おはなしの世界」でたくさん遊んでみませんか。
●アクセントのおはなし会（幼児～小学生向け）
　8月1日（土）午後2時～2時30分
●さぬき　おはなし会（幼児～小学生向け）
　8月2日（日）午前10時30分～11時
●えいごのおはなし会（幼児～小学生向け）
　8月2日（日）午後3時～3時30分
●ゆめみ・あかちゃんおはなし会（9か月～３歳未満児向け）
　8月7日（金）午前10時30分～11時
●ゆりかごおはなし会（乳幼児向け）
　8月10日（月）午前10時30分～11時
●ウィングのおはなし会（幼児～小学生向け）
　8月15日（土）午後2時～2時30分
●ゆめみおはなし会（幼児～小学生向け）
　8月16日（日）午後2時～2時30分　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
●伝々虫のおはなし会（乳幼児向け）
　8月24日（月）午前10時～10時20分
●ウィングのおはなし会（9か月～未就園児向け）
　8月28日（金）午前10時30分～11時
　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　     　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　





○お問合せ先：高松市夢みらい図書館　(087)833-7727
○高松市主催事業","高松市教育委員会","8/1/2020",,"8/24/2020",
"230","372013","0230","香川県","高松市","昭和町一丁目","2-20",,"サンクリスタル高松","高松市中央図書館　展示コーナー「もっと知りたい　発酵のちから」展","８月５日は発酵の日と言われています。日本の古くからの食文化である味噌・醤油などの発行食品の良さを知ってもらうために制定されました。図書館には、発酵食品の本だけでなく、食品以外の発酵に関する資料も置いてあります。発酵とは何かを知って、暮らしや生活に役立ててみてはいかがでしょうか。

○お問合せ先：高松市中央図書館（087）861-4501
○高松市主催事業","高松市教育委員会","8/1/2020",,"9/29/2020",
"231","372013","0231","香川県","高松市","牟礼町牟礼","130-2",,"高松市牟礼図書館　１階児童室","高松市牟礼図書館「おはなし会」","　牟礼図書館では、わらべうたや絵本・紙芝居の読み聞かせなどの「おはなし会」を定期的に開催しています。「おはなしの世界」でたくさん遊んでみませんか。
●えほんのとびら＆えいごであそぼう（幼児～小学校低学年向け）
　8月8日（土）午後2時～2時30分
●おはなしひろば「なかよし」（幼児～小学校低学年向け）
　8月15日（土）午後2時～2時30分
●アクセントのおはなし会（幼児～小学校低学年向け）
　8月22日（土）午後２時～２時30分
●アクセントのおはなし会（幼児～小学校低学年向け）
　8月22日（土）午後２時～２時30分




○お問合せ先：高松市牟礼図書館（087）845-4113
○高松市主催事業","高松市教育委員会","8/8/2020",,"8/22/2020",
"232","372013","0232","香川県","高松市","牟礼町牟礼","130-2",,"高松市牟礼図書館　２階講座室","高松市牟礼図書館「親子であそぼう！～読み聞かせ、わらべ歌、おもちゃ作り～」","　牟礼図書館では、子どもの図書館の利用促進を図るため、各種の体験学習講座を開催しています。その一還として、次のとおり「親子であそぼう！～読み聞かせ、わらべ歌、おもちゃ作り～」を開催しています。 　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　〇体験学習講座　「親子であそぼう！～読み聞かせ、わらべ歌、おもちゃ作り～」
　　　と　き　／　８月２３日（日）午前１０時～１２時
　　　ところ　／　牟礼図書館　２階講座室
　　　対　象　／　市内在住の親子２０組（先着順）
　　　申込み　／　８月１日（土）午前９時３０分から受付開始。電話（845-4113）または
　　　　　　　　直接牟礼図書館へ申込み。



○お問合せ先：高松市牟礼図書館　(087)845-4113
○高松市主催事業","高松市教育委員会","8/23/2020",,"8/23/2020",
"233","372013","0233","香川県","高松市","牟礼町牟礼","130-2",,"高松市牟礼図書館　１階会議室","高松市牟礼図書館夏休み調べ学習応援講座「図書館大けんきゅう！」","　牟礼図書館では、利用促進を図るため、各種講座を開催しています。そのひとつとして、夏休み調べ学習の応援のために、調べ学習応援講座「図書館大けんきゅう！」を開催しています。
〇夏休み調べ学習応援講座「図書館大けんきゅう！」
　　　と　き　／　8月１０日（月・祝）午後２時～３時
　　　ところ　／　牟礼図書館　１階会議室
　　　定　員　／　１５人（先着順）
　　　対　象　／　市内在住の小学生
　　　申込み　／　８月１日（土）午前９時３０分から受付開始。電話（845-4113）または
　　　　　　　　直接牟礼図書館へ申込み。

○お問合せ先：高松市牟礼図書館　(087)845-4113
○高松市主催事業","高松市教育委員会","8/10/2020",,"8/10/2020",
"234","372013","0234","香川県","高松市","香川町川東上","1865-13",,"高松市香川図書館　２階　おはなしのへや","高松市香川図書館「おはなし会」","香川図書館では、絵本の読み聞かせ、わらべうた、ストーリーテリングなどの「おはなし会」を定期的に開催しています。子どもから大人まで楽しむことができます。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　●おはなし紡ぎの会　　絵本、わらべうた、ストーリーテリング　                                                                                                                                                                                                                                                                                                              　８月１日(土) 午前１１時～午前１１時３０分　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　●おはなしばんび　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　８月８日(土)午後２時～午後２時３０分

○お問合せ先：高松市香川図書館(087)879-8970
○高松市主催事業","高松市教育委員会","8/1/2020",,"8/8/2020",
